session_id,segment_id,driver_a,driver_b,deployment_proxy_delta,lift_and_coast_delta,clipping_proxy_delta,recovery_zone_delta,confidence,proxy_note
2026_01_R_Australian Grand Prix,australian-grand-prix_straight_01,ALB,ALO,-0.0494,0.0,0.0,0.1023,0.48,Energy deployment proxy derived from speed/throttle/RPM/gear/DRS features; not true ERS or battery state.
2026_01_R_Australian Grand Prix,australian-grand-prix_straight_01,ALB,ANT,-0.1869,0.0,-0.3333,0.1987,0.48,Energy deployment proxy derived from speed/throttle/RPM/gear/DRS features; not true ERS or battery state.
2026_01_R_Australian Grand Prix,australian-grand-prix_straight_01,ALB,BEA,0.0283,-0.1818,0.0,0.0,0.48,Energy deployment proxy derived from speed/throttle/RPM/gear/DRS features; not true ERS or battery state.
2026_01_R_Australian Grand Prix,australian-grand-prix_straight_01,ALB,BOR,-0.0313,0.0,0.0,0.1773,0.48,Energy deployment proxy derived from speed/throttle/RPM/gear/DRS features; not true ERS or battery state.
2026_01_R_Australian Grand Prix,australian-grand-prix_straight_01,ALB,BOT,-0.0268,0.0,0.0,0.0,0.48,Energy deployment proxy derived from speed/throttle/RPM/gear/DRS features; not true ERS or battery state.
2026_01_R_Australian Grand Prix,australian-grand-prix_straight_01,ALB,COL,0.0909,-0.1538,0.0,-0.0881,0.48,Energy deployment proxy derived from speed/throttle/RPM/gear/DRS features; not true ERS or battery state.
2026_01_R_Australian Grand Prix,australian-grand-prix_straight_01,ALB,GAS,-0.1485,0.0,0.0,0.0,0.48,Energy deployment proxy derived from speed/throttle/RPM/gear/DRS features; not true ERS or battery state.
2026_01_R_Australian Grand Prix,australian-grand-prix_straight_01,ALB,HAD,0.0909,0.0,0.0,0.1773,0.48,Energy deployment proxy derived from speed/throttle/RPM/gear/DRS features; not true ERS or battery state.
2026_01_R_Australian Grand Prix,australian-grand-prix_straight_01,ALB,HAM,-0.2397,0.0,0.0,0.1773,0.48,Energy deployment proxy derived from speed/throttle/RPM/gear/DRS features; not true ERS or battery state.
2026_01_R_Australian Grand Prix,australian-grand-prix_straight_01,ALB,LAW,0.0505,0.0,0.0,0.0,0.48,Energy deployment proxy derived from speed/throttle/RPM/gear/DRS features; not true ERS or battery state.
2026_01_R_Australian Grand Prix,australian-grand-prix_straight_01,ALB,LEC,-0.1047,0.0,0.0,0.1473,0.48,Energy deployment proxy derived from speed/throttle/RPM/gear/DRS features; not true ERS or battery state.
2026_01_R_Australian Grand Prix,australian-grand-prix_straight_01,ALB,LIN,-0.0162,0.0,0.0,0.1637,0.48,Energy deployment proxy derived from speed/throttle/RPM/gear/DRS features; not true ERS or battery state.
2026_01_R_Australian Grand Prix,australian-grand-prix_straight_01,ALB,NOR,0.0576,0.0,0.0,0.3273,0.48,Energy deployment proxy derived from speed/throttle/RPM/gear/DRS features; not true ERS or battery state.
