session_id,season,round,event,session,driver_count,segment_count,straight_count,telemetry_quality_mean,track_archetype,generated_at,build_version
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,20,15,7,1.0,power-sensitive,2026-08-24T18:50:32Z,analytics_views_20260824T185032Z
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,18,15,7,1.0,high-degradation,2026-08-24T18:50:32Z,analytics_views_20260824T185032Z
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,22,15,7,1.0,power-sensitive,2026-08-24T18:50:32Z,analytics_views_20260824T185032Z
2026_04_R_Miami Grand Prix,2026,4,Miami Grand Prix,R,22,15,7,1.0,power-sensitive,2026-08-24T18:50:32Z,analytics_views_20260824T185032Z
2026_05_R_Canadian Grand Prix,2026,5,Canadian Grand Prix,R,21,15,7,1.0,high-degradation,2026-08-24T18:50:32Z,analytics_views_20260824T185032Z
2026_06_R_Monaco Grand Prix,2026,6,Monaco Grand Prix,R,21,15,7,0.9,braking-heavy,2026-08-24T18:50:32Z,analytics_views_20260824T185032Z
2026_07_R_Barcelona Grand Prix,2026,7,Barcelona Grand Prix,R,22,15,7,1.0,braking-heavy,2026-08-24T18:50:32Z,analytics_views_20260824T185032Z
2026_08_R_Austrian Grand Prix,2026,8,Austrian Grand Prix,R,21,15,7,1.0,braking-heavy,2026-08-24T18:50:32Z,analytics_views_20260824T185032Z
2026_09_R_British Grand Prix,2026,9,British Grand Prix,R,22,15,7,1.0,power-sensitive,2026-08-24T18:50:32Z,analytics_views_20260824T185032Z
2026_10_FP1_Belgian Grand Prix,2026,10,Belgian Grand Prix,FP1,22,15,7,1.0,power-sensitive,2026-08-24T18:50:32Z,analytics_views_20260824T185032Z
2026_10_FP2_Belgian Grand Prix,2026,10,Belgian Grand Prix,FP2,22,15,7,1.0,power-sensitive,2026-08-24T18:50:32Z,analytics_views_20260824T185032Z
2026_10_FP3_Belgian Grand Prix,2026,10,Belgian Grand Prix,FP3,22,16,7,1.0,power-sensitive,2026-08-24T18:50:32Z,analytics_views_20260824T185032Z
2026_10_Q_Belgian Grand Prix,2026,10,Belgian Grand Prix,Q,22,15,7,1.0,power-sensitive,2026-08-24T18:50:32Z,analytics_views_20260824T185032Z
2026_10_R_Belgian Grand Prix,2026,10,Belgian Grand Prix,R,21,15,7,1.0,power-sensitive,2026-08-24T18:50:32Z,analytics_views_20260824T185032Z
2026_11_FP1_Hungarian Grand Prix,2026,11,Hungarian Grand Prix,FP1,22,15,7,1.0,high-degradation,2026-08-24T18:50:32Z,analytics_views_20260824T185032Z
2026_11_FP2_Hungarian Grand Prix,2026,11,Hungarian Grand Prix,FP2,21,15,7,1.0,high-degradation,2026-08-24T18:50:32Z,analytics_views_20260824T185032Z
2026_11_FP3_Hungarian Grand Prix,2026,11,Hungarian Grand Prix,FP3,21,15,7,1.0,high-degradation,2026-08-24T18:50:32Z,analytics_views_20260824T185032Z
2026_11_Q_Hungarian Grand Prix,2026,11,Hungarian Grand Prix,Q,22,15,7,1.0,high-degradation,2026-08-24T18:50:32Z,analytics_views_20260824T185032Z
2026_11_R_Hungarian Grand Prix,2026,11,Hungarian Grand Prix,R,22,15,7,1.0,high-degradation,2026-08-24T18:50:32Z,analytics_views_20260824T185032Z
2026_12_FP1_Dutch Grand Prix,2026,12,Dutch Grand Prix,FP1,22,15,7,0.9975,high-degradation,2026-08-24T18:50:32Z,analytics_views_20260824T185032Z
2026_12_Q_Dutch Grand Prix,2026,12,Dutch Grand Prix,Q,22,16,7,1.0,high-degradation,2026-08-24T18:50:32Z,analytics_views_20260824T185032Z
2026_12_R_Dutch Grand Prix,2026,12,Dutch Grand Prix,R,20,15,7,1.0,high-degradation,2026-08-24T18:50:32Z,analytics_views_20260824T185032Z
2026_12_S_Dutch Grand Prix,2026,12,Dutch Grand Prix,S,22,15,7,1.0,high-degradation,2026-08-24T18:50:32Z,analytics_views_20260824T185032Z
2026_12_SQ_Dutch Grand Prix,2026,12,Dutch Grand Prix,SQ,22,15,7,1.0,high-degradation,2026-08-24T18:50:32Z,analytics_views_20260824T185032Z
