session_id,segment_id,driver_a,driver_b,entry_speed_delta_kph,terminal_speed_delta_kph,acceleration_delta,drs_active_delta_pct,clipping_proxy_delta,confidence,favorable_driver
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALB,ALO,7.0,1.5,0.0,0.0,0.0,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALB,ANT,8.0,-0.5,-0.0042,0.0,0.0,0.55,ANT
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALB,BEA,3.5,-5.0,-0.0042,0.0,0.0,0.55,BEA
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALB,BOR,6.5,-10.5,-0.075,0.0,-0.8667,0.55,BOR
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALB,BOT,-5.5,-7.0,0.0,0.0,0.0,0.55,BOT
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALB,COL,1.5,14.0,0.0,0.0,0.0,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALB,GAS,1.0,0.5,0.0,0.0,0.0,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALB,HAD,-2.0,-24.5,-0.1208,0.0,-0.7333,0.55,HAD
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALB,HAM,2.0,-11.0,-0.0417,0.0,-0.0667,0.55,HAM
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALB,HUL,4.5,-12.5,-0.075,0.0,0.0,0.55,HUL
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALB,LAW,-8.0,-15.0,0.0,0.0,0.0,0.55,LAW
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALB,LEC,-0.5,-10.5,-0.0167,0.0,0.0,0.55,LEC
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALB,LIN,3.5,-16.5,-0.1,0.0,-0.8667,0.55,LIN
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_01,ALB,NOR,-1.0,-1.5,0.0,0.0,0.0,0.55,NOR
