id,race_id,driver_id,constructor_id,source_label
2026-01-albert_park|albon,2026-01-albert_park,albon,williams,fastf1_entry_v1
2026-01-albert_park|alonso,2026-01-albert_park,alonso,aston_martin,fastf1_entry_v1
2026-01-albert_park|antonelli,2026-01-albert_park,antonelli,mercedes,fastf1_entry_v1
2026-01-albert_park|bearman,2026-01-albert_park,bearman,haas,fastf1_entry_v1
2026-01-albert_park|bortoleto,2026-01-albert_park,bortoleto,audi,fastf1_entry_v1
2026-01-albert_park|bottas,2026-01-albert_park,bottas,cadillac,fastf1_entry_v1
2026-01-albert_park|colapinto,2026-01-albert_park,colapinto,alpine,fastf1_entry_v1
2026-01-albert_park|gasly,2026-01-albert_park,gasly,alpine,fastf1_entry_v1
2026-01-albert_park|hadjar,2026-01-albert_park,hadjar,red_bull,fastf1_entry_v1
2026-01-albert_park|hamilton,2026-01-albert_park,hamilton,ferrari,fastf1_entry_v1
2026-01-albert_park|lawson,2026-01-albert_park,lawson,rb,fastf1_entry_v1
2026-01-albert_park|leclerc,2026-01-albert_park,leclerc,ferrari,fastf1_entry_v1
2026-01-albert_park|arvid_lindblad,2026-01-albert_park,arvid_lindblad,rb,fastf1_entry_v1
2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,fastf1_entry_v1
2026-01-albert_park|ocon,2026-01-albert_park,ocon,haas,fastf1_entry_v1
2026-01-albert_park|perez,2026-01-albert_park,perez,cadillac,fastf1_entry_v1
2026-01-albert_park|russell,2026-01-albert_park,russell,mercedes,fastf1_entry_v1
2026-01-albert_park|sainz,2026-01-albert_park,sainz,williams,fastf1_entry_v1
2026-01-albert_park|stroll,2026-01-albert_park,stroll,aston_martin,fastf1_entry_v1
2026-01-albert_park|max_verstappen,2026-01-albert_park,max_verstappen,red_bull,fastf1_entry_v1
2026-01-albert_park|hulkenberg,2026-01-albert_park,hulkenberg,audi,fastf1_entry_v1
2026-02-shanghai|alonso,2026-02-shanghai,alonso,aston_martin,fastf1_entry_v1
2026-02-shanghai|antonelli,2026-02-shanghai,antonelli,mercedes,fastf1_entry_v1
2026-02-shanghai|bearman,2026-02-shanghai,bearman,haas,fastf1_entry_v1
2026-02-shanghai|bottas,2026-02-shanghai,bottas,cadillac,fastf1_entry_v1
2026-02-shanghai|colapinto,2026-02-shanghai,colapinto,alpine,fastf1_entry_v1
2026-02-shanghai|gasly,2026-02-shanghai,gasly,alpine,fastf1_entry_v1
2026-02-shanghai|hadjar,2026-02-shanghai,hadjar,red_bull,fastf1_entry_v1
2026-02-shanghai|hamilton,2026-02-shanghai,hamilton,ferrari,fastf1_entry_v1
2026-02-shanghai|hulkenberg,2026-02-shanghai,hulkenberg,audi,fastf1_entry_v1
2026-02-shanghai|lawson,2026-02-shanghai,lawson,rb,fastf1_entry_v1
2026-02-shanghai|leclerc,2026-02-shanghai,leclerc,ferrari,fastf1_entry_v1
2026-02-shanghai|arvid_lindblad,2026-02-shanghai,arvid_lindblad,rb,fastf1_entry_v1
2026-02-shanghai|ocon,2026-02-shanghai,ocon,haas,fastf1_entry_v1
2026-02-shanghai|perez,2026-02-shanghai,perez,cadillac,fastf1_entry_v1
2026-02-shanghai|russell,2026-02-shanghai,russell,mercedes,fastf1_entry_v1
2026-02-shanghai|sainz,2026-02-shanghai,sainz,williams,fastf1_entry_v1
2026-02-shanghai|stroll,2026-02-shanghai,stroll,aston_martin,fastf1_entry_v1
2026-02-shanghai|max_verstappen,2026-02-shanghai,max_verstappen,red_bull,fastf1_entry_v1
2026-02-shanghai|norris,2026-02-shanghai,norris,mclaren,fastf1_entry_v1
2026-02-shanghai|albon,2026-02-shanghai,albon,williams,fastf1_entry_v1
2026-02-shanghai|bortoleto,2026-02-shanghai,bortoleto,audi,fastf1_entry_v1
2026-02-shanghai|piastri,2026-02-shanghai,piastri,mclaren,fastf1_entry_v1
2026-03-suzuka|albon,2026-03-suzuka,albon,williams,fastf1_entry_v1
2026-03-suzuka|alonso,2026-03-suzuka,alonso,aston_martin,fastf1_entry_v1
2026-03-suzuka|antonelli,2026-03-suzuka,antonelli,mercedes,fastf1_entry_v1
2026-03-suzuka|bearman,2026-03-suzuka,bearman,haas,fastf1_entry_v1
2026-03-suzuka|bortoleto,2026-03-suzuka,bortoleto,audi,fastf1_entry_v1
2026-03-suzuka|bottas,2026-03-suzuka,bottas,cadillac,fastf1_entry_v1
2026-03-suzuka|colapinto,2026-03-suzuka,colapinto,alpine,fastf1_entry_v1
2026-03-suzuka|gasly,2026-03-suzuka,gasly,alpine,fastf1_entry_v1
