id,session_id,event_entry_id,race_id,driver_id,constructor_id,lap_number,stint_number,compound,tyre_life,lap_time_s,sector_1_s,sector_2_s,sector_3_s,top_speed_kph,track_status,fresh_tyre,is_personal_best,is_accurate,deleted,lap_start_time,position,air_temp_c,track_temp_c,humidity_pct,rainfall,wind_speed_mps,wind_direction_deg,source_label
2026-01-albert_park|R|norris|1,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,1,1,MEDIUM,1.0,96.458,,18.163,38.796,304.0,1,True,False,False,False,2026-03-08 04:03:26.366,6.0,23.1,36.2,55.8,False,1.8,114.0,fastf1_session_lap_v1
2026-01-albert_park|R|norris|2,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,2,1,MEDIUM,2.0,87.344,31.074,18.116,38.154,303.0,1,True,True,True,False,2026-03-08 04:05:03.060,6.0,23.2,35.6,55.2,False,3.2,115.0,fastf1_session_lap_v1
2026-01-albert_park|R|norris|3,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,3,1,MEDIUM,3.0,86.863,30.541,18.252,38.07,311.0,1,True,True,True,False,2026-03-08 04:06:30.404,7.0,23.1,35.7,55.7,False,3.4,104.0,fastf1_session_lap_v1
2026-01-albert_park|R|norris|4,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,4,1,MEDIUM,4.0,85.857,30.19,18.193,37.474,304.0,1,True,True,True,False,2026-03-08 04:07:57.267,7.0,23.2,35.7,55.5,False,3.4,109.0,fastf1_session_lap_v1
2026-01-albert_park|R|norris|5,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,5,1,MEDIUM,5.0,85.573,29.93,17.868,37.775,297.0,1,True,True,True,False,2026-03-08 04:09:23.124,7.0,23.2,35.5,55.7,False,1.7,128.0,fastf1_session_lap_v1
2026-01-albert_park|R|norris|6,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,6,1,MEDIUM,6.0,85.036,30.025,17.829,37.182,313.0,1,True,True,True,False,2026-03-08 04:10:48.697,7.0,23.1,35.7,56.6,False,2.1,106.0,fastf1_session_lap_v1
2026-01-albert_park|R|norris|7,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,7,1,MEDIUM,7.0,84.978,30.067,17.764,37.147,316.0,1,True,True,True,False,2026-03-08 04:12:13.733,7.0,23.2,35.6,55.9,False,2.4,154.0,fastf1_session_lap_v1
2026-01-albert_park|R|norris|8,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,8,1,MEDIUM,8.0,85.299,30.191,17.97,37.138,311.0,1,True,False,True,False,2026-03-08 04:13:38.711,7.0,23.1,36.0,56.6,False,1.3,124.0,fastf1_session_lap_v1
2026-01-albert_park|R|norris|9,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,9,1,MEDIUM,9.0,85.639,30.135,17.77,37.734,315.0,1,True,False,True,False,2026-03-08 04:15:04.010,7.0,23.1,36.7,56.1,False,2.3,127.0,fastf1_session_lap_v1
2026-01-albert_park|R|norris|10,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,10,1,MEDIUM,10.0,85.295,30.117,17.924,37.254,311.0,1,True,False,True,False,2026-03-08 04:16:29.649,7.0,23.1,36.3,56.1,False,3.2,109.0,fastf1_session_lap_v1
2026-01-albert_park|R|norris|11,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,11,1,MEDIUM,11.0,103.391,30.117,17.987,55.287,309.0,16,True,False,False,False,2026-03-08 04:17:54.944,9.0,23.1,36.3,56.1,False,2.2,132.0,fastf1_session_lap_v1
2026-01-albert_park|R|norris|12,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,12,2,HARD,1.0,118.075,44.892,27.737,45.446,238.0,6,True,False,False,False,2026-03-08 04:19:38.335,9.0,23.1,35.6,56.0,False,2.1,133.0,fastf1_session_lap_v1
2026-01-albert_park|R|norris|13,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,13,2,HARD,2.0,111.932,41.529,27.589,42.814,289.0,671,True,False,False,False,2026-03-08 04:21:36.410,9.0,23.1,35.7,56.5,False,1.5,118.0,fastf1_session_lap_v1
2026-01-albert_park|R|norris|14,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,14,2,HARD,3.0,84.233,29.882,17.87,36.481,306.0,1,True,True,True,False,2026-03-08 04:23:28.342,9.0,23.2,35.5,56.4,False,2.3,110.0,fastf1_session_lap_v1
2026-01-albert_park|R|norris|15,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,15,2,HARD,4.0,83.784,29.402,17.899,36.483,301.0,1,True,True,True,False,2026-03-08 04:24:52.575,9.0,23.2,35.5,56.5,False,2.4,109.0,fastf1_session_lap_v1
2026-01-albert_park|R|norris|16,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,16,2,HARD,5.0,83.912,29.524,17.919,36.469,301.0,1,True,False,True,False,2026-03-08 04:26:16.359,9.0,23.3,34.9,55.1,False,3.8,130.0,fastf1_session_lap_v1
2026-01-albert_park|R|norris|17,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,17,2,HARD,6.0,84.053,29.442,18.015,36.596,303.0,1,True,False,True,False,2026-03-08 04:27:40.271,9.0,23.2,34.9,55.6,False,0.8,137.0,fastf1_session_lap_v1
2026-01-albert_park|R|norris|18,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,18,2,HARD,7.0,95.404,29.758,17.788,47.858,312.0,126,True,False,False,False,2026-03-08 04:29:04.324,5.0,23.3,33.3,56.4,False,2.2,126.0,fastf1_session_lap_v1
2026-01-albert_park|R|norris|19,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,19,2,HARD,8.0,116.07,42.456,22.738,50.876,278.0,67,True,False,False,False,2026-03-08 04:30:39.728,5.0,23.4,34.6,55.7,False,2.8,125.0,fastf1_session_lap_v1
2026-01-albert_park|R|norris|20,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,20,2,HARD,9.0,85.774,30.612,18.63,36.532,290.0,71,True,False,False,False,2026-03-08 04:32:35.798,5.0,23.5,34.3,55.6,False,2.3,126.0,fastf1_session_lap_v1
2026-01-albert_park|R|norris|21,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,21,2,HARD,10.0,83.972,29.499,18.129,36.344,296.0,1,True,False,True,False,2026-03-08 04:34:01.572,5.0,23.4,35.3,55.5,False,0.0,0.0,fastf1_session_lap_v1
2026-01-albert_park|R|norris|22,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,22,2,HARD,11.0,83.687,29.317,17.999,36.371,297.0,1,True,True,True,False,2026-03-08 04:35:25.544,5.0,23.4,35.9,55.6,False,0.6,212.0,fastf1_session_lap_v1
2026-01-albert_park|R|norris|23,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,23,2,HARD,12.0,83.534,29.254,17.992,36.288,298.0,1,True,True,True,False,2026-03-08 04:36:49.231,5.0,23.4,35.5,55.5,False,1.1,113.0,fastf1_session_lap_v1
2026-01-albert_park|R|norris|24,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,24,2,HARD,13.0,83.394,29.302,17.929,36.163,297.0,1,True,True,True,False,2026-03-08 04:38:12.765,5.0,23.4,35.5,55.0,False,2.1,192.0,fastf1_session_lap_v1
2026-01-albert_park|R|norris|25,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,25,2,HARD,14.0,83.5,29.373,17.925,36.202,299.0,1,True,False,True,False,2026-03-08 04:39:36.159,5.0,23.4,35.8,56.0,False,2.4,90.0,fastf1_session_lap_v1
2026-01-albert_park|R|norris|26,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,26,2,HARD,15.0,83.403,29.35,17.894,36.159,306.0,1,True,False,True,False,2026-03-08 04:40:59.659,5.0,23.4,35.3,55.2,False,1.6,124.0,fastf1_session_lap_v1
2026-01-albert_park|R|norris|27,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,27,2,HARD,16.0,83.896,29.426,18.011,36.459,298.0,1,True,False,True,False,2026-03-08 04:42:23.062,5.0,23.4,35.6,55.8,False,1.0,128.0,fastf1_session_lap_v1
