id,session_id,event_entry_id,race_id,driver_id,constructor_id,classification_position,grid_position,finish_position,points,status,laps_completed,fastest_lap_rank,source_label
2026-01-albert_park|R|russell,2026-01-albert_park|R,2026-01-albert_park|russell,2026-01-albert_park,russell,mercedes,1,1.0,1.0,25.0,Finished,,,fastf1_session_result_v1
2026-01-albert_park|R|antonelli,2026-01-albert_park|R,2026-01-albert_park|antonelli,2026-01-albert_park,antonelli,mercedes,2,2.0,2.0,18.0,Finished,,,fastf1_session_result_v1
2026-01-albert_park|R|leclerc,2026-01-albert_park|R,2026-01-albert_park|leclerc,2026-01-albert_park,leclerc,ferrari,3,4.0,3.0,15.0,Finished,,,fastf1_session_result_v1
2026-01-albert_park|R|hamilton,2026-01-albert_park|R,2026-01-albert_park|hamilton,2026-01-albert_park,hamilton,ferrari,4,7.0,4.0,12.0,Finished,,,fastf1_session_result_v1
2026-01-albert_park|R|norris,2026-01-albert_park|R,2026-01-albert_park|norris,2026-01-albert_park,norris,mclaren,5,6.0,5.0,10.0,Finished,,,fastf1_session_result_v1
2026-01-albert_park|R|max_verstappen,2026-01-albert_park|R,2026-01-albert_park|max_verstappen,2026-01-albert_park,max_verstappen,red_bull,6,20.0,6.0,8.0,Finished,,,fastf1_session_result_v1
2026-01-albert_park|R|bearman,2026-01-albert_park|R,2026-01-albert_park|bearman,2026-01-albert_park,bearman,haas,7,12.0,7.0,6.0,Lapped,,,fastf1_session_result_v1
2026-01-albert_park|R|arvid_lindblad,2026-01-albert_park|R,2026-01-albert_park|arvid_lindblad,2026-01-albert_park,arvid_lindblad,rb,8,9.0,8.0,4.0,Lapped,,,fastf1_session_result_v1
2026-01-albert_park|R|bortoleto,2026-01-albert_park|R,2026-01-albert_park|bortoleto,2026-01-albert_park,bortoleto,audi,9,10.0,9.0,2.0,Lapped,,,fastf1_session_result_v1
2026-01-albert_park|R|gasly,2026-01-albert_park|R,2026-01-albert_park|gasly,2026-01-albert_park,gasly,alpine,10,14.0,10.0,1.0,Lapped,,,fastf1_session_result_v1
2026-01-albert_park|R|ocon,2026-01-albert_park|R,2026-01-albert_park|ocon,2026-01-albert_park,ocon,haas,11,13.0,11.0,0.0,Lapped,,,fastf1_session_result_v1
2026-01-albert_park|R|albon,2026-01-albert_park|R,2026-01-albert_park|albon,2026-01-albert_park,albon,williams,12,15.0,12.0,0.0,Lapped,,,fastf1_session_result_v1
