id,session_id,event_entry_id,race_id,driver_id,constructor_id,stint_number,compound,lap_count,mean_lap_time_s,degradation_per_lap_s,degradation_index,start_tyre_life,end_tyre_life,session_code,source_label
2026-01-albert_park|R|albon|1,2026-01-albert_park|R,2026-01-albert_park|albon,2026-01-albert_park,albon,williams,1,MEDIUM,12,91.56275,0.5636363636363639,-0.1398601398601399,1.0,12.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|albon|2,2026-01-albert_park|R,2026-01-albert_park|albon,2026-01-albert_park,albon,williams,2,HARD,21,90.29438095238096,0.35745,0.1805194805194805,1.0,21.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|albon|3,2026-01-albert_park|R,2026-01-albert_park|albon,2026-01-albert_park,albon,williams,3,SOFT,24,85.330875,-0.2021739130434785,0.0343552954414184,1.0,24.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|alonso|1,2026-01-albert_park|R,2026-01-albert_park|alonso,2026-01-albert_park,alonso,aston_martin,1,SOFT,11,91.64536363636364,-0.0123000000000004,-0.1909090909090909,1.0,11.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|alonso|2,2026-01-albert_park|R,2026-01-albert_park|alonso,2026-01-albert_park,alonso,aston_martin,2,SOFT,1,122.34,0.0,0.0,1.0,1.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|alonso|3,2026-01-albert_park|R,2026-01-albert_park|alonso,2026-01-albert_park,alonso,aston_martin,3,SOFT,8,88.227375,-1.090142857142857,0.1904761904761905,3.0,10.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|antonelli|1,2026-01-albert_park|R,2026-01-albert_park|antonelli,2026-01-albert_park,antonelli,mercedes,1,MEDIUM,12,89.37725,-0.279636363636363,-0.3986013986013986,1.0,12.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|antonelli|2,2026-01-albert_park|R,2026-01-albert_park|antonelli,2026-01-albert_park,antonelli,mercedes,2,HARD,46,85.1575652173913,-0.2621777777777778,-0.6103795987977123,1.0,46.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|bearman|1,2026-01-albert_park|R,2026-01-albert_park|bearman,2026-01-albert_park,bearman,haas,1,MEDIUM,18,91.16983333333332,0.1179411764705888,-0.2466460268317853,1.0,18.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|bearman|2,2026-01-albert_park|R,2026-01-albert_park|bearman,2026-01-albert_park,bearman,haas,2,HARD,39,85.90607692307692,-0.2246578947368422,-0.0157902728073066,1.0,39.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|bortoleto|1,2026-01-albert_park|R,2026-01-albert_park|bortoleto,2026-01-albert_park,bortoleto,audi,1,MEDIUM,18,91.4626111111111,0.2063529411764703,-0.2383900928792569,1.0,18.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|bortoleto|2,2026-01-albert_park|R,2026-01-albert_park|bortoleto,2026-01-albert_park,bortoleto,audi,2,HARD,15,87.88773333333332,-0.0873571428571427,-0.3642857142857142,1.0,15.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|bortoleto|3,2026-01-albert_park|R,2026-01-albert_park|bortoleto,2026-01-albert_park,bortoleto,audi,3,HARD,24,84.788875,-0.3680434782608697,0.2565217391304347,1.0,24.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|bottas|1,2026-01-albert_park|R,2026-01-albert_park|bottas,2026-01-albert_park,bottas,cadillac,1,HARD,11,90.27627272727273,-0.2490999999999999,-0.5090909090909091,1.0,11.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|bottas|2,2026-01-albert_park|R,2026-01-albert_park|bottas,2026-01-albert_park,bottas,cadillac,2,HARD,3,95.61,-5.029499999999999,-1.0,13.0,15.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|colapinto|1,2026-01-albert_park|R,2026-01-albert_park|colapinto,2026-01-albert_park,colapinto,alpine,1,HARD,9,91.152,-0.2934999999999998,-0.25,1.0,9.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|colapinto|2,2026-01-albert_park|R,2026-01-albert_park|colapinto,2026-01-albert_park,colapinto,alpine,2,HARD,37,89.87243243243242,0.0301111111111108,-0.1853959222380275,10.0,46.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|colapinto|3,2026-01-albert_park|R,2026-01-albert_park|colapinto,2026-01-albert_park,colapinto,alpine,3,SOFT,10,84.964,-0.7431111111111114,-0.006060606060606,1.0,10.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|gasly|1,2026-01-albert_park|R,2026-01-albert_park|gasly,2026-01-albert_park,gasly,alpine,1,MEDIUM,11,88.86627272727273,-0.0612000000000009,-0.2181818181818182,1.0,11.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|gasly|2,2026-01-albert_park|R,2026-01-albert_park|gasly,2026-01-albert_park,gasly,alpine,2,HARD,46,87.78910869565216,-0.1938666666666667,-0.1880357693493679,1.0,46.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|hadjar|1,2026-01-albert_park|R,2026-01-albert_park|hadjar,2026-01-albert_park,hadjar,red_bull,1,MEDIUM,10,86.55250000000001,-1.180444444444444,-0.6848484848484848,1.0,10.0,R,fastf1_session_stint_v1
2026-01-albert_park|R|hamilton|1,2026-01-albert_park|R,2026-01-albert_park|hamilton,2026-01-albert_park,hamilton,ferrari,1,MEDIUM,28,89.10682142857142,-0.1408518518518522,-0.3322386425834702,1.0,28.0,R,fastf1_session_stint_v1
