session_id,season,round,event_name,session_code,driver,team,stint,compound,lap_count,mean_lap_time_s,degradation_per_lap_s,degradation_index,start_tyre_life,end_tyre_life
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,ALB,Williams,1,MEDIUM,12,91.56275,0.5636363636363639,-0.1398601398601399,1,12
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,ALB,Williams,2,HARD,21,90.29438095238096,0.35745,0.1805194805194805,1,21
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,ALB,Williams,3,SOFT,24,85.330875,-0.2021739130434785,0.0343552954414184,1,24
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,ALO,Aston Martin,1,SOFT,11,91.64536363636364,-0.0123000000000004,-0.1909090909090909,1,11
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,ALO,Aston Martin,2,SOFT,1,122.34,0.0,0.0,1,1
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,ALO,Aston Martin,3,SOFT,8,88.227375,-1.090142857142857,0.1904761904761905,3,10
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,ANT,Mercedes,1,MEDIUM,12,89.37725,-0.279636363636363,-0.3986013986013986,1,12
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,ANT,Mercedes,2,HARD,46,85.1575652173913,-0.2621777777777778,-0.6103795987977123,1,46
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,BEA,Haas F1 Team,1,MEDIUM,18,91.16983333333332,0.1179411764705888,-0.2466460268317853,1,18
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,BEA,Haas F1 Team,2,HARD,39,85.90607692307692,-0.2246578947368422,-0.0157902728073066,1,39
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,BOR,Audi,1,MEDIUM,18,91.4626111111111,0.2063529411764703,-0.2383900928792569,1,18
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,BOR,Audi,2,HARD,15,87.88773333333332,-0.0873571428571427,-0.3642857142857142,1,15
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,BOR,Audi,3,HARD,24,84.788875,-0.3680434782608697,0.2565217391304347,1,24
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,BOT,Cadillac,1,HARD,11,90.27627272727273,-0.2490999999999999,-0.5090909090909091,1,11
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,BOT,Cadillac,2,HARD,3,95.61,-5.029499999999999,-1.0,13,15
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,COL,Alpine,1,HARD,9,91.152,-0.2934999999999998,-0.25,1,9
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,COL,Alpine,2,HARD,37,89.87243243243242,0.0301111111111108,-0.1853959222380275,10,46
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,COL,Alpine,3,SOFT,10,84.964,-0.7431111111111114,-0.006060606060606,1,10
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,GAS,Alpine,1,MEDIUM,11,88.86627272727273,-0.0612000000000009,-0.2181818181818182,1,11
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,GAS,Alpine,2,HARD,46,87.78910869565216,-0.1938666666666667,-0.1880357693493679,1,46
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,HAD,Red Bull Racing,1,MEDIUM,10,86.55250000000001,-1.180444444444444,-0.6848484848484848,1,10
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,HAM,Ferrari,1,MEDIUM,28,89.10682142857142,-0.1408518518518522,-0.3322386425834702,1,28
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,HAM,Ferrari,2,HARD,30,83.59846666666668,-0.2082758620689652,-0.5733036707452726,1,30
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,LAW,Racing Bulls,1,MEDIUM,11,90.33554545454544,-0.2786000000000001,-0.4090909090909091,1,11
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,LAW,Racing Bulls,2,HARD,22,91.4751818181818,-0.5596190476190473,-0.233201581027668,1,22
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,LAW,Racing Bulls,3,SOFT,24,84.90954166666667,-0.2004347826086962,0.1139130434782608,1,24
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,LEC,Ferrari,1,MEDIUM,25,89.57508,-0.3071250000000003,-0.2015384615384615,1,25
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,LEC,Ferrari,2,HARD,33,83.72554545454545,-0.1989999999999998,-0.1387032085561497,1,33
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,LIN,Racing Bulls,1,MEDIUM,18,91.06794444444444,0.3511764705882352,-0.001031991744066,1,18
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,LIN,Racing Bulls,2,HARD,39,86.13830769230769,-0.2825000000000003,0.1846247282085082,1,39
2026_01_R_Australian Grand Prix,2026,1,Australian Grand Prix,R,NOR,McLaren,1,MEDIUM,11,88.33936363636361,-0.1162999999999996,-0.3181818181818182,1,11
