id,season,round,race_id,driver_id,constructor_id,standing_position,points,wins,source_label
2024-01-bahrain|max_verstappen,2024,1,2024-01-bahrain,max_verstappen,red_bull,1,26.0,1,derived_results_rollup
2024-01-bahrain|perez,2024,1,2024-01-bahrain,perez,red_bull,2,18.0,0,derived_results_rollup
2024-01-bahrain|sainz,2024,1,2024-01-bahrain,sainz,ferrari,3,15.0,0,derived_results_rollup
2024-01-bahrain|leclerc,2024,1,2024-01-bahrain,leclerc,ferrari,4,12.0,0,derived_results_rollup
2024-01-bahrain|russell,2024,1,2024-01-bahrain,russell,mercedes,5,10.0,0,derived_results_rollup
2024-01-bahrain|norris,2024,1,2024-01-bahrain,norris,mclaren,6,8.0,0,derived_results_rollup
2024-01-bahrain|hamilton,2024,1,2024-01-bahrain,hamilton,mercedes,7,6.0,0,derived_results_rollup
2024-01-bahrain|piastri,2024,1,2024-01-bahrain,piastri,mclaren,8,4.0,0,derived_results_rollup
2024-01-bahrain|alonso,2024,1,2024-01-bahrain,alonso,aston_martin,9,2.0,0,derived_results_rollup
2024-01-bahrain|stroll,2024,1,2024-01-bahrain,stroll,aston_martin,10,1.0,0,derived_results_rollup
2024-01-bahrain|albon,2024,1,2024-01-bahrain,albon,williams,11,0.0,0,derived_results_rollup
2024-01-bahrain|bearman,2024,1,2024-01-bahrain,bearman,haas,12,0.0,0,derived_results_rollup
2024-01-bahrain|bottas,2024,1,2024-01-bahrain,bottas,sauber,13,0.0,0,derived_results_rollup
2024-01-bahrain|colapinto,2024,1,2024-01-bahrain,colapinto,williams,14,0.0,0,derived_results_rollup
2024-01-bahrain|doohan,2024,1,2024-01-bahrain,doohan,alpine,15,0.0,0,derived_results_rollup
2024-01-bahrain|gasly,2024,1,2024-01-bahrain,gasly,alpine,16,0.0,0,derived_results_rollup
2024-01-bahrain|hulkenberg,2024,1,2024-01-bahrain,hulkenberg,haas,17,0.0,0,derived_results_rollup
2024-01-bahrain|kevin_magnussen,2024,1,2024-01-bahrain,kevin_magnussen,haas,18,0.0,0,derived_results_rollup
