id,driver_code,permanent_number,first_name,last_name,full_name,nationality,date_of_birth
abate,,,Carlo,Abate,Carlo Abate,Italian,1932-07-10
abecassis,,,George,Abecassis,George Abecassis,British,1913-03-21
acheson,,,Kenny,Acheson,Kenny Acheson,British,1957-11-27
adams,,,Philippe,Adams,Philippe Adams,Belgian,1969-11-19
ader,,,Walt,Ader,Walt Ader,American,1913-12-15
adolff,,,Kurt,Adolff,Kurt Adolff,German,1921-11-05
agabashian,,,Fred,Agabashian,Fred Agabashian,American,1913-08-21
ahrens,,,Kurt,Ahrens,Kurt Ahrens,German,1940-04-19
aitken,AIT,89.0,Jack,Aitken,Jack Aitken,British,1995-09-23
albers,ALB,,Christijan,Albers,Christijan Albers,Dutch,1979-04-16
albon,ALB,23.0,Alexander,Albon,Alexander Albon,Thai,1996-03-23
alboreto,,,Michele,Alboreto,Michele Alboreto,Italian,1956-12-23
alesi,,,Jean,Alesi,Jean Alesi,French,1964-06-11
alguersuari,ALG,,Jaime,Alguersuari,Jaime Alguersuari,Spanish,1990-03-23
alliot,,,Philippe,Alliot,Philippe Alliot,French,1954-07-27
allison,,,Cliff,Allison,Cliff Allison,British,1932-02-08
alonso,ALO,14.0,Fernando,Alonso,Fernando Alonso,Spanish,1981-07-29
amati,,,Giovanna,Amati,Giovanna Amati,Italian,1959-07-20
george_amick,,,George,Amick,George Amick,American,1924-10-24
amick,,,Red,Amick,Red Amick,American,1929-01-19
amon,,,Chris,Amon,Chris Amon,New Zealander,1943-07-20
anderson,,,Bob,Anderson,Bob Anderson,British,1931-05-19
andersson,,,Conny,Andersson,Conny Andersson,Swedish,1939-12-28
mario_andretti,,,Mario,Andretti,Mario Andretti,American,1940-02-28
andretti,,,Michael,Andretti,Michael Andretti,American,1962-10-05
andrews,,,Keith,Andrews,Keith Andrews,American,1920-06-15
antonelli,ANT,12.0,Andrea Kimi,Antonelli,Andrea Kimi Antonelli,Italian,2006-08-25
apicella,,,Marco,Apicella,Marco Apicella,Italian,1965-10-07
armi,,,Frank,Armi,Frank Armi,American,1918-10-12
arnold,,,Chuck,Arnold,Chuck Arnold,American,1926-05-30
arnoux,,,René,Arnoux,René Arnoux,French,1948-07-04
paul_aron,,,Paul,Aron,Paul Aron,,
arundell,,,Peter,Arundell,Peter Arundell,British,1933-11-08
ascari,,,Alberto,Ascari,Alberto Ascari,Italian,1918-07-13
ashdown,,,Peter,Ashdown,Peter Ashdown,British,1934-10-16
ashley,,,Ian,Ashley,Ian Ashley,British,1947-10-26
ashmore,,,Gerry,Ashmore,Gerry Ashmore,British,1936-07-25
aston,,,Bill,Aston,Bill Aston,British,1900-03-29
attwood,,,Richard,Attwood,Richard Attwood,British,1940-04-04
ayulo,,,Manny,Ayulo,Manny Ayulo,American,1921-10-20
badoer,BAD,,Luca,Badoer,Luca Badoer,Italian,1971-01-25
baghetti,,,Giancarlo,Baghetti,Giancarlo Baghetti,Italian,1934-12-25
bailey,,,Julian,Bailey,Julian Bailey,British,1961-10-09
baldi,,,Mauro,Baldi,Mauro Baldi,Italian,1954-01-31
ball,,,Bobby,Ball,Bobby Ball,American,1925-08-26
balsa,,,Marcel,Balsa,Marcel Balsa,French,1909-01-01
bandini,,,Lorenzo,Bandini,Lorenzo Bandini,Italian,1935-12-21
banks,,,Henry,Banks,Henry Banks,American,1913-06-14
barbazza,,,Fabrizio,Barbazza,Fabrizio Barbazza,Italian,1963-04-02
john_barber,,,John,Barber,John Barber,British,1929-07-22
barber,,,Skip,Barber,Skip Barber,American,1936-11-16
