id,season,round,race_id,entity_type,entity_id,constructor_id,projected_score,price_estimate,value_score,winner_probability,podium_probability,top10_probability,volatility_proxy,source_label
2026-14-madring|constructor|mercedes,2026,14,2026-14-madring,constructor,mercedes,mercedes,137.3598,40.2,3.417,40.632999999999996,153.966,99.0,1.0,prediction_snapshot_v1
2026-14-madring|constructor|mclaren,2026,14,2026-14-madring,constructor,mclaren,mclaren,121.57809999999999,36.7,3.313,53.297999999999995,117.179,99.0,1.0,prediction_snapshot_v1
2026-14-madring|constructor|ferrari,2026,14,2026-14-madring,constructor,ferrari,ferrari,107.08755,33.6,3.187,5.1739999999999995,91.701,99.0,1.0,prediction_snapshot_v1
2026-14-madring|constructor|red_bull,2026,14,2026-14-madring,constructor,red_bull,red_bull,84.1676,28.5,2.953,0.6519999999999999,59.2,99.0,1.0,prediction_snapshot_v1
2026-14-madring|constructor|alpine,2026,14,2026-14-madring,constructor,alpine,alpine,64.20400000000001,24.1,2.664,0.115,27.409,54.8045,45.196,prediction_snapshot_v1
2026-14-madring|constructor|rb,2026,14,2026-14-madring,constructor,rb,rb,61.21355,23.5,2.605,0.07200000000000001,26.691,55.8365,44.164,prediction_snapshot_v1
2026-14-madring|constructor|audi,2026,14,2026-14-madring,constructor,audi,audi,57.3305,22.6,2.537,0.046,25.759999999999998,21.866500000000002,78.134,prediction_snapshot_v1
2026-14-madring|constructor|williams,2026,14,2026-14-madring,constructor,williams,williams,26.17335,15.8,1.657,0.003,18.281,9.3085,90.692,prediction_snapshot_v1
2026-14-madring|constructor|haas,2026,14,2026-14-madring,constructor,haas,haas,25.0626,15.5,1.617,0.003,18.015,9.253,90.747,prediction_snapshot_v1
2026-14-madring|constructor|aston_martin,2026,14,2026-14-madring,constructor,aston_martin,aston_martin,24.9132,15.5,1.607,0.003,17.979,9.2455,90.754,prediction_snapshot_v1
2026-14-madring|constructor|cadillac,2026,14,2026-14-madring,constructor,cadillac,cadillac,18.801299999999998,14.1,1.333,0.002,16.512,8.94,91.06,prediction_snapshot_v1
2026-14-madring|driver|norris,2026,14,2026-14-madring,driver,norris,mclaren,7045.656,35.8,196.806,53.032,95.562,99.0,1.0,prediction_snapshot_v1
2026-14-madring|driver|antonelli,2026,14,2026-14-madring,driver,antonelli,mercedes,5681.224,35.0,162.321,35.702,83.968,99.0,1.0,prediction_snapshot_v1
2026-14-madring|driver|russell,2026,14,2026-14-madring,driver,russell,mercedes,3443.804,30.5,112.912,4.931,69.998,99.0,1.0,prediction_snapshot_v1
2026-14-madring|driver|hamilton,2026,14,2026-14-madring,driver,hamilton,ferrari,3133.0080000000003,30.5,102.722,4.89,58.986,99.0,1.0,prediction_snapshot_v1
2026-14-madring|driver|max_verstappen,2026,14,2026-14-madring,driver,max_verstappen,red_bull,2478.48,25.7,96.439,0.592,44.82,99.0,1.0,prediction_snapshot_v1
2026-14-madring|driver|leclerc,2026,14,2026-14-madring,driver,leclerc,ferrari,2121.06,24.1,88.011,0.284,32.715,99.0,1.0,prediction_snapshot_v1
2026-14-madring|driver|piastri,2026,14,2026-14-madring,driver,piastri,mclaren,1809.2359999999999,23.9,75.7,0.266,21.617,99.0,1.0,prediction_snapshot_v1
2026-14-madring|driver|gasly,2026,14,2026-14-madring,driver,gasly,alpine,1618.1159999999998,21.7,74.568,0.1,15.147,99.0,1.0,prediction_snapshot_v1
2026-14-madring|driver|lawson,2026,14,2026-14-madring,driver,lawson,red_bull,1594.24,20.6,77.39,0.06,14.38,99.0,1.0,prediction_snapshot_v1
2026-14-madring|driver|arvid_lindblad,2026,14,2026-14-madring,driver,arvid_lindblad,rb,1591.088,20.4,77.995,0.056,14.276,99.0,1.0,prediction_snapshot_v1
