id,season,round,race_id,race_name,circuit_id,scheduled_at,status,is_next_race,latest_completed_race_id,latest_completed_season,latest_completed_round,latest_completed_race_name,source_label
2026-01-albert_park,2026,1,2026-01-albert_park,Australian Grand Prix,albert_park,2026-03-08T04:00:00+00:00,completed,False,2026-01-albert_park,2026,1,Australian Grand Prix,schedule_plus_results
2026-02-shanghai,2026,2,2026-02-shanghai,Chinese Grand Prix,shanghai,2026-03-15T07:00:00+00:00,completed,False,2026-02-shanghai,2026,2,Chinese Grand Prix,schedule_plus_results
2026-03-suzuka,2026,3,2026-03-suzuka,Japanese Grand Prix,suzuka,2026-03-29T05:00:00+00:00,completed,False,2026-03-suzuka,2026,3,Japanese Grand Prix,schedule_plus_results
2026-04-miami,2026,4,2026-04-miami,Miami Grand Prix,miami,2026-05-03T20:00:00+00:00,completed,False,2026-04-miami,2026,4,Miami Grand Prix,schedule_plus_results
2026-05-villeneuve,2026,5,2026-05-villeneuve,Canadian Grand Prix,villeneuve,2026-05-24T20:00:00+00:00,completed,False,2026-05-villeneuve,2026,5,Canadian Grand Prix,schedule_plus_results
2026-06-monaco,2026,6,2026-06-monaco,Monaco Grand Prix,monaco,2026-06-07T13:00:00+00:00,completed,False,2026-06-monaco,2026,6,Monaco Grand Prix,schedule_plus_results
2026-07-catalunya,2026,7,2026-07-catalunya,Barcelona Grand Prix,catalunya,2026-06-14T13:00:00+00:00,completed,False,2026-07-catalunya,2026,7,Barcelona Grand Prix,schedule_plus_results
2026-08-red_bull_ring,2026,8,2026-08-red_bull_ring,Austrian Grand Prix,red_bull_ring,2026-06-28T13:00:00+00:00,completed,False,2026-08-red_bull_ring,2026,8,Austrian Grand Prix,schedule_plus_results
2026-09-silverstone,2026,9,2026-09-silverstone,British Grand Prix,silverstone,2026-07-05T14:00:00+00:00,completed,False,2026-09-silverstone,2026,9,British Grand Prix,schedule_plus_results
2026-10-spa,2026,10,2026-10-spa,Belgian Grand Prix,spa,2026-07-19T13:00:00+00:00,completed,False,2026-10-spa,2026,10,Belgian Grand Prix,schedule_plus_results
2026-11-hungaroring,2026,11,2026-11-hungaroring,Hungarian Grand Prix,hungaroring,2026-07-26T13:00:00+00:00,completed,False,2026-11-hungaroring,2026,11,Hungarian Grand Prix,schedule_plus_results
2026-12-zandvoort,2026,12,2026-12-zandvoort,Dutch Grand Prix,zandvoort,2026-08-23T13:00:00+00:00,completed,False,2026-12-zandvoort,2026,12,Dutch Grand Prix,schedule_plus_results
2026-13-monza,2026,13,2026-13-monza,Italian Grand Prix,monza,2026-09-06T13:00:00+00:00,upcoming,True,2026-12-zandvoort,2026,12,Dutch Grand Prix,schedule_plus_results
2026-14-madring,2026,14,2026-14-madring,Spanish Grand Prix,madring,2026-09-13T13:00:00+00:00,scheduled,False,2026-12-zandvoort,2026,12,Dutch Grand Prix,schedule_plus_results
2026-15-baku,2026,15,2026-15-baku,Azerbaijan Grand Prix,baku,2026-09-26T11:00:00+00:00,scheduled,False,2026-12-zandvoort,2026,12,Dutch Grand Prix,schedule_plus_results
2026-16-sepang,2026,16,2026-16-sepang,Bahrain Grand Prix in Malaysia,sepang,2026-10-04T07:00:00+00:00,scheduled,False,2026-12-zandvoort,2026,12,Dutch Grand Prix,schedule_plus_results
2026-17-marina_bay,2026,17,2026-17-marina_bay,Singapore Grand Prix,marina_bay,2026-10-11T12:00:00+00:00,scheduled,False,2026-12-zandvoort,2026,12,Dutch Grand Prix,schedule_plus_results
2026-18-americas,2026,18,2026-18-americas,United States Grand Prix,americas,2026-10-25T20:00:00+00:00,scheduled,False,2026-12-zandvoort,2026,12,Dutch Grand Prix,schedule_plus_results
2026-19-rodriguez,2026,19,2026-19-rodriguez,Mexico City Grand Prix,rodriguez,2026-11-01T20:00:00+00:00,scheduled,False,2026-12-zandvoort,2026,12,Dutch Grand Prix,schedule_plus_results
2026-20-interlagos,2026,20,2026-20-interlagos,Brazilian Grand Prix,interlagos,2026-11-08T17:00:00+00:00,scheduled,False,2026-12-zandvoort,2026,12,Dutch Grand Prix,schedule_plus_results
2026-21-vegas,2026,21,2026-21-vegas,Las Vegas Grand Prix,vegas,2026-11-22T04:00:00+00:00,scheduled,False,2026-12-zandvoort,2026,12,Dutch Grand Prix,schedule_plus_results
2026-22-losail,2026,22,2026-22-losail,Qatar Grand Prix,losail,2026-11-29T16:00:00+00:00,scheduled,False,2026-12-zandvoort,2026,12,Dutch Grand Prix,schedule_plus_results
2026-23-yas_marina,2026,23,2026-23-yas_marina,Abu Dhabi Grand Prix,yas_marina,2026-12-06T13:00:00+00:00,scheduled,False,2026-12-zandvoort,2026,12,Dutch Grand Prix,schedule_plus_results
