id,season,round,race_name,official_name,circuit_id,scheduled_at,sprint_weekend
2024-01-bahrain,2024,1,Bahrain Grand Prix,,bahrain,2024-03-02T15:00:00Z,False
2024-02-jeddah,2024,2,Saudi Arabian Grand Prix,,jeddah,2024-03-09T17:00:00Z,False
2024-03-albert_park,2024,3,Australian Grand Prix,,albert_park,2024-03-24T04:00:00Z,False
2024-04-suzuka,2024,4,Japanese Grand Prix,,suzuka,2024-04-07T05:00:00Z,False
2024-05-shanghai,2024,5,Chinese Grand Prix,,shanghai,2024-04-21T07:00:00Z,True
2024-06-miami,2024,6,Miami Grand Prix,,miami,2024-05-05T20:00:00Z,True
2024-07-imola,2024,7,Emilia Romagna Grand Prix,,imola,2024-05-19T13:00:00Z,False
2024-08-monaco,2024,8,Monaco Grand Prix,,monaco,2024-05-26T13:00:00Z,False
2024-09-villeneuve,2024,9,Canadian Grand Prix,,villeneuve,2024-06-09T18:00:00Z,False
2024-10-catalunya,2024,10,Spanish Grand Prix,,catalunya,2024-06-23T13:00:00Z,False
2024-11-red_bull_ring,2024,11,Austrian Grand Prix,,red_bull_ring,2024-06-30T13:00:00Z,True
2024-12-silverstone,2024,12,British Grand Prix,,silverstone,2024-07-07T14:00:00Z,False
2024-13-hungaroring,2024,13,Hungarian Grand Prix,,hungaroring,2024-07-21T13:00:00Z,False
2024-14-spa,2024,14,Belgian Grand Prix,,spa,2024-07-28T13:00:00Z,False
2024-15-zandvoort,2024,15,Dutch Grand Prix,,zandvoort,2024-08-25T13:00:00Z,False
2024-16-monza,2024,16,Italian Grand Prix,,monza,2024-09-01T13:00:00Z,False
2024-17-baku,2024,17,Azerbaijan Grand Prix,,baku,2024-09-15T11:00:00Z,False
2024-18-marina_bay,2024,18,Singapore Grand Prix,,marina_bay,2024-09-22T12:00:00Z,False
2024-19-americas,2024,19,United States Grand Prix,,americas,2024-10-20T19:00:00Z,True
2024-20-rodriguez,2024,20,Mexico City Grand Prix,,rodriguez,2024-10-27T20:00:00Z,False
2024-21-interlagos,2024,21,São Paulo Grand Prix,,interlagos,2024-11-03T17:00:00Z,True
2024-22-vegas,2024,22,Las Vegas Grand Prix,,vegas,2024-11-23T06:00:00Z,False
2024-23-losail,2024,23,Qatar Grand Prix,,losail,2024-12-01T16:00:00Z,True
2024-24-yas_marina,2024,24,Abu Dhabi Grand Prix,,yas_marina,2024-12-08T13:00:00Z,False
2025-01-albert_park,2025,1,Australian Grand Prix,,albert_park,2025-03-16T04:00:00Z,False
2025-02-shanghai,2025,2,Chinese Grand Prix,,shanghai,2025-03-23T07:00:00Z,True
2025-03-suzuka,2025,3,Japanese Grand Prix,,suzuka,2025-04-06T05:00:00Z,False
2025-04-bahrain,2025,4,Bahrain Grand Prix,,bahrain,2025-04-13T15:00:00Z,False
2025-05-jeddah,2025,5,Saudi Arabian Grand Prix,,jeddah,2025-04-20T17:00:00Z,False
2025-06-miami,2025,6,Miami Grand Prix,,miami,2025-05-04T20:00:00Z,True
2025-07-imola,2025,7,Emilia Romagna Grand Prix,,imola,2025-05-18T13:00:00Z,False
2025-08-monaco,2025,8,Monaco Grand Prix,,monaco,2025-05-25T13:00:00Z,False
2025-09-catalunya,2025,9,Spanish Grand Prix,,catalunya,2025-06-01T13:00:00Z,False
2025-10-villeneuve,2025,10,Canadian Grand Prix,,villeneuve,2025-06-15T18:00:00Z,False
2025-11-red_bull_ring,2025,11,Austrian Grand Prix,,red_bull_ring,2025-06-29T13:00:00Z,False
2025-12-silverstone,2025,12,British Grand Prix,,silverstone,2025-07-06T14:00:00Z,False
2025-13-spa,2025,13,Belgian Grand Prix,,spa,2025-07-27T13:00:00Z,True
2025-14-hungaroring,2025,14,Hungarian Grand Prix,,hungaroring,2025-08-03T13:00:00Z,False
2025-15-zandvoort,2025,15,Dutch Grand Prix,,zandvoort,2025-08-31T13:00:00Z,False
