id,race_id,driver_id,constructor_id,grid_position,finish_position,finish_status,points,laps_completed
2026-02-shanghai|russell,2026-02-shanghai,russell,mercedes,1,1,Finished,8.0,19
2026-02-shanghai|leclerc,2026-02-shanghai,leclerc,ferrari,6,2,Finished,7.0,19
2026-02-shanghai|hamilton,2026-02-shanghai,hamilton,ferrari,4,3,Finished,6.0,19
2026-02-shanghai|norris,2026-02-shanghai,norris,mclaren,3,4,Finished,5.0,19
2026-02-shanghai|antonelli,2026-02-shanghai,antonelli,mercedes,2,5,Finished,4.0,19
2026-02-shanghai|piastri,2026-02-shanghai,piastri,mclaren,5,6,Finished,3.0,19
2026-02-shanghai|lawson,2026-02-shanghai,lawson,rb,13,7,Finished,2.0,19
2026-02-shanghai|bearman,2026-02-shanghai,bearman,haas,9,8,Finished,1.0,19
2026-02-shanghai|max_verstappen,2026-02-shanghai,max_verstappen,red_bull,8,9,Finished,0.0,19
2026-02-shanghai|ocon,2026-02-shanghai,ocon,haas,12,10,Finished,0.0,19
2026-02-shanghai|gasly,2026-02-shanghai,gasly,alpine,7,11,Finished,0.0,19
2026-02-shanghai|sainz,2026-02-shanghai,sainz,williams,17,12,Finished,0.0,19
2026-02-shanghai|bortoleto,2026-02-shanghai,bortoleto,audi,14,13,Finished,0.0,19
2026-02-shanghai|colapinto,2026-02-shanghai,colapinto,alpine,16,14,Finished,0.0,19
2026-02-shanghai|hadjar,2026-02-shanghai,hadjar,red_bull,10,15,Finished,0.0,19
2026-02-shanghai|albon,2026-02-shanghai,albon,williams,22,16,Finished,0.0,19
2026-02-shanghai|alonso,2026-02-shanghai,alonso,aston_martin,18,17,Finished,0.0,19
2026-02-shanghai|stroll,2026-02-shanghai,stroll,aston_martin,19,18,Finished,0.0,19
2026-02-shanghai|perez,2026-02-shanghai,perez,cadillac,21,19,Finished,0.0,19
2026-02-shanghai|hulkenberg,2026-02-shanghai,hulkenberg,audi,11,20,Retired,0.0,12
2026-02-shanghai|bottas,2026-02-shanghai,bottas,cadillac,20,21,Retired,0.0,12
2026-02-shanghai|arvid_lindblad,2026-02-shanghai,arvid_lindblad,rb,15,22,Retired,0.0,11
2026-04-miami|norris,2026-04-miami,norris,mclaren,1,1,Finished,8.0,19
2026-04-miami|piastri,2026-04-miami,piastri,mclaren,3,2,Finished,7.0,19
2026-04-miami|leclerc,2026-04-miami,leclerc,ferrari,4,3,Finished,6.0,19
2026-04-miami|russell,2026-04-miami,russell,mercedes,6,4,Finished,5.0,19
2026-04-miami|max_verstappen,2026-04-miami,max_verstappen,red_bull,5,5,Finished,4.0,19
2026-04-miami|antonelli,2026-04-miami,antonelli,mercedes,2,6,Finished,3.0,19
2026-04-miami|hamilton,2026-04-miami,hamilton,ferrari,7,7,Finished,2.0,19
