id,season,round,race_id,constructor_id,regulation_era,two_car_long_run_pace_s,two_car_quali_pace_s,recent_pace_rank,reliability_index,weather_risk_index,source_label
2026-01|Alpine,2026,1,2026-01,Alpine,regulations_2026_reset,,,,80.0,0.0,fastf1_constructor_form_v1
2026-01|Aston Martin,2026,1,2026-01,Aston Martin,regulations_2026_reset,,,,80.0,0.0,fastf1_constructor_form_v1
2026-01|Audi,2026,1,2026-01,Audi,regulations_2026_reset,,,,80.0,0.0,fastf1_constructor_form_v1
2026-01|Cadillac,2026,1,2026-01,Cadillac,regulations_2026_reset,,,,80.0,0.0,fastf1_constructor_form_v1
2026-01|Ferrari,2026,1,2026-01,Ferrari,regulations_2026_reset,,,,80.0,0.0,fastf1_constructor_form_v1
2026-01|Haas F1 Team,2026,1,2026-01,Haas F1 Team,regulations_2026_reset,,,,80.0,0.0,fastf1_constructor_form_v1
2026-01|McLaren,2026,1,2026-01,McLaren,regulations_2026_reset,,,,80.0,0.0,fastf1_constructor_form_v1
2026-01|Mercedes,2026,1,2026-01,Mercedes,regulations_2026_reset,,,,80.0,0.0,fastf1_constructor_form_v1
2026-01|Racing Bulls,2026,1,2026-01,Racing Bulls,regulations_2026_reset,,,,80.0,0.0,fastf1_constructor_form_v1
2026-01|Red Bull Racing,2026,1,2026-01,Red Bull Racing,regulations_2026_reset,,,,80.0,0.0,fastf1_constructor_form_v1
2026-01|Williams,2026,1,2026-01,Williams,regulations_2026_reset,,,,80.0,0.0,fastf1_constructor_form_v1
2026-02|Alpine,2026,2,2026-02,Alpine,regulations_2026_reset,,,10.5,80.0,0.0,fastf1_constructor_form_v1
2026-02|Aston Martin,2026,2,2026-02,Aston Martin,regulations_2026_reset,,,18.0,80.0,0.0,fastf1_constructor_form_v1
2026-02|Audi,2026,2,2026-02,Audi,regulations_2026_reset,,,,80.0,0.0,fastf1_constructor_form_v1
2026-02|Cadillac,2026,2,2026-02,Cadillac,regulations_2026_reset,,,19.0,80.0,0.0,fastf1_constructor_form_v1
2026-02|Ferrari,2026,2,2026-02,Ferrari,regulations_2026_reset,,,4.0,80.0,0.0,fastf1_constructor_form_v1
2026-02|Haas F1 Team,2026,2,2026-02,Haas F1 Team,regulations_2026_reset,,,12.5,80.0,0.0,fastf1_constructor_form_v1
2026-02|Mercedes,2026,2,2026-02,Mercedes,regulations_2026_reset,,,4.0,80.0,0.0,fastf1_constructor_form_v1
