race_analysis_id,season,round,event,race_name,session_id,circuit,race_date,winner,winner_team,driver_count,classified_driver_count,stint_count,pit_stop_count,weather_available,race_control_available,analysis_quality_score,generated_at,build_version,freshness_status
2024-01-bahrain,2024,1,Bahrain Grand Prix,Bahrain Grand Prix,2024_01_R_Bahrain Grand Prix,bahrain,2024-03-02T15:00:00Z,VER,Red Bull Racing,20,20,63,43,True,False,1.0,2026-07-31T22:06:37Z,race-analysis-v1,ready
2024-02-jeddah,2024,2,Saudi Arabian Grand Prix,Saudi Arabian Grand Prix,2024_02_R_Saudi Arabian Grand Prix,jeddah,2024-03-09T17:00:00Z,VER,Red Bull Racing,20,20,39,19,True,False,0.996,2026-07-31T22:06:37Z,race-analysis-v1,ready
2024-03-albert_park,2024,3,Australian Grand Prix,Australian Grand Prix,2024_03_R_Australian Grand Prix,albert_park,2024-03-24T04:00:00Z,SAI,Ferrari,19,19,55,36,True,False,1.0,2026-07-31T22:06:37Z,race-analysis-v1,ready
2024-04-suzuka,2024,4,Japanese Grand Prix,Japanese Grand Prix,2024_04_R_Japanese Grand Prix,suzuka,2024-04-07T05:00:00Z,VER,Red Bull Racing,20,20,74,54,True,False,0.995,2026-07-31T22:06:37Z,race-analysis-v1,ready
2024-05-shanghai,2024,5,Chinese Grand Prix,Chinese Grand Prix,2024_05_R_Chinese Grand Prix,shanghai,2024-04-21T07:00:00Z,VER,Red Bull Racing,20,20,60,40,True,False,0.996,2026-07-31T22:06:37Z,race-analysis-v1,ready
2024-06-miami,2024,6,Miami Grand Prix,Miami Grand Prix,2024_06_R_Miami Grand Prix,miami,2024-05-05T20:00:00Z,NOR,McLaren,20,20,48,28,True,False,0.999,2026-07-31T22:06:37Z,race-analysis-v1,ready
2024-07-imola,2024,7,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,2024_07_R_Emilia Romagna Grand Prix,imola,2024-05-19T13:00:00Z,VER,Red Bull Racing,20,20,47,27,True,False,1.0,2026-07-31T22:06:37Z,race-analysis-v1,ready
2024-08-monaco,2024,8,Monaco Grand Prix,Monaco Grand Prix,2024_08_R_Monaco Grand Prix,monaco,2024-05-26T13:00:00Z,LEC,Ferrari,20,20,43,23,True,False,0.998,2026-07-31T22:06:37Z,race-analysis-v1,ready
2024-09-villeneuve,2024,9,Canadian Grand Prix,Canadian Grand Prix,2024_09_R_Canadian Grand Prix,villeneuve,2024-06-09T18:00:00Z,VER,Red Bull Racing,20,20,62,42,True,False,0.999,2026-07-31T22:06:37Z,race-analysis-v1,ready
2024-10-catalunya,2024,10,Spanish Grand Prix,Spanish Grand Prix,2024_10_R_Spanish Grand Prix,catalunya,2024-06-23T13:00:00Z,VER,Red Bull Racing,20,20,62,42,True,False,1.0,2026-07-31T22:06:37Z,race-analysis-v1,ready
2024-11-red_bull_ring,2024,11,Austrian Grand Prix,Austrian Grand Prix,2024_11_R_Austrian Grand Prix,red_bull_ring,2024-06-30T13:00:00Z,RUS,Mercedes,20,20,65,45,True,False,1.0,2026-07-31T22:06:37Z,race-analysis-v1,ready
2024-12-silverstone,2024,12,British Grand Prix,British Grand Prix,2024_12_R_British Grand Prix,silverstone,2024-07-07T14:00:00Z,HAM,Mercedes,20,20,65,45,True,False,1.0,2026-07-31T22:06:37Z,race-analysis-v1,ready
2024-13-hungaroring,2024,13,Hungarian Grand Prix,Hungarian Grand Prix,2024_13_R_Hungarian Grand Prix,hungaroring,2024-07-21T13:00:00Z,PIA,McLaren,20,20,60,40,True,False,1.0,2026-07-31T22:06:37Z,race-analysis-v1,ready
