race_analysis_id,phase_id,start_lap,end_lap,status_label,affected_laps,confidence,evidence_type,cause_available,cause_note
2026-01-albert_park,2026-01-albert_park-status-01,11,11,virtual-safety-car,1,0.85,track_status_only,False,Cause unavailable: no race-control message source found locally.
2026-01-albert_park,2026-01-albert_park-status-02,12,14,mixed,3,0.65,track_status_only,False,Cause unavailable: no race-control message source found locally.
2026-01-albert_park,2026-01-albert_park-status-03,17,20,mixed,4,0.65,track_status_only,False,Cause unavailable: no race-control message source found locally.
2026-01-albert_park,2026-01-albert_park-status-04,22,22,mixed,1,0.65,track_status_only,False,Cause unavailable: no race-control message source found locally.
2026-01-albert_park,2026-01-albert_park-status-05,32,34,mixed,3,0.65,track_status_only,False,Cause unavailable: no race-control message source found locally.
2026-02-shanghai,2026-02-shanghai-status-01,1,1,yellow,1,0.85,track_status_only,False,Cause unavailable: no race-control message source found locally.
2026-02-shanghai,2026-02-shanghai-status-02,10,10,mixed,1,0.65,track_status_only,False,Cause unavailable: no race-control message source found locally.
2026-02-shanghai,2026-02-shanghai-status-03,11,13,safety-car,3,0.85,track_status_only,False,Cause unavailable: no race-control message source found locally.
2026-02-shanghai,2026-02-shanghai-status-04,17,18,yellow,2,0.85,track_status_only,False,Cause unavailable: no race-control message source found locally.
2026-02-shanghai,2026-02-shanghai-status-05,27,28,yellow,2,0.85,track_status_only,False,Cause unavailable: no race-control message source found locally.
2026-02-shanghai,2026-02-shanghai-status-06,32,33,yellow,2,0.85,track_status_only,False,Cause unavailable: no race-control message source found locally.
2026-02-shanghai,2026-02-shanghai-status-07,52,53,yellow,2,0.85,track_status_only,False,Cause unavailable: no race-control message source found locally.
2026-03-suzuka,2026-03-suzuka-status-01,21,22,mixed,2,0.65,track_status_only,False,Cause unavailable: no race-control message source found locally.
2026-03-suzuka,2026-03-suzuka-status-02,23,27,safety-car,5,0.85,track_status_only,False,Cause unavailable: no race-control message source found locally.
2026-04-miami,2026-04-miami-status-01,5,6,mixed,2,0.65,track_status_only,False,Cause unavailable: no race-control message source found locally.
2026-04-miami,2026-04-miami-status-02,7,11,safety-car,5,0.85,track_status_only,False,Cause unavailable: no race-control message source found locally.
2026-04-miami,2026-04-miami-status-03,15,16,yellow,2,0.85,track_status_only,False,Cause unavailable: no race-control message source found locally.
2026-04-miami,2026-04-miami-status-04,46,48,yellow,3,0.85,track_status_only,False,Cause unavailable: no race-control message source found locally.
2026-04-miami,2026-04-miami-status-05,54,57,yellow,4,0.85,track_status_only,False,Cause unavailable: no race-control message source found locally.
2026-05-villeneuve,2026-05-villeneuve-status-01,11,14,yellow,4,0.85,track_status_only,False,Cause unavailable: no race-control message source found locally.
2026-05-villeneuve,2026-05-villeneuve-status-02,17,19,yellow,3,0.85,track_status_only,False,Cause unavailable: no race-control message source found locally.
2026-05-villeneuve,2026-05-villeneuve-status-03,28,32,mixed,5,0.65,track_status_only,False,Cause unavailable: no race-control message source found locally.
2026-05-villeneuve,2026-05-villeneuve-status-04,37,40,yellow,4,0.85,track_status_only,False,Cause unavailable: no race-control message source found locally.
2026-05-villeneuve,2026-05-villeneuve-status-05,43,46,mixed,4,0.65,track_status_only,False,Cause unavailable: no race-control message source found locally.
2026-05-villeneuve,2026-05-villeneuve-status-06,49,49,virtual-safety-car,1,0.85,track_status_only,False,Cause unavailable: no race-control message source found locally.
2026-05-villeneuve,2026-05-villeneuve-status-07,50,54,mixed,5,0.65,track_status_only,False,Cause unavailable: no race-control message source found locally.
2026-05-villeneuve,2026-05-villeneuve-status-08,57,61,yellow,5,0.85,track_status_only,False,Cause unavailable: no race-control message source found locally.
2026-06-monaco,2026-06-monaco-status-01,1,1,yellow,1,0.85,track_status_only,False,Cause unavailable: no race-control message source found locally.
2026-06-monaco,2026-06-monaco-status-02,57,60,mixed,4,0.65,track_status_only,False,Cause unavailable: no race-control message source found locally.
2026-06-monaco,2026-06-monaco-status-03,61,63,safety-car,3,0.85,track_status_only,False,Cause unavailable: no race-control message source found locally.
