race_analysis_id,driver,team,lap_number,race_phase,compound,stint_number,lap_time_s,normalized_pace_delta_s,field_rank_on_lap,rolling_pace_delta_s,tyre_age,fuel_corrected_delta_s,weather_adjusted_flag,pace_confidence
2024-01-bahrain,ALB,Williams,1,opening,SOFT,1,103.888,0.202,11,0.202,1,0.237,False,0.72
2024-01-bahrain,ALB,Williams,2,opening,SOFT,1,98.826,0.498,14,0.35,2,0.568,False,0.72
2024-01-bahrain,ALB,Williams,3,opening,SOFT,1,98.507,0.156,13,0.285,3,0.261,False,0.72
2024-01-bahrain,ALB,Williams,4,opening,SOFT,1,98.422,0.123,14,0.259,4,0.263,False,0.72
2024-01-bahrain,ALB,Williams,5,opening,SOFT,1,98.509,0.08,11,0.12,5,0.255,False,0.72
2024-01-bahrain,ALB,Williams,6,opening,SOFT,1,98.575,0.303,14,0.169,6,0.513,False,0.72
2024-01-bahrain,ALB,Williams,7,opening,SOFT,1,98.971,0.462,14,0.282,7,0.707,False,0.72
2024-01-bahrain,ALB,Williams,8,opening,SOFT,1,98.66,0.293,12,0.353,8,0.573,False,0.72
2024-01-bahrain,ALB,Williams,9,opening,SOFT,1,98.652,0.004,11,0.253,9,0.319,False,0.72
2024-01-bahrain,ALB,Williams,10,opening,SOFT,1,98.952,0.205,14,0.167,10,0.555,False,0.72
2024-01-bahrain,ALB,Williams,11,opening,SOFT,1,98.835,0.23,13,0.146,11,0.615,False,0.72
2024-01-bahrain,ALB,Williams,12,middle,SOFT,1,98.934,0.103,12,0.179,12,0.523,False,0.72
2024-01-bahrain,ALB,Williams,13,middle,SOFT,1,98.823,0.118,11,0.15,13,0.573,False,0.72
2024-01-bahrain,ALB,Williams,14,middle,SOFT,1,98.977,1.37,15,0.53,14,1.86,False,0.72
2024-01-bahrain,ALB,Williams,15,middle,SOFT,1,101.171,3.675,18,1.721,15,4.2,False,0.72
2024-01-bahrain,ALB,Williams,16,middle,HARD,2,119.341,21.822,20,8.956,1,22.382,False,0.72
2024-01-bahrain,ALB,Williams,17,middle,HARD,2,97.392,-0.045,10,8.484,2,0.55,False,0.72
2024-01-bahrain,ALB,Williams,18,middle,HARD,2,97.59,0.023,12,7.267,3,0.653,False,0.72
2024-01-bahrain,ALB,Williams,19,middle,HARD,2,97.763,0.288,16,0.089,4,0.953,False,0.72
2024-01-bahrain,ALB,Williams,20,middle,HARD,2,97.701,-0.024,10,0.096,5,0.676,False,0.72
2024-01-bahrain,ALB,Williams,21,middle,HARD,2,97.918,0.357,13,0.207,6,1.092,False,0.72
2024-01-bahrain,ALB,Williams,22,middle,HARD,2,98.031,0.606,17,0.313,7,1.376,False,0.72
2024-01-bahrain,ALB,Williams,23,middle,HARD,2,97.869,0.426,16,0.463,8,1.231,False,0.72
2024-01-bahrain,ALB,Williams,24,middle,HARD,2,98.204,0.864,18,0.632,9,1.704,False,0.72
2024-01-bahrain,ALB,Williams,25,middle,HARD,2,98.226,0.711,16,0.667,10,1.586,False,0.72
