race_analysis_id,event_id,driver,team,start_lap,end_lap,position_delta,phase,event_type,evidence_type,confidence,note
2026-01-albert_park,2026-01-albert_park-pos-0001,ALB,Williams,2,2,-1.0,opening,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0002,ALB,Williams,4,4,-1.0,opening,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0003,ALB,Williams,5,5,1.0,opening,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0004,ALB,Williams,11,11,3.0,opening,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0005,ALB,Williams,12,12,-2.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0006,ALB,Williams,16,16,-1.0,middle,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0007,ALB,Williams,29,29,1.0,middle,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0008,ALO,Aston Martin,3,3,-2.0,opening,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0009,ALO,Aston Martin,5,5,-2.0,opening,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0010,ALO,Aston Martin,6,6,-2.0,opening,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0011,ALO,Aston Martin,7,7,-1.0,opening,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0012,ALO,Aston Martin,9,9,1.0,opening,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
