race_analysis_id,driver,team,lap_number,position,position_delta_from_start,position_delta_from_previous_lap,phase,track_status_label,confidence,evidence_type
2026-01-albert_park,ALB,Williams,1,12,3,0.0,opening,green,0.82,derived
2026-01-albert_park,ALB,Williams,2,13,2,-1.0,opening,green,0.82,derived
2026-01-albert_park,ALB,Williams,3,13,2,0.0,opening,green,0.82,derived
2026-01-albert_park,ALB,Williams,4,14,1,-1.0,opening,green,0.82,derived
2026-01-albert_park,ALB,Williams,5,13,2,1.0,opening,green,0.82,derived
2026-01-albert_park,ALB,Williams,6,13,2,0.0,opening,green,0.82,derived
2026-01-albert_park,ALB,Williams,7,13,2,0.0,opening,green,0.82,derived
2026-01-albert_park,ALB,Williams,8,13,2,0.0,opening,green,0.82,derived
2026-01-albert_park,ALB,Williams,9,13,2,0.0,opening,green,0.82,derived
2026-01-albert_park,ALB,Williams,10,13,2,0.0,opening,green,0.82,derived
2026-01-albert_park,ALB,Williams,11,10,5,3.0,opening,virtual-safety-car,0.52,derived
2026-01-albert_park,ALB,Williams,12,12,3,-2.0,middle,mixed,0.52,derived
2026-01-albert_park,ALB,Williams,13,12,3,0.0,middle,mixed,0.52,derived
2026-01-albert_park,ALB,Williams,14,12,3,0.0,middle,mixed,0.52,derived
2026-01-albert_park,ALB,Williams,15,12,3,0.0,middle,green,0.82,derived
2026-01-albert_park,ALB,Williams,16,13,2,-1.0,middle,green,0.82,derived
2026-01-albert_park,ALB,Williams,17,13,2,0.0,middle,mixed,0.52,derived
2026-01-albert_park,ALB,Williams,18,13,2,0.0,middle,mixed,0.52,derived
2026-01-albert_park,ALB,Williams,19,13,2,0.0,middle,mixed,0.52,derived
2026-01-albert_park,ALB,Williams,20,13,2,0.0,middle,mixed,0.52,derived
2026-01-albert_park,ALB,Williams,21,13,2,0.0,middle,green,0.82,derived
2026-01-albert_park,ALB,Williams,22,13,2,0.0,middle,mixed,0.52,derived
2026-01-albert_park,ALB,Williams,23,13,2,0.0,middle,green,0.82,derived
2026-01-albert_park,ALB,Williams,24,13,2,0.0,middle,green,0.82,derived
2026-01-albert_park,ALB,Williams,25,13,2,0.0,middle,green,0.82,derived
2026-01-albert_park,ALB,Williams,26,13,2,0.0,middle,green,0.82,derived
2026-01-albert_park,ALB,Williams,27,13,2,0.0,middle,green,0.82,derived
2026-01-albert_park,ALB,Williams,28,13,2,0.0,middle,green,0.82,derived
2026-01-albert_park,ALB,Williams,29,12,3,1.0,middle,green,0.82,derived
2026-01-albert_park,ALB,Williams,30,12,3,0.0,middle,green,0.82,derived
2026-01-albert_park,ALB,Williams,31,12,3,0.0,middle,green,0.82,derived
2026-01-albert_park,ALB,Williams,32,12,3,0.0,middle,mixed,0.52,derived
2026-01-albert_park,ALB,Williams,33,12,3,0.0,middle,mixed,0.52,derived
2026-01-albert_park,ALB,Williams,34,12,3,0.0,middle,mixed,0.52,derived
2026-01-albert_park,ALB,Williams,35,12,3,0.0,middle,green,0.82,derived
2026-01-albert_park,ALB,Williams,36,12,3,0.0,middle,green,0.82,derived
2026-01-albert_park,ALB,Williams,37,12,3,0.0,middle,green,0.82,derived
2026-01-albert_park,ALB,Williams,38,12,3,0.0,middle,green,0.82,derived
2026-01-albert_park,ALB,Williams,39,12,3,0.0,middle,green,0.82,derived
2026-01-albert_park,ALB,Williams,40,12,3,0.0,middle,green,0.82,derived
2026-01-albert_park,ALB,Williams,41,12,3,0.0,middle,green,0.82,derived
2026-01-albert_park,ALB,Williams,42,12,3,0.0,middle,green,0.82,derived
2026-01-albert_park,ALB,Williams,43,12,3,0.0,middle,green,0.82,derived
2026-01-albert_park,ALB,Williams,44,12,3,0.0,closing,green,0.82,derived
2026-01-albert_park,ALB,Williams,45,12,3,0.0,closing,green,0.82,derived
2026-01-albert_park,ALB,Williams,46,12,3,0.0,closing,green,0.82,derived
2026-01-albert_park,ALB,Williams,47,12,3,0.0,closing,green,0.82,derived
2026-01-albert_park,ALB,Williams,48,12,3,0.0,closing,green,0.82,derived
2026-01-albert_park,ALB,Williams,49,12,3,0.0,closing,green,0.82,derived
2026-01-albert_park,ALB,Williams,50,12,3,0.0,closing,green,0.82,derived
2026-01-albert_park,ALB,Williams,51,12,3,0.0,closing,green,0.82,derived
2026-01-albert_park,ALB,Williams,52,12,3,0.0,closing,green,0.82,derived
2026-01-albert_park,ALB,Williams,53,12,3,0.0,closing,green,0.82,derived
2026-01-albert_park,ALB,Williams,54,12,3,0.0,closing,green,0.82,derived
2026-01-albert_park,ALB,Williams,55,12,3,0.0,closing,green,0.82,derived
2026-01-albert_park,ALB,Williams,56,12,3,0.0,closing,green,0.82,derived
2026-01-albert_park,ALB,Williams,57,12,3,0.0,closing,green,0.82,derived
2026-01-albert_park,ALO,Aston Martin,1,10,7,0.0,opening,green,0.82,derived
2026-01-albert_park,ALO,Aston Martin,2,10,7,0.0,opening,green,0.82,derived
2026-01-albert_park,ALO,Aston Martin,3,12,5,-2.0,opening,green,0.82,derived
2026-01-albert_park,ALO,Aston Martin,4,12,5,0.0,opening,green,0.82,derived
2026-01-albert_park,ALO,Aston Martin,5,14,3,-2.0,opening,green,0.82,derived
2026-01-albert_park,ALO,Aston Martin,6,16,1,-2.0,opening,green,0.82,derived
2026-01-albert_park,ALO,Aston Martin,7,17,0,-1.0,opening,green,0.82,derived
2026-01-albert_park,ALO,Aston Martin,8,17,0,0.0,opening,green,0.82,derived
2026-01-albert_park,ALO,Aston Martin,9,16,1,1.0,opening,green,0.82,derived
2026-01-albert_park,ALO,Aston Martin,10,16,1,0.0,opening,green,0.82,derived
2026-01-albert_park,ALO,Aston Martin,11,17,0,-1.0,opening,virtual-safety-car,0.52,derived
2026-01-albert_park,ALO,Aston Martin,12,16,1,1.0,middle,mixed,0.52,derived
2026-01-albert_park,ALO,Aston Martin,13,19,-2,-3.0,middle,mixed,0.52,derived
