race_analysis_id,lap_number,race_phase,air_temp_c,track_temp_c,humidity_pct,rainfall,wind_speed_mps,weather_state,track_temp_delta_from_start_c,weather_impact_label,confidence
2024-01-bahrain,1,opening,18.9,26.5,46.0,False,0.9,dry,0.0,stable dry phase,1.0
2024-01-bahrain,2,opening,18.9,26.5,46.0,False,1.0,dry,0.0,stable dry phase,1.0
2024-01-bahrain,3,opening,18.9,26.2,45.05,False,1.1,dry,-0.3,stable dry phase,1.0
2024-01-bahrain,4,opening,18.9,26.2,46.0,False,1.02,dry,-0.3,stable dry phase,1.0
2024-01-bahrain,5,opening,18.9,26.2,46.0,False,0.83,dry,-0.3,stable dry phase,1.0
2024-01-bahrain,6,opening,18.9,26.19,46.0,False,0.91,dry,-0.31,stable dry phase,1.0
2024-01-bahrain,7,opening,18.89,25.79,46.05,False,1.57,dry,-0.71,stable dry phase,1.0
2024-01-bahrain,8,opening,18.8,25.7,47.0,False,1.03,dry,-0.8,stable dry phase,1.0
2024-01-bahrain,9,opening,18.7,25.8,46.95,False,0.82,dry,-0.7,stable dry phase,1.0
2024-01-bahrain,10,opening,18.8,25.7,46.0,False,1.4,dry,-0.8,stable dry phase,1.0
2024-01-bahrain,11,opening,18.7,25.6,46.0,False,0.57,dry,-0.9,stable dry phase,1.0
2024-01-bahrain,12,middle,18.7,25.57,46.0,False,1.06,dry,-0.93,stable dry phase,1.0
2024-01-bahrain,13,middle,18.7,25.49,46.0,False,0.83,dry,-1.01,stable dry phase,1.0
2024-01-bahrain,14,middle,18.7,25.43,46.0,False,1.15,dry,-1.07,stable dry phase,1.0
2024-01-bahrain,15,middle,18.7,25.4,46.0,False,1.33,dry,-1.1,stable dry phase,1.0
2024-01-bahrain,16,middle,18.7,25.4,46.0,False,1.35,dry,-1.1,stable dry phase,1.0
2024-01-bahrain,17,middle,18.62,25.46,46.0,False,0.59,dry,-1.04,stable dry phase,1.0
2024-01-bahrain,18,middle,18.6,25.29,46.0,False,0.6,dry,-1.21,stable dry phase,1.0
2024-01-bahrain,19,middle,18.6,25.02,46.0,False,0.44,dry,-1.48,stable dry phase,1.0
2024-01-bahrain,20,middle,18.6,24.94,46.0,False,1.19,dry,-1.56,stable dry phase,1.0
2024-01-bahrain,21,middle,18.6,24.89,46.0,False,1.31,dry,-1.61,stable dry phase,1.0
