id,season,round,race_id,constructor_id,two_car_long_run_pace_s,two_car_one_lap_pace_s,degradation_index,reliability_index,weather_risk_index,readiness_score,signal_confidence,source_label
2026-10-spa|alpine,2026,10,2026-10-spa,alpine,,,,70.0,0.0,0.259666,0.25,race_week_constructor_features_v1
2026-10-spa|aston_martin,2026,10,2026-10-spa,aston_martin,,,,70.0,0.0,0.0034,0.25,race_week_constructor_features_v1
2026-10-spa|audi,2026,10,2026-10-spa,audi,,,,70.0,0.0,0.198121,0.25,race_week_constructor_features_v1
2026-10-spa|cadillac,2026,10,2026-10-spa,cadillac,,,,70.0,0.0,0.0156935,0.25,race_week_constructor_features_v1
2026-10-spa|ferrari,2026,10,2026-10-spa,ferrari,,,,70.0,0.0,0.765502,0.25,race_week_constructor_features_v1
2026-10-spa|haas,2026,10,2026-10-spa,haas,,,,70.0,0.0,0.1256165,0.25,race_week_constructor_features_v1
2026-10-spa|mclaren,2026,10,2026-10-spa,mclaren,,,,70.0,0.0,0.6280375,0.25,race_week_constructor_features_v1
2026-10-spa|mercedes,2026,10,2026-10-spa,mercedes,,,,70.0,0.0,0.744398,0.25,race_week_constructor_features_v1
2026-10-spa|rb,2026,10,2026-10-spa,rb,,,,70.0,0.0,0.4254875,0.25,race_week_constructor_features_v1
2026-10-spa|red_bull,2026,10,2026-10-spa,red_bull,,,,70.0,0.0,0.5969205,0.25,race_week_constructor_features_v1
2026-10-spa|williams,2026,10,2026-10-spa,williams,,,,70.0,0.0,0.0472875,0.25,race_week_constructor_features_v1
