id,season,round,race_id,driver_id,constructor_id,avg_race_pace_s,fp2_long_run_pace_s,lap_variance_s,consistency_score,quali_pace_s,race_vs_quali_delta_s,tyre_degradation_slope,avg_finish_position_recent,avg_qualifying_position_recent,track_affinity_score,teammate_delta_s,reliability_score,avg_quali_yoy_delta_s,form_bias_score,source_label
2026-14-madring|norris,2026,14,2026-14-madring,norris,mclaren,83.42738717264176,,,1.0,80.12,3.3073871726417536,0.0475,3.4,4.0,0.6639676113360324,0.0,1.0,,0.887383,race_week_driver_features_v2
2026-14-madring|antonelli,2026,14,2026-14-madring,antonelli,mercedes,83.10559141131613,,,0.9680222447203701,80.24,2.8655914113161316,0.049999999999999996,4.4,3.2,0.8582995951417004,0.0,1.0,,0.872858,race_week_driver_features_v2
2026-14-madring|russell,2026,14,2026-14-madring,russell,mercedes,83.64021658337498,,,0.8080358470487992,80.36,3.2802165833749797,0.0525,7.2,3.8,0.7246963562753037,0.0,0.8,,0.779585,race_week_driver_features_v2
2026-14-madring|hamilton,2026,14,2026-14-madring,hamilton,ferrari,83.60296811435292,,,0.8073602561168457,80.48,3.122968114352915,0.055,4.4,4.2,0.8461538461538461,0.0,1.0,,0.854634,race_week_driver_features_v2
2026-14-madring|max_verstappen,2026,14,2026-14-madring,max_verstappen,red_bull,93.9998237704918,,,0.6368016684833275,80.6,13.399823770491807,0.057499999999999996,10.0,5.6,0.582995951417004,0.0,0.6,,0.326316,race_week_driver_features_v2
2026-14-madring|leclerc,2026,14,2026-14-madring,leclerc,ferrari,84.25845833333334,,,0.5772785516364817,80.72,3.538458333333338,0.06,6.8,4.0,0.6639676113360324,0.0,0.8,,0.767458,race_week_driver_features_v2
2026-14-madring|piastri,2026,14,2026-14-madring,piastri,mclaren,83.08303920907763,,,0.572001184385251,80.84,2.2430392090776223,0.0625,9.4,5.4,0.582995951417004,0.0,0.8,,0.742105,race_week_driver_features_v2
2026-14-madring|gasly,2026,14,2026-14-madring,gasly,alpine,84.49224491543279,,,0.492810936685816,80.96,3.5322449154327984,0.065,10.0,9.6,0.5303643724696356,0.0,0.6,,0.674681,race_week_driver_features_v2
2026-14-madring|lawson,2026,14,2026-14-madring,lawson,red_bull,84.5424808669508,,,0.4514828736082504,81.08,3.4624808669507985,0.0675,9.4,10.8,0.5465587044534412,0.0,0.8,,0.68863,race_week_driver_features_v2
2026-14-madring|arvid_lindblad,2026,14,2026-14-madring,arvid_lindblad,rb,85.09453966681566,,,0.4458816106087818,81.2,3.8945396668156604,0.07,9.2,9.2,0.4817813765182186,0.0,0.6,,0.673665,race_week_driver_features_v2
2026-14-madring|hulkenberg,2026,14,2026-14-madring,hulkenberg,audi,84.65007222222222,,,0.38880096509296,81.32,3.3300722222222277,0.0725,12.8,12.6,0.3076923076923077,0.0,0.4,,0.595214,race_week_driver_features_v2
2026-14-madring|bortoleto,2026,14,2026-14-madring,bortoleto,audi,84.71481125420895,,,0.3524806793923432,81.44,3.274811254208956,0.075,10.2,10.8,0.43724696356275305,0.0,0.6,,0.661263,race_week_driver_features_v2
2026-14-madring|tsunoda,2026,14,2026-14-madring,tsunoda,rb,91.12,,,0.34560775384440334,81.56,9.560000000000002,0.0775,10.5,14.5,0.5,0.0,0.5,,0.418677,race_week_driver_features_v2
2026-14-madring|colapinto,2026,14,2026-14-madring,colapinto,alpine,85.04990605590064,,,0.33734485652258805,81.68,3.3699060559006284,0.08,11.4,13.4,0.4493927125506073,0.0,0.6,,0.617406,race_week_driver_features_v2
2026-14-madring|alonso,2026,14,2026-14-madring,alonso,aston_martin,85.26705908469945,,,0.2,81.8,3.467059084699457,0.08249999999999999,16.2,19.6,0.17813765182186225,0.0,0.0,,0.483134,race_week_driver_features_v2
2026-14-madring|sainz,2026,14,2026-14-madring,sainz,williams,85.14730706075535,,,0.2,81.92,3.2273070607553507,0.08499999999999999,16.0,16.0,0.30364372469635637,0.0,0.4,,0.492785,race_week_driver_features_v2
2026-14-madring|ocon,2026,14,2026-14-madring,ocon,haas,84.74972909407666,,,0.2,82.04,2.70972909407665,0.0875,16.2,16.2,0.31983805668016196,0.0,0.4,,0.502089,race_week_driver_features_v2
2026-14-madring|albon,2026,14,2026-14-madring,albon,williams,85.66794429554186,,,0.2,82.16,3.5079442955418614,0.09,17.4,17.2,0.1821862348178137,0.0,0.19999999999999996,,0.436866,race_week_driver_features_v2
2026-14-madring|bearman,2026,14,2026-14-madring,bearman,haas,91.18422334368529,,,0.2,82.28,8.904223343685288,0.0925,16.2,15.8,0.29554655870445345,0.0,0.6,,0.266324,race_week_driver_features_v2
2026-14-madring|stroll,2026,14,2026-14-madring,stroll,aston_martin,85.39659422750424,,,0.2,82.4,2.9965942275042323,0.095,18.4,20.8,0.08502024291497978,0.0,0.0,,0.420493,race_week_driver_features_v2
2026-14-madring|perez,2026,14,2026-14-madring,perez,cadillac,86.13754065894652,,,0.2,82.52,3.617540658946524,0.0975,17.8,20.8,0.16194331983805665,0.0,0.19999999999999996,,0.409133,race_week_driver_features_v2
2026-14-madring|bottas,2026,14,2026-14-madring,bottas,cadillac,86.25470179516249,,,0.2,82.64,3.614701795162489,0.1,18.6,19.6,0.07287449392712542,0.0,0.19999999999999996,,0.383788,race_week_driver_features_v2
