id,season,round,race_id,driver_id,constructor_id,session_completeness,fp2_long_run_pace_s,fp2_degradation_s_per_lap,one_lap_pace_s,one_lap_session_code,recent_pace_rank,gap_to_best_s,teammate_delta_s,reliability_index,weather_risk_index,readiness_score,signal_confidence,overperforming_delta,projected_finish,source_label
2026-07-catalunya|alonso,2026,7,2026-07-catalunya,alonso,aston_martin,0.0,,,,,,,,55.0,7.418,0.369066,0.0,18.0,19,race_week_driver_features_v1
2026-07-catalunya|bearman,2026,7,2026-07-catalunya,bearman,haas,0.0,,,,,,,,55.0,7.418,0.369066,0.0,17.0,18,race_week_driver_features_v1
2026-07-catalunya|bortoleto,2026,7,2026-07-catalunya,bortoleto,audi,0.0,,,,,,,,55.0,7.418,0.369066,0.0,16.0,17,race_week_driver_features_v1
2026-07-catalunya|bottas,2026,7,2026-07-catalunya,bottas,cadillac,0.0,,,,,,,,55.0,7.418,0.369066,0.0,21.0,22,race_week_driver_features_v1
2026-07-catalunya|colapinto,2026,7,2026-07-catalunya,colapinto,alpine,0.0,,,,,,,,55.0,7.418,0.369066,0.0,8.0,9,race_week_driver_features_v1
2026-07-catalunya|gasly,2026,7,2026-07-catalunya,gasly,alpine,0.0,,,,,,,,55.0,7.418,0.369066,0.0,10.0,11,race_week_driver_features_v1
2026-07-catalunya|lawson,2026,7,2026-07-catalunya,lawson,rb,0.0,,,,,,,,55.0,7.418,0.369066,0.0,9.0,10,race_week_driver_features_v1
2026-07-catalunya|leclerc,2026,7,2026-07-catalunya,leclerc,ferrari,0.0,,,,,,,,55.0,7.418,0.369066,0.0,4.0,5,race_week_driver_features_v1
2026-07-catalunya|arvid_lindblad,2026,7,2026-07-catalunya,arvid_lindblad,rb,0.0,,,,,,,,55.0,7.418,0.369066,0.0,12.0,13,race_week_driver_features_v1
2026-07-catalunya|ocon,2026,7,2026-07-catalunya,ocon,haas,0.0,,,,,,,,55.0,7.418,0.369066,0.0,14.0,15,race_week_driver_features_v1
2026-07-catalunya|piastri,2026,7,2026-07-catalunya,piastri,mclaren,0.0,,,,,,,,55.0,7.418,0.369066,0.0,2.0,3,race_week_driver_features_v1
2026-07-catalunya|russell,2026,7,2026-07-catalunya,russell,mercedes,0.0,,,,,,,,55.0,7.418,0.369066,0.0,7.0,8,race_week_driver_features_v1
2026-07-catalunya|sainz,2026,7,2026-07-catalunya,sainz,williams,0.0,,,,,,,,55.0,7.418,0.369066,0.0,11.0,12,race_week_driver_features_v1
2026-07-catalunya|stroll,2026,7,2026-07-catalunya,stroll,aston_martin,0.0,,,,,,,,55.0,7.418,0.369066,0.0,20.0,21,race_week_driver_features_v1
2026-07-catalunya|max_verstappen,2026,7,2026-07-catalunya,max_verstappen,red_bull,0.0,,,,,,,,55.0,7.418,0.369066,0.0,3.0,4,race_week_driver_features_v1
