id,season,round,race_id,driver_id,constructor_id,form_signal,consistency_signal,racecraft_signal,fp2_race_pace_signal,quali_signal,quali_delta_signal,form_bias_signal,trend_signal,track_affinity_signal,overall_signal,source_label
2026-13-monza|norris,2026,13,2026-13-monza,norris,mclaren,0.787798,1.0,0.452381,0.5,1.0,0.5,0.758532,,0.649123,0.698695,race_week_driver_signals_v1
2026-13-monza|antonelli,2026,13,2026-13-monza,antonelli,mercedes,0.777862,0.923557,0.261905,0.5,0.952381,0.5,0.74489,,0.846491,0.667695,race_week_driver_signals_v1
2026-13-monza|hamilton,2026,13,2026-13-monza,hamilton,ferrari,0.78358,0.745053,0.47619,0.5,0.904762,0.5,0.753965,,0.855263,0.662308,race_week_driver_signals_v1
2026-13-monza|leclerc,2026,13,2026-13-monza,leclerc,ferrari,0.801753,0.73977,0.47619,0.5,0.857143,0.5,0.767836,,0.72807,0.64914,race_week_driver_signals_v1
2026-13-monza|max_verstappen,2026,13,2026-13-monza,max_verstappen,red_bull,0.394211,0.535975,0.0,0.5,0.809524,0.5,0.445263,,0.557018,0.482076,race_week_driver_signals_v1
2026-13-monza|russell,2026,13,2026-13-monza,russell,mercedes,0.921053,0.469063,0.119048,0.5,0.761905,0.5,0.821053,,0.70614,0.569596,race_week_driver_signals_v1
2026-13-monza|lawson,2026,13,2026-13-monza,lawson,red_bull,0.609246,0.358359,0.690476,0.5,0.714286,0.5,0.600901,,0.561404,0.55831,race_week_driver_signals_v1
2026-13-monza|piastri,2026,13,2026-13-monza,piastri,mclaren,0.669618,0.328489,0.166667,0.5,0.666667,0.5,0.634131,,0.561404,0.492769,race_week_driver_signals_v1
2026-13-monza|arvid_lindblad,2026,13,2026-13-monza,arvid_lindblad,rb,0.574482,0.271821,0.47619,0.5,0.619048,0.5,0.567198,,0.464912,0.493912,race_week_driver_signals_v1
2026-13-monza|bortoleto,2026,13,2026-13-monza,bortoleto,audi,0.563231,0.233175,0.619048,0.5,0.571429,0.5,0.554435,,0.434211,0.494353,race_week_driver_signals_v1
2026-13-monza|gasly,2026,13,2026-13-monza,gasly,alpine,0.534177,0.211946,0.571429,0.5,0.52381,0.5,0.526293,,0.535088,0.479469,race_week_driver_signals_v1
2026-13-monza|tsunoda,2026,13,2026-13-monza,tsunoda,rb,0.652591,0.200052,0.642857,0.5,0.47619,0.5,0.60699,,0.473684,0.493264,race_week_driver_signals_v1
2026-13-monza|hulkenberg,2026,13,2026-13-monza,hulkenberg,audi,0.477207,0.199198,0.52381,0.5,0.428571,0.5,0.474278,,0.298246,0.433506,race_week_driver_signals_v1
2026-13-monza|colapinto,2026,13,2026-13-monza,colapinto,alpine,0.473295,0.116664,0.809524,0.5,0.380952,0.5,0.473425,,0.438596,0.456474,race_week_driver_signals_v1
2026-13-monza|alonso,2026,13,2026-13-monza,alonso,aston_martin,0.34503,0.0,1.0,0.5,0.333333,0.5,0.361599,,0.197368,0.420712,race_week_driver_signals_v1
2026-13-monza|sainz,2026,13,2026-13-monza,sainz,williams,0.333375,0.0,0.404762,0.5,0.285714,0.5,0.338039,,0.298246,0.345614,race_week_driver_signals_v1
2026-13-monza|ocon,2026,13,2026-13-monza,ocon,haas,0.399634,0.0,0.5,0.5,0.238095,0.5,0.392739,,0.328947,0.361636,race_week_driver_signals_v1
2026-13-monza|albon,2026,13,2026-13-monza,albon,williams,0.32515,0.0,0.5,0.5,0.190476,0.5,0.332556,,0.184211,0.333701,race_week_driver_signals_v1
2026-13-monza|stroll,2026,13,2026-13-monza,stroll,aston_martin,0.277568,0.0,0.833333,0.5,0.142857,0.5,0.293817,,0.092105,0.353119,race_week_driver_signals_v1
2026-13-monza|perez,2026,13,2026-13-monza,perez,cadillac,0.241526,0.0,0.785714,0.5,0.095238,0.5,0.268035,,0.166667,0.338698,race_week_driver_signals_v1
2026-13-monza|bottas,2026,13,2026-13-monza,bottas,cadillac,0.232436,0.0,0.595238,0.5,0.047619,0.5,0.254958,,0.074561,0.301161,race_week_driver_signals_v1
2026-13-monza|bearman,2026,13,2026-13-monza,bearman,haas,0.084211,0.0,0.52381,0.5,0.0,0.5,0.184211,,0.298246,0.276226,race_week_driver_signals_v1
