id,season,round,race_id,entity_type,entity_id,completeness_score,agreement_score,sample_score,strength_score,confidence_score,confidence_band,rationale,source_label
2026-08-red_bull_ring|driver|hamilton,2026,8,2026-08-red_bull_ring,driver,hamilton,0.0,0.5738782255820862,0.25,0.517604,0.299804,low,"hamilton confidence reflects session completeness, signal agreement, sample depth, and signal strength.",race_week_confidence_v1
2026-08-red_bull_ring|driver|antonelli,2026,8,2026-08-red_bull_ring,driver,antonelli,0.0,0.5133790874049317,0.25,0.33773999999999993,0.254675,low,"Andrea Kimi Antonelli confidence reflects session completeness, signal agreement, sample depth, and signal strength.",race_week_confidence_v1
2026-08-red_bull_ring|driver|hadjar,2026,8,2026-08-red_bull_ring,driver,hadjar,0.0,0.6910425831617614,0.25,0.22895200000000004,0.291656,low,"hadjar confidence reflects session completeness, signal agreement, sample depth, and signal strength.",race_week_confidence_v1
2026-08-red_bull_ring|driver|piastri,2026,8,2026-08-red_bull_ring,driver,piastri,0.0,0.671754562948916,0.25,0.2862579999999999,0.294465,low,"piastri confidence reflects session completeness, signal agreement, sample depth, and signal strength.",race_week_confidence_v1
2026-08-red_bull_ring|driver|russell,2026,8,2026-08-red_bull_ring,driver,russell,0.0,0.4379401745340753,0.25,0.10815400000000008,0.197605,low,"russell confidence reflects session completeness, signal agreement, sample depth, and signal strength.",race_week_confidence_v1
2026-08-red_bull_ring|driver|max_verstappen,2026,8,2026-08-red_bull_ring,driver,max_verstappen,0.0,0.6319810791122865,0.25,0.0572919999999999,0.248188,low,"max_verstappen confidence reflects session completeness, signal agreement, sample depth, and signal strength.",race_week_confidence_v1
2026-08-red_bull_ring|driver|gasly,2026,8,2026-08-red_bull_ring,driver,gasly,0.0,0.6934506421271026,0.25,0.17262,0.283928,low,"gasly confidence reflects session completeness, signal agreement, sample depth, and signal strength.",race_week_confidence_v1
2026-08-red_bull_ring|driver|lawson,2026,8,2026-08-red_bull_ring,driver,lawson,0.0,0.720014487952884,0.25,0.12552999999999992,0.284834,low,"lawson confidence reflects session completeness, signal agreement, sample depth, and signal strength.",race_week_confidence_v1
2026-08-red_bull_ring|driver|norris,2026,8,2026-08-red_bull_ring,driver,norris,0.0,0.4843006105536316,0.25,0.023668000000000022,0.19884,low,"norris confidence reflects session completeness, signal agreement, sample depth, and signal strength.",race_week_confidence_v1
2026-08-red_bull_ring|driver|leclerc,2026,8,2026-08-red_bull_ring,driver,leclerc,0.0,0.5306937696454022,0.25,0.0037400000000000766,0.209769,low,"leclerc confidence reflects session completeness, signal agreement, sample depth, and signal strength.",race_week_confidence_v1
2026-08-red_bull_ring|driver|colapinto,2026,8,2026-08-red_bull_ring,driver,colapinto,0.0,0.6109917377524519,0.25,0.010412000000000088,0.234859,low,"colapinto confidence reflects session completeness, signal agreement, sample depth, and signal strength.",race_week_confidence_v1
