id,season,round,race_id,entity_type,entity_id,constructor_id,standing_position,points,wins,source_race_id,source_label
2026-06-monaco|driver|antonelli,2026,6,2026-06-monaco,driver,antonelli,mercedes,1,122.0,4,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|driver|russell,2026,6,2026-06-monaco,driver,russell,mercedes,2,75.0,1,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|driver|hamilton,2026,6,2026-06-monaco,driver,hamilton,ferrari,3,67.0,0,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|driver|leclerc,2026,6,2026-06-monaco,driver,leclerc,ferrari,4,65.0,0,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|driver|norris,2026,6,2026-06-monaco,driver,norris,mclaren,5,43.0,0,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|driver|max_verstappen,2026,6,2026-06-monaco,driver,max_verstappen,red_bull,6,37.0,0,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|driver|piastri,2026,6,2026-06-monaco,driver,piastri,mclaren,7,36.0,0,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|driver|gasly,2026,6,2026-06-monaco,driver,gasly,alpine,8,19.0,0,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|driver|bearman,2026,6,2026-06-monaco,driver,bearman,haas,9,18.0,0,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|driver|lawson,2026,6,2026-06-monaco,driver,lawson,rb,10,16.0,0,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|driver|colapinto,2026,6,2026-06-monaco,driver,colapinto,alpine,11,15.0,0,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|driver|hadjar,2026,6,2026-06-monaco,driver,hadjar,red_bull,12,14.0,0,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|driver|sainz,2026,6,2026-06-monaco,driver,sainz,williams,13,6.0,0,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|driver|arvid_lindblad,2026,6,2026-06-monaco,driver,arvid_lindblad,rb,14,4.0,0,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|driver|bortoleto,2026,6,2026-06-monaco,driver,bortoleto,audi,15,2.0,0,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|driver|albon,2026,6,2026-06-monaco,driver,albon,williams,16,1.0,0,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|driver|ocon,2026,6,2026-06-monaco,driver,ocon,haas,17,1.0,0,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|driver|alonso,2026,6,2026-06-monaco,driver,alonso,aston_martin,18,0.0,0,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|driver|bottas,2026,6,2026-06-monaco,driver,bottas,cadillac,19,0.0,0,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|driver|hulkenberg,2026,6,2026-06-monaco,driver,hulkenberg,audi,20,0.0,0,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|driver|perez,2026,6,2026-06-monaco,driver,perez,cadillac,21,0.0,0,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|driver|stroll,2026,6,2026-06-monaco,driver,stroll,aston_martin,22,0.0,0,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|constructor|mercedes,2026,6,2026-06-monaco,constructor,mercedes,mercedes,1,197.0,5,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|constructor|ferrari,2026,6,2026-06-monaco,constructor,ferrari,ferrari,2,132.0,0,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|constructor|mclaren,2026,6,2026-06-monaco,constructor,mclaren,mclaren,3,79.0,0,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|constructor|red_bull,2026,6,2026-06-monaco,constructor,red_bull,red_bull,4,51.0,0,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|constructor|alpine,2026,6,2026-06-monaco,constructor,alpine,alpine,5,34.0,0,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|constructor|rb,2026,6,2026-06-monaco,constructor,rb,rb,6,20.0,0,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|constructor|haas,2026,6,2026-06-monaco,constructor,haas,haas,7,19.0,0,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|constructor|williams,2026,6,2026-06-monaco,constructor,williams,williams,8,7.0,0,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|constructor|audi,2026,6,2026-06-monaco,constructor,audi,audi,9,2.0,0,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|constructor|aston_martin,2026,6,2026-06-monaco,constructor,aston_martin,aston_martin,10,0.0,0,2026-05-villeneuve,race_week_standings_context_v1
2026-06-monaco|constructor|cadillac,2026,6,2026-06-monaco,constructor,cadillac,cadillac,11,0.0,0,2026-05-villeneuve,race_week_standings_context_v1
