Driver,LapNumber,LapTime,Compound,TyreLife,Team
ALB,16.0,0 days 00:01:20.941000,SOFT,2.0,Williams
ALO,9.0,0 days 00:01:21.969000,SOFT,4.0,Aston Martin
ANT,17.0,0 days 00:01:18.811000,SOFT,2.0,Mercedes
BEA,17.0,0 days 00:01:20.311000,SOFT,3.0,Haas F1 Team
BOR,13.0,0 days 00:01:20.221000,SOFT,3.0,Audi
BOT,7.0,0 days 00:01:23.244000,SOFT,2.0,Cadillac
COL,9.0,0 days 00:01:21.200000,SOFT,3.0,Alpine
GAS,13.0,0 days 00:01:20.501000,SOFT,3.0,Alpine
HAD,18.0,0 days 00:01:19.303000,SOFT,2.0,Red Bull Racing
HAM,24.0,0 days 00:01:19.478000,SOFT,2.0,Ferrari
HUL,15.0,0 days 00:01:20.303000,SOFT,2.0,Audi
LAW,23.0,0 days 00:01:19.994000,SOFT,3.0,Racing Bulls
LEC,23.0,0 days 00:01:19.327000,SOFT,2.0,Ferrari
LIN,14.0,0 days 00:01:19.971000,SOFT,3.0,Racing Bulls
NOR,25.0,0 days 00:01:19.475000,SOFT,2.0,McLaren
OCO,13.0,0 days 00:01:20.491000,SOFT,3.0,Haas F1 Team
PER,6.0,0 days 00:01:22.605000,SOFT,2.0,Cadillac
PIA,25.0,0 days 00:01:19.380000,SOFT,2.0,McLaren
RUS,21.0,0 days 00:01:18.518000,SOFT,2.0,Mercedes
