season,round,event_name,session_code,driver,team,lap_number,stint,compound,tyre_life,lap_time_s,sector_1_s,sector_2_s,sector_3_s,speed_i1,speed_i2,speed_fl,speed_st,track_status,fresh_tyre,is_personal_best,is_accurate,deleted,lap_start_time,position,air_temp_c,track_temp_c,humidity_pct,rainfall,wind_speed_mps,wind_direction_deg
2026,1,Australian Grand Prix,Q,RUS,Mercedes,1.0,1.0,SOFT,1.0,111.876,41.997,19.351,50.528,263.0,287.0,273.0,199.0,1,True,False,False,False,2026-03-07 05:03:47.667,,20.5,37.4,67.9,False,3.0,93.0
2026,1,Australian Grand Prix,Q,RUS,Mercedes,2.0,1.0,SOFT,2.0,79.84,27.99,17.599,34.251,265.0,278.0,294.0,292.0,1,True,True,True,False,2026-03-07 05:05:36.163,,20.4,37.8,68.4,False,2.8,67.0
2026,1,Australian Grand Prix,Q,RUS,Mercedes,3.0,1.0,SOFT,3.0,121.569,40.873,22.025,58.671,222.0,283.0,,201.0,1,True,False,False,False,2026-03-07 05:06:56.003,,20.4,37.6,67.3,False,3.0,102.0
2026,1,Australian Grand Prix,Q,RUS,Mercedes,4.0,2.0,SOFT,4.0,,46.779,22.489,,230.0,284.0,,129.0,125,False,False,False,False,2026-03-07 05:08:57.572,,20.5,37.6,66.8,False,0.7,171.0
2026,1,Australian Grand Prix,Q,RUS,Mercedes,5.0,3.0,SOFT,5.0,110.313,52.39,19.564,38.359,246.0,284.0,279.0,136.0,1,False,False,False,False,2026-03-07 05:19:30.894,,20.6,36.3,65.4,False,2.2,114.0
2026,1,Australian Grand Prix,Q,RUS,Mercedes,6.0,3.0,SOFT,6.0,93.246,31.116,23.1,39.03,267.0,281.0,274.0,248.0,1,False,False,True,False,2026-03-07 05:21:11.075,,20.5,35.7,64.0,False,2.6,49.0
2026,1,Australian Grand Prix,Q,RUS,Mercedes,7.0,3.0,SOFT,7.0,79.507,27.908,17.413,34.186,266.0,282.0,301.0,296.0,1,False,True,True,False,2026-03-07 05:22:44.321,,20.4,35.7,65.2,False,1.1,33.0
2026,1,Australian Grand Prix,Q,RUS,Mercedes,8.0,3.0,SOFT,8.0,,44.215,22.959,,204.0,281.0,,240.0,12,False,False,False,False,2026-03-07 05:24:03.828,,20.4,35.3,65.1,False,3.5,91.0
2026,1,Australian Grand Prix,Q,RUS,Mercedes,9.0,4.0,SOFT,1.0,139.248,61.667,23.062,54.519,254.0,171.0,274.0,197.0,1,True,False,False,False,2026-03-07 05:35:30.047,,20.3,34.7,66.4,False,2.9,76.0
2026,1,Australian Grand Prix,Q,RUS,Mercedes,10.0,4.0,SOFT,2.0,78.934,27.816,17.287,33.831,273.0,285.0,301.0,294.0,1,True,True,True,False,2026-03-07 05:37:49.295,,20.3,34.4,66.6,False,3.1,90.0
2026,1,Australian Grand Prix,Q,RUS,Mercedes,11.0,4.0,SOFT,3.0,,33.193,20.833,,252.0,263.0,,231.0,1,True,False,False,False,2026-03-07 05:39:08.229,,20.4,34.5,66.3,False,2.3,77.0
2026,1,Australian Grand Prix,Q,RUS,Mercedes,12.0,5.0,SOFT,4.0,108.654,48.833,20.916,38.905,250.0,282.0,274.0,134.0,1,False,False,False,False,2026-03-07 05:43:18.046,,20.5,34.7,63.7,False,3.0,123.0
2026,1,Australian Grand Prix,Q,RUS,Mercedes,13.0,5.0,SOFT,5.0,78.987,27.662,17.426,33.899,268.0,280.0,297.0,294.0,1,False,False,True,False,2026-03-07 05:45:06.700,,20.5,34.7,62.5,False,1.9,99.0
2026,1,Australian Grand Prix,Q,RUS,Mercedes,14.0,5.0,SOFT,6.0,,34.526,20.997,,249.0,279.0,,212.0,12,False,False,False,False,2026-03-07 05:46:25.687,,20.5,34.4,62.3,False,2.8,91.0
2026,1,Australian Grand Prix,Q,RUS,Mercedes,15.0,6.0,SOFT,1.0,108.083,47.304,19.118,41.661,256.0,282.0,278.0,144.0,1,True,False,False,False,2026-03-07 05:59:50.730,,20.4,33.2,63.4,False,2.1,114.0
2026,1,Australian Grand Prix,Q,RUS,Mercedes,16.0,6.0,SOFT,2.0,,27.522,,,269.0,,,297.0,152,True,False,False,False,2026-03-07 06:01:38.813,,20.4,33.1,63.1,False,3.4,116.0
2026,1,Australian Grand Prix,Q,RUS,Mercedes,17.0,7.0,SOFT,2.0,,,21.85,44.759,162.0,251.0,276.0,181.0,1,False,False,False,False,2026-03-07 06:10:09.668,,20.5,32.7,61.3,False,2.5,61.0
2026,1,Australian Grand Prix,Q,RUS,Mercedes,18.0,7.0,SOFT,3.0,79.084,27.674,17.488,33.922,269.0,274.0,298.0,293.0,1,False,True,True,False,2026-03-07 06:11:54.295,,20.4,32.5,61.0,False,1.3,111.0
2026,1,Australian Grand Prix,Q,RUS,Mercedes,19.0,7.0,SOFT,4.0,,31.059,19.934,,257.0,282.0,,265.0,1,False,False,False,False,2026-03-07 06:13:13.379,,20.5,32.6,61.4,False,1.6,138.0
2026,1,Australian Grand Prix,Q,RUS,Mercedes,20.0,8.0,SOFT,1.0,102.628,43.32,19.771,39.537,255.0,268.0,278.0,125.0,1,True,False,False,False,2026-03-07 06:16:00.401,,20.4,32.1,61.0,False,2.1,59.0
2026,1,Australian Grand Prix,Q,RUS,Mercedes,21.0,8.0,SOFT,2.0,78.518,27.498,17.284,33.736,267.0,284.0,296.0,296.0,1,True,True,True,False,2026-03-07 06:17:43.029,,20.5,32.5,61.7,False,2.3,88.0
2026,1,Australian Grand Prix,Q,RUS,Mercedes,22.0,8.0,SOFT,3.0,,33.644,23.366,,228.0,218.0,,236.0,1,True,False,False,False,2026-03-07 06:19:01.547,,20.5,32.1,61.0,False,1.4,99.0
