season,round,event_name,session_code,driver,team,stint,compound,lap_count,mean_lap_time_s,degradation_per_lap_s,degradation_index,start_tyre_life,end_tyre_life
2026,1,Australian Grand Prix,Q,ALB,Williams,1.0,SOFT,3,92.97633333333334,0.0,0.5,2,4
2026,1,Australian Grand Prix,Q,ALB,Williams,3.0,SOFT,4,97.12925,-3.3333333333333335,-0.7999999999999999,2,5
2026,1,Australian Grand Prix,Q,ALB,Williams,4.0,SOFT,3,106.03266666666667,0.0,0.5,6,8
2026,1,Australian Grand Prix,Q,ALB,Williams,5.0,SOFT,2,89.98349999999999,-10.0,0.0,1,2
2026,1,Australian Grand Prix,Q,ALB,Williams,6.0,SOFT,1,103.318,0.0,0.0,1,1
2026,1,Australian Grand Prix,Q,ALO,Aston Martin,1.0,SOFT,4,100.7645,-3.3333333333333335,-0.7999999999999999,1,4
2026,1,Australian Grand Prix,Q,ALO,Aston Martin,2.0,SOFT,4,95.26225000000001,-3.3333333333333335,-0.7999999999999999,1,4
2026,1,Australian Grand Prix,Q,ANT,Mercedes,1.0,SOFT,4,97.22049999999999,-3.3333333333333335,-0.39999999999999997,1,4
2026,1,Australian Grand Prix,Q,ANT,Mercedes,2.0,SOFT,2,100.8295,-10.0,0.0,1,2
2026,1,Australian Grand Prix,Q,ANT,Mercedes,3.0,SOFT,2,90.821,-10.0,0.0,4,5
2026,1,Australian Grand Prix,Q,ANT,Mercedes,4.0,SOFT,1,102.729,0.0,0.0,1,1
2026,1,Australian Grand Prix,Q,ANT,Mercedes,6.0,SOFT,2,87.861,-10.0,0.0,1,2
2026,1,Australian Grand Prix,Q,BEA,Haas F1 Team,1.0,SOFT,3,91.628,0.0,-0.5,2,4
2026,1,Australian Grand Prix,Q,BEA,Haas F1 Team,2.0,SOFT,4,96.58075,-3.3333333333333335,-0.39999999999999997,1,4
2026,1,Australian Grand Prix,Q,BEA,Haas F1 Team,3.0,SOFT,3,96.68933333333332,-10.0,-1.0,1,3
2026,1,Australian Grand Prix,Q,BEA,Haas F1 Team,4.0,SOFT,3,93.96699999999998,-10.0,-1.0,1,3
2026,1,Australian Grand Prix,Q,BOR,Audi,1.0,SOFT,5,97.9204,-5.0,-0.49999999999999994,1,5
2026,1,Australian Grand Prix,Q,BOR,Audi,2.0,SOFT,3,99.41699999999999,-10.0,-1.0,1,3
2026,1,Australian Grand Prix,Q,BOR,Audi,3.0,SOFT,4,94.85475,-1.599999999999999,-0.7999999999999999,1,4
2026,1,Australian Grand Prix,Q,BOT,Cadillac,1.0,SOFT,2,106.8175,-10.0,0.0,1,2
2026,1,Australian Grand Prix,Q,BOT,Cadillac,2.0,SOFT,1,101.323,0.0,0.0,1,1
2026,1,Australian Grand Prix,Q,BOT,Cadillac,3.0,SOFT,2,93.775,-10.0,0.0,1,2
2026,1,Australian Grand Prix,Q,COL,Alpine,1.0,SOFT,5,101.50500000000001,-3.220749999999999,-0.7,1,5
