Time,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindDirection,WindSpeed
0 days 00:00:53.196000,20.6,37.7,67.2,1013.5,False,114,1.8
0 days 00:01:53.206000,20.5,37.3,67.5,1013.5,False,85,2.2
0 days 00:02:53.215000,20.5,37.4,67.7,1013.5,False,94,2.7
0 days 00:03:53.228000,20.5,37.7,68.2,1013.6,False,94,2.4
0 days 00:04:53.214000,20.5,37.4,67.9,1013.5,False,93,3.0
0 days 00:05:53.217000,20.5,37.8,68.2,1013.6,False,91,0.8
0 days 00:06:53.216000,20.4,37.8,68.4,1013.7,False,67,2.8
0 days 00:07:53.217000,20.4,37.6,67.3,1013.6,False,102,3.0
0 days 00:08:53.216000,20.5,37.5,66.8,1013.5,False,104,3.7
0 days 00:09:53.230000,20.5,37.6,66.8,1013.6,False,171,0.7
0 days 00:10:53.212000,20.4,37.5,66.9,1013.5,False,76,1.8
0 days 00:11:53.233000,20.5,37.5,66.3,1013.5,False,105,2.3
0 days 00:12:53.236000,20.5,37.3,65.8,1013.5,False,89,2.6
0 days 00:13:53.250000,20.5,37.7,65.6,1013.5,False,22,2.0
0 days 00:14:53.250000,20.5,37.5,65.1,1013.5,False,164,1.9
0 days 00:15:53.264000,20.5,37.4,65.4,1013.5,False,119,0.4
0 days 00:16:53.275000,20.5,37.2,65.8,1013.4,False,79,4.2
0 days 00:17:53.291000,20.5,36.9,65.2,1013.5,False,79,1.6
0 days 00:18:53.291000,20.6,36.3,65.4,1013.5,False,88,3.7
0 days 00:19:53.295000,20.6,36.3,65.4,1013.6,False,114,2.2
0 days 00:20:53.304000,20.6,35.6,64.7,1013.5,False,104,3.0
0 days 00:21:53.304000,20.5,35.7,64.0,1013.5,False,49,2.6
0 days 00:22:53.333000,20.5,36.0,64.5,1013.6,False,64,2.3
0 days 00:23:53.361000,20.4,35.7,65.2,1013.6,False,33,1.1
0 days 00:24:53.377000,20.4,35.3,65.1,1013.5,False,91,3.5
0 days 00:25:53.377000,20.3,35.7,65.5,1013.5,False,70,1.9
0 days 00:26:53.377000,20.3,35.5,65.8,1013.6,False,60,2.3
0 days 00:27:53.378000,20.3,35.5,65.3,1013.5,False,78,2.5
0 days 00:28:53.381000,20.3,35.3,65.9,1013.5,False,48,0.9
0 days 00:29:53.375000,20.3,35.2,65.8,1013.5,False,89,2.7
0 days 00:30:53.416000,20.3,34.8,66.4,1013.4,False,116,0.8
0 days 00:31:53.400000,20.3,35.1,66.3,1013.5,False,109,1.2
0 days 00:32:53.414000,20.3,35.1,66.7,1013.5,False,96,2.8
0 days 00:33:53.407000,20.3,35.2,66.4,1013.5,False,71,3.4
0 days 00:34:53.420000,20.3,34.9,65.8,1013.4,False,75,1.9
0 days 00:35:53.424000,20.3,34.7,66.4,1013.4,False,76,2.9
0 days 00:36:53.423000,20.3,34.8,66.1,1013.5,False,86,2.8
0 days 00:37:53.449000,20.3,34.5,66.4,1013.4,False,110,1.2
0 days 00:38:53.449000,20.3,34.4,66.6,1013.5,False,90,3.1
0 days 00:39:53.446000,20.4,34.5,66.3,1013.5,False,77,2.3
0 days 00:40:53.451000,20.4,34.6,65.8,1013.5,False,106,2.9
0 days 00:41:53.487000,20.4,34.6,65.2,1013.5,False,102,3.0
0 days 00:42:53.500000,20.5,34.8,64.5,1013.5,False,120,2.6
0 days 00:43:53.498000,20.5,34.7,63.7,1013.5,False,123,3.0
0 days 00:44:53.488000,20.5,34.8,62.6,1013.5,False,114,2.5
0 days 00:45:53.488000,20.5,34.7,62.5,1013.5,False,99,1.9
0 days 00:46:53.505000,20.5,34.4,62.3,1013.6,False,91,2.8
0 days 00:47:53.507000,20.5,34.5,63.2,1013.4,False,108,2.7
0 days 00:48:53.522000,20.5,34.3,63.6,1013.5,False,115,1.9
0 days 00:49:53.573000,20.5,34.0,64.0,1013.6,False,113,1.5
0 days 00:50:53.541000,20.5,33.9,64.1,1013.4,False,104,1.3
0 days 00:51:53.550000,20.5,34.1,63.6,1013.4,False,96,2.1
0 days 00:52:53.579000,20.5,33.6,63.5,1013.4,False,91,3.4
0 days 00:53:53.590000,20.5,33.6,62.8,1013.5,False,107,2.8
0 days 00:54:53.574000,20.6,33.6,63.1,1013.5,False,105,2.6
0 days 00:55:53.584000,20.6,33.1,63.5,1013.4,False,122,2.0
0 days 00:56:53.583000,20.5,33.1,62.4,1013.4,False,118,2.1
0 days 00:57:53.580000,20.5,33.0,63.4,1013.5,False,83,2.1
0 days 00:58:53.580000,20.5,33.1,63.8,1013.5,False,69,4.1
0 days 00:59:53.582000,20.4,33.1,63.4,1013.4,False,107,1.6
0 days 01:00:53.592000,20.4,33.2,63.4,1013.5,False,114,2.1
