season,round,event_name,session_code,driver,team,stint,compound,lap_count,mean_lap_time_s,degradation_per_lap_s,degradation_index,start_tyre_life,end_tyre_life
2026,2,Chinese Grand Prix,Q,ALB,Williams,1.0,SOFT,3,106.33133333333335,0.0,-0.5,2,4
2026,2,Chinese Grand Prix,Q,ALB,Williams,2.0,SOFT,3,115.43900000000001,0.0,-0.5,1,3
2026,2,Chinese Grand Prix,Q,ALB,Williams,3.0,SOFT,3,119.85066666666667,0.0,-0.5,1,3
2026,2,Chinese Grand Prix,Q,ALO,Aston Martin,1.0,SOFT,2,106.9545,10.0,0.0,2,3
2026,2,Chinese Grand Prix,Q,ALO,Aston Martin,2.0,SOFT,3,118.652,0.0,-0.5,1,3
2026,2,Chinese Grand Prix,Q,ALO,Aston Martin,3.0,SOFT,2,106.92150000000001,10.0,0.0,2,3
2026,2,Chinese Grand Prix,Q,ANT,Mercedes,1.0,SOFT,2,107.8875,10.0,0.0,2,3
2026,2,Chinese Grand Prix,Q,ANT,Mercedes,2.0,SOFT,2,119.11699999999999,10.0,0.0,5,6
2026,2,Chinese Grand Prix,Q,ANT,Mercedes,3.0,SOFT,2,106.858,10.0,0.0,2,3
2026,2,Chinese Grand Prix,Q,ANT,Mercedes,4.0,SOFT,2,100.289,10.0,0.0,2,3
2026,2,Chinese Grand Prix,Q,ANT,Mercedes,5.0,SOFT,2,105.06299999999999,10.0,0.0,2,3
2026,2,Chinese Grand Prix,Q,BEA,Haas F1 Team,1.0,SOFT,2,102.80000000000001,10.0,0.0,12,13
2026,2,Chinese Grand Prix,Q,BEA,Haas F1 Team,2.0,SOFT,4,111.10199999999999,3.3333333333333335,0.0,2,5
2026,2,Chinese Grand Prix,Q,BEA,Haas F1 Team,3.0,SOFT,2,106.195,10.0,0.0,2,3
2026,2,Chinese Grand Prix,Q,BEA,Haas F1 Team,4.0,SOFT,1,105.574,0.0,0.0,2,2
2026,2,Chinese Grand Prix,Q,BEA,Haas F1 Team,5.0,SOFT,2,107.5395,10.0,0.0,2,3
2026,2,Chinese Grand Prix,Q,BEA,Haas F1 Team,6.0,SOFT,2,115.242,10.0,0.0,2,3
2026,2,Chinese Grand Prix,Q,BOR,Audi,2.0,SOFT,5,116.3184,0.0,-0.3,1,5
2026,2,Chinese Grand Prix,Q,BOR,Audi,3.0,SOFT,2,109.97900000000001,10.0,0.0,2,3
2026,2,Chinese Grand Prix,Q,BOR,Audi,4.0,SOFT,2,104.92,10.0,0.0,2,3
2026,2,Chinese Grand Prix,Q,BOR,Audi,5.0,SOFT,1,126.878,0.0,0.0,2,2
2026,2,Chinese Grand Prix,Q,BOT,Cadillac,1.0,SOFT,2,106.02600000000001,10.0,0.0,2,3
2026,2,Chinese Grand Prix,Q,BOT,Cadillac,2.0,SOFT,2,107.372,10.0,0.0,2,3
2026,2,Chinese Grand Prix,Q,BOT,Cadillac,3.0,SOFT,2,110.4595,10.0,0.0,2,3
2026,2,Chinese Grand Prix,Q,COL,Alpine,1.0,SOFT,2,103.7565,10.0,0.0,2,3
2026,2,Chinese Grand Prix,Q,COL,Alpine,2.0,SOFT,3,114.98866666666667,0.0,-0.5,1,3
2026,2,Chinese Grand Prix,Q,COL,Alpine,3.0,SOFT,2,105.402,10.0,0.0,2,3
2026,2,Chinese Grand Prix,Q,COL,Alpine,4.0,SOFT,2,104.55850000000001,10.0,0.0,2,3
2026,2,Chinese Grand Prix,Q,COL,Alpine,5.0,SOFT,2,104.35249999999999,10.0,0.0,2,3
2026,2,Chinese Grand Prix,Q,GAS,Alpine,1.0,SOFT,2,106.0655,10.0,0.0,5,6
2026,2,Chinese Grand Prix,Q,GAS,Alpine,2.0,SOFT,5,109.822,1.4442500000000003,0.3,2,6
2026,2,Chinese Grand Prix,Q,GAS,Alpine,3.0,SOFT,2,107.19,10.0,0.0,2,3
2026,2,Chinese Grand Prix,Q,GAS,Alpine,4.0,SOFT,2,109.1265,10.0,0.0,2,3
2026,2,Chinese Grand Prix,Q,GAS,Alpine,5.0,SOFT,2,105.3935,10.0,0.0,5,6
2026,2,Chinese Grand Prix,Q,GAS,Alpine,6.0,SOFT,2,112.4785,10.0,0.0,2,3
2026,2,Chinese Grand Prix,Q,HAD,Red Bull Racing,1.0,MEDIUM,4,107.96625,3.3333333333333335,0.0,2,5
2026,2,Chinese Grand Prix,Q,HAD,Red Bull Racing,2.0,SOFT,2,110.35300000000001,10.0,0.0,2,3
2026,2,Chinese Grand Prix,Q,HAD,Red Bull Racing,3.0,SOFT,2,105.622,10.0,0.0,2,3
2026,2,Chinese Grand Prix,Q,HAD,Red Bull Racing,4.0,SOFT,2,104.3615,10.0,0.0,2,3
2026,2,Chinese Grand Prix,Q,HAD,Red Bull Racing,5.0,SOFT,2,103.32849999999999,10.0,0.0,5,6
2026,2,Chinese Grand Prix,Q,HAD,Red Bull Racing,6.0,SOFT,2,111.077,10.0,0.0,2,3
2026,2,Chinese Grand Prix,Q,HAM,Ferrari,1.0,MEDIUM,2,107.345,10.0,0.0,7,8
2026,2,Chinese Grand Prix,Q,HAM,Ferrari,2.0,SOFT,2,112.744,10.0,0.0,2,3
2026,2,Chinese Grand Prix,Q,HAM,Ferrari,3.0,SOFT,2,104.4005,10.0,0.0,5,6
2026,2,Chinese Grand Prix,Q,HAM,Ferrari,4.0,SOFT,3,108.745,0.0,0.5,2,4
2026,2,Chinese Grand Prix,Q,HAM,Ferrari,5.0,SOFT,2,104.6305,10.0,0.0,2,3
