Time,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindDirection,WindSpeed
0 days 00:00:59.959000,16.3,26.5,51.1,1024.6,False,91,2.1
0 days 00:01:59.974000,16.3,26.0,51.1,1024.6,False,111,1.5
0 days 00:02:59.977000,16.3,26.1,51.3,1024.6,False,99,2.0
0 days 00:03:59.966000,16.3,25.4,51.4,1024.6,False,91,1.8
0 days 00:04:59.961000,16.3,25.4,51.3,1024.6,False,65,2.7
0 days 00:05:59.966000,16.2,25.4,51.6,1024.5,False,56,1.8
0 days 00:06:59.989000,16.2,25.2,51.7,1024.5,False,60,1.4
0 days 00:07:59.990000,16.1,25.2,51.9,1024.4,False,55,1.5
0 days 00:08:59.978000,16.2,25.1,51.8,1024.5,False,108,1.4
0 days 00:09:59.971000,16.2,24.8,51.8,1024.4,False,120,0.7
0 days 00:11:00.008000,16.1,25.3,52.5,1024.5,False,99,0.9
0 days 00:12:00.013000,16.1,25.1,52.1,1024.4,False,109,1.8
0 days 00:13:00.010000,16.1,24.6,51.2,1024.4,False,129,1.3
0 days 00:13:59.997000,16.1,25.1,52.2,1024.4,False,87,1.1
0 days 00:14:59.994000,16.2,24.8,52.2,1024.4,False,110,2.5
0 days 00:16:00.016000,16.1,25.1,52.3,1024.5,False,92,1.3
0 days 00:17:00.020000,16.1,24.9,52.1,1024.5,False,70,1.9
0 days 00:18:00.023000,16.1,24.7,52.5,1024.4,False,104,2.1
0 days 00:19:00.037000,16.1,25.0,52.6,1024.4,False,115,1.5
0 days 00:20:00.037000,16.1,25.4,53.1,1024.4,False,43,0.3
0 days 00:21:00.051000,16.1,25.7,53.5,1024.5,False,174,1.5
0 days 00:22:00.069000,16.2,25.6,53.2,1024.5,False,166,1.0
0 days 00:23:00.065000,16.3,27.6,52.5,1024.6,False,79,1.9
0 days 00:24:00.088000,16.3,26.8,50.8,1024.5,False,84,3.0
0 days 00:25:00.095000,16.4,25.3,50.5,1024.6,False,70,2.0
0 days 00:26:00.113000,16.3,25.0,52.0,1024.5,False,97,1.8
0 days 00:27:00.114000,16.2,24.7,51.9,1024.5,False,72,1.4
0 days 00:28:00.099000,16.2,24.6,52.0,1024.6,False,97,2.4
0 days 00:29:00.127000,16.1,24.4,52.5,1024.6,False,100,2.6
0 days 00:30:00.140000,16.0,24.2,52.8,1024.6,False,93,1.7
0 days 00:31:00.140000,15.9,24.5,52.9,1024.6,False,102,2.0
0 days 00:32:00.142000,15.9,24.5,52.9,1024.6,False,102,2.0
0 days 00:33:00.140000,15.8,24.1,53.4,1024.6,False,103,2.3
0 days 00:34:00.140000,15.8,24.2,54.1,1024.6,False,94,1.8
0 days 00:35:00.139000,15.9,24.0,54.1,1024.6,False,99,1.6
0 days 00:36:00.152000,16.0,24.1,54.1,1024.5,False,88,1.6
