Driver,LapNumber,LapTime,Compound,TyreLife,Team
ALB,19.0,0 days 00:01:38.158000,SOFT,15.0,Williams
ALO,19.0,0 days 00:01:38.487000,HARD,19.0,Aston Martin
ANT,18.0,0 days 00:01:34.760000,SOFT,10.0,Mercedes
BEA,18.0,0 days 00:01:37.374000,MEDIUM,24.0,Haas F1 Team
BOR,18.0,0 days 00:01:37.800000,MEDIUM,24.0,Audi
BOT,9.0,0 days 00:01:39.262000,MEDIUM,9.0,Cadillac
COL,18.0,0 days 00:01:37.278000,SOFT,10.0,Alpine
GAS,17.0,0 days 00:01:38.349000,MEDIUM,23.0,Alpine
HAD,18.0,0 days 00:01:36.912000,SOFT,12.0,Red Bull Racing
HAM,18.0,0 days 00:01:34.926000,SOFT,10.0,Ferrari
HUL,5.0,0 days 00:01:38.027000,MEDIUM,11.0,Audi
LAW,19.0,0 days 00:01:37.882000,HARD,19.0,Racing Bulls
LEC,18.0,0 days 00:01:34.753000,SOFT,10.0,Ferrari
LIN,6.0,0 days 00:01:38.475000,MEDIUM,12.0,Racing Bulls
NOR,19.0,0 days 00:01:35.708000,SOFT,9.0,McLaren
OCO,18.0,0 days 00:01:37.363000,MEDIUM,25.0,Haas F1 Team
PER,18.0,0 days 00:01:38.862000,SOFT,5.0,Cadillac
PIA,19.0,0 days 00:01:35.635000,SOFT,9.0,McLaren
RUS,18.0,0 days 00:01:35.101000,SOFT,5.0,Mercedes
SAI,18.0,0 days 00:01:37.913000,HARD,18.0,Williams
STR,18.0,0 days 00:01:38.532000,MEDIUM,12.0,Aston Martin
VER,19.0,0 days 00:01:35.774000,SOFT,14.0,Red Bull Racing
