Driver,LapNumber,LapTime,Compound,TyreLife,Team
ALB,3.0,0 days 00:01:35.305000,MEDIUM,3.0,Williams
ALO,4.0,0 days 00:01:35.581000,MEDIUM,4.0,Aston Martin
ANT,12.0,0 days 00:01:31.809000,SOFT,4.0,Mercedes
BEA,15.0,0 days 00:01:33.409000,SOFT,9.0,Haas F1 Team
BOR,11.0,0 days 00:01:33.774000,MEDIUM,3.0,Audi
BOT,7.0,0 days 00:01:37.378000,MEDIUM,7.0,Cadillac
COL,11.0,0 days 00:01:34.327000,MEDIUM,5.0,Alpine
GAS,14.0,0 days 00:01:32.888000,SOFT,2.0,Alpine
HAD,9.0,0 days 00:01:33.620000,MEDIUM,2.0,Red Bull Racing
HAM,12.0,0 days 00:01:32.161000,SOFT,2.0,Ferrari
HUL,11.0,0 days 00:01:33.635000,MEDIUM,3.0,Audi
LAW,12.0,0 days 00:01:33.714000,MEDIUM,5.0,Racing Bulls
LEC,15.0,0 days 00:01:32.528000,SOFT,4.0,Ferrari
LIN,9.0,0 days 00:01:34.048000,MEDIUM,2.0,Racing Bulls
NOR,12.0,0 days 00:01:32.141000,SOFT,2.0,McLaren
OCO,9.0,0 days 00:01:33.639000,MEDIUM,2.0,Haas F1 Team
PIA,12.0,0 days 00:01:32.224000,SOFT,2.0,McLaren
RUS,10.0,0 days 00:01:31.520000,SOFT,2.0,Mercedes
SAI,5.0,0 days 00:01:34.761000,MEDIUM,5.0,Williams
STR,6.0,0 days 00:01:36.151000,MEDIUM,6.0,Aston Martin
VER,14.0,0 days 00:01:33.254000,SOFT,2.0,Red Bull Racing
