Time,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindDirection,WindSpeed
0 days 00:00:31.674000,16.7,32.4,57.2,1008.8,False,126,2.9
0 days 00:01:31.672000,16.6,32.2,55.3,1008.8,False,114,1.9
0 days 00:02:31.674000,16.6,32.2,56.4,1008.8,False,117,2.4
0 days 00:03:31.677000,16.5,32.0,57.1,1008.8,False,122,1.7
0 days 00:04:31.676000,16.5,32.3,55.4,1008.7,False,132,1.7
0 days 00:05:31.676000,16.5,32.6,56.4,1008.7,False,121,2.2
0 days 00:06:31.676000,16.5,32.7,57.0,1008.7,False,144,2.0
0 days 00:07:31.677000,16.5,32.3,56.7,1008.8,False,122,2.2
0 days 00:08:31.678000,16.5,32.4,56.9,1008.7,False,151,2.7
0 days 00:09:31.686000,16.5,32.0,57.0,1008.8,False,164,3.3
0 days 00:10:31.706000,16.4,32.1,59.2,1008.7,False,151,2.3
0 days 00:11:31.707000,16.4,31.9,59.9,1008.6,False,152,3.5
0 days 00:12:31.723000,16.4,31.6,58.5,1008.7,False,120,2.3
0 days 00:13:31.727000,16.4,31.5,60.1,1008.8,False,130,2.3
0 days 00:14:31.726000,16.4,31.3,57.8,1008.8,False,125,3.8
0 days 00:15:31.732000,16.4,31.4,55.8,1008.8,False,115,1.8
0 days 00:16:31.730000,16.4,31.0,56.4,1008.8,False,150,1.3
0 days 00:17:31.728000,16.5,31.4,55.9,1008.8,False,113,1.0
0 days 00:18:31.734000,16.5,31.4,54.4,1008.8,False,94,1.2
0 days 00:19:31.730000,16.5,31.3,54.7,1008.8,False,158,2.2
0 days 00:20:31.731000,16.5,31.5,53.3,1008.7,False,117,0.8
0 days 00:21:31.729000,16.6,31.5,53.3,1008.7,False,125,0.9
0 days 00:22:31.748000,16.6,31.5,51.3,1008.7,False,183,1.2
0 days 00:23:31.748000,16.7,31.1,50.2,1008.7,False,151,2.3
0 days 00:24:31.765000,16.7,30.8,48.8,1008.6,False,137,1.8
0 days 00:25:31.780000,16.7,30.8,48.8,1008.6,False,137,1.8
0 days 00:26:31.784000,16.6,30.2,48.8,1008.6,False,118,2.3
0 days 00:27:31.781000,16.5,30.1,50.1,1008.7,False,125,2.6
0 days 00:28:31.799000,16.5,30.2,50.2,1008.6,False,137,2.2
0 days 00:29:31.800000,16.6,30.1,46.9,1008.7,False,166,1.0
0 days 00:30:31.815000,16.5,29.9,47.4,1008.7,False,114,2.8
0 days 00:31:31.813000,16.5,29.7,48.7,1008.7,False,133,1.5
0 days 00:32:31.817000,16.6,29.8,47.5,1008.8,False,85,0.9
0 days 00:33:31.843000,16.6,29.6,47.2,1008.8,False,159,2.0
0 days 00:34:31.821000,16.5,29.7,47.2,1008.7,False,144,1.9
0 days 00:35:31.822000,16.4,29.7,48.6,1008.7,False,157,1.4
0 days 00:36:31.820000,16.4,29.8,49.6,1008.7,False,138,2.1
0 days 00:37:31.821000,16.4,29.6,47.9,1008.6,False,149,1.4
0 days 00:38:31.818000,16.4,29.5,48.1,1008.7,False,126,0.9
0 days 00:39:31.822000,16.4,29.7,49.5,1008.6,False,148,1.9
0 days 00:40:31.822000,16.4,29.4,48.7,1008.7,False,135,0.6
0 days 00:41:31.836000,16.6,29.5,47.9,1008.7,False,164,1.2
0 days 00:42:31.836000,16.7,29.3,46.6,1008.7,False,137,2.3
0 days 00:43:31.826000,16.7,29.1,44.2,1008.8,False,146,1.4
0 days 00:44:31.825000,16.7,29.0,45.5,1008.7,False,145,2.1
0 days 00:45:31.827000,16.6,29.0,47.0,1008.7,False,123,1.6
0 days 00:46:31.827000,16.5,28.6,46.5,1008.7,False,108,2.3
0 days 00:47:31.825000,16.5,28.7,47.4,1008.8,False,113,2.7
0 days 00:48:31.827000,16.5,29.4,46.7,1008.7,False,158,1.0
0 days 00:49:31.829000,16.6,28.9,46.5,1008.7,False,129,2.2
0 days 00:50:31.831000,16.7,28.9,46.1,1008.6,False,146,1.5
0 days 00:51:31.829000,16.7,28.6,47.9,1008.7,False,357,0.6
0 days 00:52:31.831000,16.8,28.5,47.8,1008.7,False,31,0.4
0 days 00:53:31.832000,16.9,28.1,45.8,1008.7,False,162,2.9
0 days 00:54:31.833000,16.9,28.1,44.5,1008.7,False,147,2.5
0 days 00:55:31.833000,16.8,28.2,46.1,1008.7,False,121,0.6
0 days 00:56:31.834000,16.7,28.2,48.9,1008.6,False,148,1.9
0 days 00:57:31.833000,16.6,28.0,50.8,1008.7,False,172,1.0
0 days 00:58:31.833000,16.5,27.9,52.8,1008.7,False,114,1.8
0 days 00:59:31.835000,16.5,27.9,52.4,1008.6,False,127,2.1
0 days 01:00:31.836000,16.5,27.7,49.8,1008.7,False,128,2.1
0 days 01:01:31.836000,16.4,27.5,50.8,1008.7,False,107,1.3
0 days 01:02:31.838000,16.4,27.8,51.9,1008.6,False,59,0.8
0 days 01:03:31.838000,16.5,27.8,52.4,1008.7,False,9,0.4
0 days 01:04:31.837000,16.6,27.5,52.2,1008.7,False,333,1.5
0 days 01:05:31.839000,16.7,27.5,51.7,1008.6,False,131,1.0
0 days 01:06:31.843000,16.6,27.3,51.5,1008.6,False,129,1.2
0 days 01:07:31.842000,16.6,27.2,52.9,1008.6,False,114,1.6
0 days 01:08:31.840000,16.5,27.2,53.0,1008.6,False,97,0.8
0 days 01:09:31.847000,16.4,27.4,54.2,1008.6,False,134,1.8
0 days 01:10:31.849000,16.6,27.3,54.9,1008.6,False,145,1.6
0 days 01:11:31.843000,16.3,26.9,55.8,1008.7,False,84,1.3
0 days 01:12:31.845000,16.3,26.9,55.4,1008.7,False,335,0.9
0 days 01:13:31.861000,16.3,26.8,55.5,1008.6,False,334,1.4
0 days 01:14:31.877000,16.4,26.1,55.4,1008.7,False,92,1.6
