Driver,LapNumber,LapTime,Compound,TyreLife,Team
ALB,51.0,0 days 00:01:33.427000,MEDIUM,2.0,Williams
ALO,47.0,0 days 00:01:36.221000,MEDIUM,24.0,Aston Martin
ANT,49.0,0 days 00:01:32.432000,HARD,27.0,Mercedes
BEA,20.0,0 days 00:01:35.604000,HARD,4.0,Haas F1 Team
BOR,40.0,0 days 00:01:34.164000,HARD,18.0,Audi
BOT,52.0,0 days 00:01:36.269000,MEDIUM,33.0,Cadillac
COL,41.0,0 days 00:01:34.512000,HARD,24.0,Alpine
GAS,39.0,0 days 00:01:33.691000,HARD,17.0,Alpine
HAD,53.0,0 days 00:01:33.837000,HARD,34.0,Red Bull Racing
HAM,48.0,0 days 00:01:32.777000,HARD,26.0,Ferrari
HUL,47.0,0 days 00:01:33.732000,HARD,24.0,Audi
LAW,53.0,0 days 00:01:34.230000,HARD,31.0,Racing Bulls
LEC,53.0,0 days 00:01:32.634000,HARD,36.0,Ferrari
LIN,53.0,0 days 00:01:34.314000,HARD,35.0,Racing Bulls
NOR,52.0,0 days 00:01:33.208000,HARD,36.0,McLaren
OCO,53.0,0 days 00:01:34.256000,HARD,34.0,Haas F1 Team
PER,53.0,0 days 00:01:35.637000,HARD,32.0,Cadillac
PIA,49.0,0 days 00:01:32.996000,HARD,31.0,McLaren
RUS,53.0,0 days 00:01:32.549000,HARD,32.0,Mercedes
SAI,38.0,0 days 00:01:34.514000,HARD,16.0,Williams
STR,29.0,0 days 00:01:37.217000,MEDIUM,5.0,Aston Martin
VER,41.0,0 days 00:01:33.552000,HARD,19.0,Red Bull Racing
