season,round,event_name,session_code,driver,team,lap_number,stint,compound,tyre_life,lap_time_s,sector_1_s,sector_2_s,sector_3_s,speed_i1,speed_i2,speed_fl,speed_st,track_status,fresh_tyre,is_personal_best,is_accurate,deleted,lap_start_time,position,air_temp_c,track_temp_c,humidity_pct,rainfall,wind_speed_mps,wind_direction_deg
2026,3,Japanese Grand Prix,R,NOR,McLaren,1.0,1.0,MEDIUM,1.0,97.206,,42.011,18.104,289.0,323.0,279.0,283.0,1,True,False,False,False,2026-03-29 05:14:02.079,3.0,19.4,37.0,46.1,False,3.1,115.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,2.0,1.0,MEDIUM,2.0,94.905,34.856,42.12,17.929,260.0,337.0,269.0,294.0,1,True,True,True,False,2026-03-29 05:15:39.538,3.0,19.4,37.3,44.7,False,3.3,124.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,3.0,1.0,MEDIUM,3.0,96.301,36.026,42.108,18.167,261.0,323.0,280.0,286.0,1,True,False,True,False,2026-03-29 05:17:14.443,4.0,19.5,37.7,45.0,False,2.3,126.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,4.0,1.0,MEDIUM,4.0,95.451,35.147,42.19,18.114,255.0,319.0,280.0,284.0,1,True,False,True,False,2026-03-29 05:18:50.744,4.0,19.5,38.1,45.4,False,2.7,125.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,5.0,1.0,MEDIUM,5.0,95.17,34.925,42.206,18.039,258.0,322.0,278.0,286.0,1,True,False,True,False,2026-03-29 05:20:26.195,4.0,19.4,37.8,46.0,False,2.9,121.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,6.0,1.0,MEDIUM,6.0,95.051,34.901,42.063,18.087,260.0,325.0,281.0,288.0,1,True,False,True,False,2026-03-29 05:22:01.365,4.0,19.5,38.2,46.3,False,2.7,135.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,7.0,1.0,MEDIUM,7.0,95.045,34.741,42.156,18.148,258.0,324.0,279.0,288.0,1,True,False,True,False,2026-03-29 05:23:36.416,4.0,19.3,38.3,49.8,False,2.4,116.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,8.0,1.0,MEDIUM,8.0,95.247,34.769,42.234,18.244,259.0,326.0,282.0,290.0,1,True,False,True,False,2026-03-29 05:25:11.461,4.0,19.3,37.9,51.6,False,3.4,133.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,9.0,1.0,MEDIUM,9.0,95.672,35.184,42.166,18.322,258.0,325.0,281.0,290.0,1,True,False,True,False,2026-03-29 05:26:46.708,4.0,19.1,37.8,51.0,False,2.1,132.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,10.0,1.0,MEDIUM,10.0,95.228,34.968,42.231,18.029,258.0,326.0,281.0,289.0,1,True,False,True,False,2026-03-29 05:28:22.380,4.0,18.9,37.7,52.0,False,2.4,129.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,11.0,1.0,MEDIUM,11.0,96.219,35.055,42.309,18.855,258.0,323.0,280.0,286.0,1,True,False,True,False,2026-03-29 05:29:57.608,5.0,18.8,36.8,52.3,False,1.0,117.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,12.0,1.0,MEDIUM,12.0,95.457,35.369,42.136,17.951999999999998,258.0,327.0,279.0,288.0,1,True,False,True,False,2026-03-29 05:31:33.827,5.0,18.6,37.1,52.1,False,2.3,122.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,13.0,1.0,MEDIUM,13.0,95.079,35.0,42.106,17.973,261.0,326.0,279.0,287.0,1,True,False,True,False,2026-03-29 05:33:09.284,5.0,18.4,36.8,51.8,False,3.7,125.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,14.0,1.0,MEDIUM,14.0,95.339,35.006,42.32,18.013,256.0,319.0,280.0,284.0,1,True,False,True,False,2026-03-29 05:34:44.363,5.0,18.4,36.8,53.7,False,3.0,124.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,15.0,1.0,MEDIUM,15.0,95.315,34.906,42.361,18.048,258.0,318.0,279.0,286.0,1,True,False,True,False,2026-03-29 05:36:19.702,5.0,18.4,37.2,52.5,False,1.9,142.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,16.0,1.0,MEDIUM,16.0,98.222,35.499,42.303,20.42,265.0,327.0,,289.0,1,True,False,False,False,2026-03-29 05:37:55.017,6.0,18.6,36.2,53.9,False,2.8,119.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,17.0,2.0,HARD,1.0,114.481,54.657,42.005,17.819,283.0,318.0,275.0,294.0,1,True,False,False,False,2026-03-29 05:39:33.239,8.0,18.5,36.2,53.2,False,1.6,133.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,18.0,2.0,HARD,2.0,94.916,34.876,41.988,18.052,257.0,316.0,281.0,282.0,1,True,False,True,False,2026-03-29 05:41:27.720,8.0,18.5,35.6,52.2,False,2.7,110.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,19.0,2.0,HARD,3.0,94.285,34.516,41.804,17.965,259.0,320.0,281.0,284.0,1,True,True,True,False,2026-03-29 05:43:02.636,8.0,18.5,36.0,53.0,False,2.9,122.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,20.0,2.0,HARD,4.0,93.771,34.258,41.67,17.843,259.0,321.0,283.0,286.0,1,True,True,True,False,2026-03-29 05:44:36.921,8.0,18.5,36.1,52.8,False,1.8,118.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,21.0,2.0,HARD,5.0,94.161,34.402,41.856,17.903,263.0,327.0,281.0,289.0,1,True,False,True,False,2026-03-29 05:46:10.692,8.0,18.4,36.4,53.9,False,2.1,155.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,22.0,2.0,HARD,6.0,120.54,38.974,56.456,25.11,156.0,245.0,200.0,216.0,124,True,False,False,False,2026-03-29 05:47:44.853,8.0,18.6,36.2,53.7,False,1.8,148.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,23.0,2.0,HARD,7.0,139.586,45.885,62.354,31.347,224.0,202.0,215.0,212.0,4,True,False,False,False,2026-03-29 05:49:45.393,6.0,18.5,36.2,52.9,False,2.9,144.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,24.0,2.0,HARD,8.0,147.128,49.4,70.887,26.841,189.0,195.0,218.0,268.0,4,True,False,False,False,2026-03-29 05:52:04.979,6.0,18.5,36.3,53.1,False,2.2,113.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,25.0,2.0,HARD,9.0,,50.322,72.179,28.388,123.0,266.0,190.0,209.0,4,True,False,False,False,2026-03-29 05:54:32.107,6.0,18.5,35.8,52.8,False,3.0,129.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,26.0,2.0,HARD,10.0,146.957,53.81,63.654,29.493,211.0,269.0,202.0,152.0,4,True,False,False,False,2026-03-29 05:57:02.992,6.0,18.5,35.8,53.0,False,3.4,130.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,27.0,2.0,HARD,11.0,140.302,47.814,64.332,28.156,234.0,150.0,278.0,131.0,41,True,False,False,False,2026-03-29 05:59:29.949,6.0,18.6,36.3,52.3,False,2.1,133.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,28.0,2.0,HARD,12.0,95.248,35.273,42.048,17.927,261.0,325.0,285.0,287.0,1,True,False,True,False,2026-03-29 06:01:50.251,6.0,18.7,36.6,53.6,False,2.0,121.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,29.0,2.0,HARD,13.0,94.083,34.396,41.948,17.739,261.0,325.0,283.0,286.0,1,True,False,True,False,2026-03-29 06:03:25.499,6.0,18.8,36.7,51.0,False,3.0,147.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,30.0,2.0,HARD,14.0,93.851,34.362,41.618,17.871,263.0,326.0,282.0,287.0,1,True,False,True,False,2026-03-29 06:04:59.582,6.0,18.8,36.9,53.0,False,3.1,120.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,31.0,2.0,HARD,15.0,94.131,34.461,41.767,17.903,258.0,323.0,282.0,285.0,1,True,False,True,False,2026-03-29 06:06:33.433,6.0,18.8,36.6,52.5,False,2.0,121.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,32.0,2.0,HARD,16.0,94.419,34.65,41.795,17.974,260.0,317.0,282.0,282.0,1,True,False,True,False,2026-03-29 06:08:07.564,6.0,18.8,36.2,52.6,False,3.0,113.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,33.0,2.0,HARD,17.0,93.787,34.252,41.655,17.88,260.0,319.0,282.0,283.0,1,True,False,True,False,2026-03-29 06:09:41.983,6.0,18.8,36.4,53.1,False,2.5,121.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,34.0,2.0,HARD,18.0,93.494,34.05,41.548,17.896,259.0,320.0,281.0,285.0,1,True,True,True,False,2026-03-29 06:11:15.770,6.0,18.7,36.6,53.5,False,1.8,118.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,35.0,2.0,HARD,19.0,93.58,34.059,41.642,17.879,259.0,317.0,281.0,282.0,1,True,False,True,False,2026-03-29 06:12:49.264,6.0,18.8,36.6,53.7,False,2.3,131.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,36.0,2.0,HARD,20.0,93.359,34.073,41.466,17.82,259.0,322.0,282.0,284.0,1,True,True,True,False,2026-03-29 06:14:22.844,6.0,18.9,36.7,53.4,False,2.4,122.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,37.0,2.0,HARD,21.0,93.602,34.074,41.651,17.877,259.0,323.0,282.0,284.0,1,True,False,True,False,2026-03-29 06:15:56.203,6.0,18.9,36.4,53.9,False,2.0,122.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,38.0,2.0,HARD,22.0,93.455,34.042,41.593,17.82,259.0,322.0,282.0,284.0,1,True,False,True,False,2026-03-29 06:17:29.805,6.0,18.8,36.7,55.5,False,2.1,124.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,39.0,2.0,HARD,23.0,93.679,34.167,41.669,17.843,260.0,322.0,283.0,285.0,1,True,False,True,False,2026-03-29 06:19:03.260,6.0,18.9,36.7,54.3,False,1.5,143.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,40.0,2.0,HARD,24.0,93.347,34.076,41.448,17.823,259.0,324.0,283.0,285.0,1,True,True,True,False,2026-03-29 06:20:36.939,6.0,18.9,36.0,54.5,False,2.1,112.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,41.0,2.0,HARD,25.0,93.398,34.089,41.503,17.806,261.0,328.0,283.0,289.0,1,True,False,True,False,2026-03-29 06:22:10.286,6.0,19.0,36.5,54.0,False,0.4,104.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,42.0,2.0,HARD,26.0,93.702,34.25,41.574,17.878,260.0,330.0,284.0,290.0,1,True,False,True,False,2026-03-29 06:23:43.684,6.0,19.1,36.4,53.2,False,2.3,128.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,43.0,2.0,HARD,27.0,93.927,34.427,41.619,17.881,264.0,333.0,284.0,290.0,1,True,False,True,False,2026-03-29 06:25:17.386,6.0,19.2,36.0,52.0,False,1.4,95.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,44.0,2.0,HARD,28.0,93.362,34.167,41.373,17.822,261.0,331.0,287.0,290.0,1,True,False,True,False,2026-03-29 06:26:51.313,6.0,19.1,35.7,51.3,False,1.3,130.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,45.0,2.0,HARD,29.0,93.521,34.254,41.441,17.826,259.0,326.0,284.0,288.0,1,True,False,True,False,2026-03-29 06:28:24.675,6.0,19.0,35.4,51.5,False,1.2,104.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,46.0,2.0,HARD,30.0,93.437,34.254,41.281,17.902,265.0,333.0,284.0,291.0,1,True,False,True,False,2026-03-29 06:29:58.196,6.0,19.1,34.6,51.2,False,2.3,120.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,47.0,2.0,HARD,31.0,93.624,34.233,41.296,18.095,262.0,346.0,272.0,304.0,1,True,False,True,False,2026-03-29 06:31:31.633,5.0,19.1,34.3,50.8,False,2.5,120.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,48.0,2.0,HARD,32.0,94.608,35.091,41.699,17.818,259.0,325.0,283.0,287.0,1,True,False,True,False,2026-03-29 06:33:05.257,6.0,19.1,34.0,50.7,False,1.5,142.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,49.0,2.0,HARD,33.0,93.483,34.299,41.375,17.809,260.0,326.0,283.0,286.0,1,True,False,True,False,2026-03-29 06:34:39.865,6.0,19.1,33.7,50.5,False,1.3,82.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,50.0,2.0,HARD,34.0,94.087,34.32,41.589,18.178,260.0,326.0,281.0,283.0,1,True,False,True,False,2026-03-29 06:36:13.348,5.0,19.0,34.1,49.6,False,0.6,117.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,51.0,2.0,HARD,35.0,95.007,35.08,41.66,18.267,255.0,320.0,285.0,286.0,1,True,False,True,False,2026-03-29 06:37:47.435,5.0,19.0,33.6,50.6,False,1.2,56.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,52.0,2.0,HARD,36.0,93.208,33.929,41.363,17.916,258.0,316.0,285.0,282.0,1,True,True,True,False,2026-03-29 06:39:22.442,5.0,18.9,33.3,50.7,False,1.2,133.0
2026,3,Japanese Grand Prix,R,NOR,McLaren,53.0,2.0,HARD,37.0,93.56,34.131,41.674,17.755,265.0,325.0,280.0,288.0,1,True,False,True,False,2026-03-29 06:40:55.650,5.0,18.8,33.4,50.8,False,0.7,44.0
2026,3,Japanese Grand Prix,R,GAS,Alpine,1.0,1.0,MEDIUM,1.0,99.651,,42.579,18.221,276.0,331.0,280.0,291.0,1,True,False,False,False,2026-03-29 05:14:02.079,7.0,19.4,37.0,46.1,False,3.1,115.0
2026,3,Japanese Grand Prix,R,GAS,Alpine,2.0,1.0,MEDIUM,2.0,95.436,34.955,42.458,18.023,260.0,327.0,281.0,288.0,1,True,True,True,False,2026-03-29 05:15:41.983,7.0,19.4,37.3,44.7,False,3.3,124.0
2026,3,Japanese Grand Prix,R,GAS,Alpine,3.0,1.0,MEDIUM,3.0,95.809,35.072,42.628,18.109,258.0,321.0,281.0,285.0,1,True,False,True,False,2026-03-29 05:17:17.419,7.0,19.5,37.7,45.0,False,2.3,126.0
2026,3,Japanese Grand Prix,R,GAS,Alpine,4.0,1.0,MEDIUM,4.0,95.899,35.07,42.607,18.222,260.0,320.0,280.0,284.0,1,True,False,True,False,2026-03-29 05:18:53.228,7.0,19.5,38.1,45.4,False,2.7,125.0
2026,3,Japanese Grand Prix,R,GAS,Alpine,5.0,1.0,MEDIUM,5.0,95.872,35.026,42.698,18.148,260.0,316.0,279.0,283.0,1,True,False,True,False,2026-03-29 05:20:29.127,7.0,19.4,37.8,46.0,False,2.9,121.0
2026,3,Japanese Grand Prix,R,GAS,Alpine,6.0,1.0,MEDIUM,6.0,96.143,35.201,42.653,18.289,260.0,317.0,279.0,283.0,1,True,False,True,False,2026-03-29 05:22:04.999,7.0,19.5,38.2,46.3,False,2.7,135.0
2026,3,Japanese Grand Prix,R,GAS,Alpine,7.0,1.0,MEDIUM,7.0,95.944,35.069,42.587,18.288,258.0,316.0,279.0,282.0,1,True,False,True,False,2026-03-29 05:23:41.142,7.0,19.3,38.3,49.8,False,2.4,116.0
2026,3,Japanese Grand Prix,R,GAS,Alpine,8.0,1.0,MEDIUM,8.0,95.566,34.939,42.419,18.208,261.0,315.0,279.0,282.0,1,True,False,True,False,2026-03-29 05:25:17.086,7.0,19.3,37.9,51.6,False,3.4,133.0
2026,3,Japanese Grand Prix,R,GAS,Alpine,9.0,1.0,MEDIUM,9.0,95.616,35.047,42.303,18.266,260.0,317.0,279.0,282.0,1,True,False,True,False,2026-03-29 05:26:52.652,7.0,19.1,37.8,51.0,False,2.1,132.0
2026,3,Japanese Grand Prix,R,GAS,Alpine,10.0,1.0,MEDIUM,10.0,95.871,35.156,42.396,18.319,259.0,315.0,280.0,281.0,1,True,False,True,False,2026-03-29 05:28:28.268,7.0,18.9,37.7,52.0,False,2.4,129.0
2026,3,Japanese Grand Prix,R,GAS,Alpine,11.0,1.0,MEDIUM,11.0,95.717,35.157,42.378,18.182,258.0,314.0,280.0,281.0,1,True,False,True,False,2026-03-29 05:30:04.139,7.0,18.8,36.8,52.3,False,1.0,117.0
2026,3,Japanese Grand Prix,R,GAS,Alpine,12.0,1.0,MEDIUM,12.0,95.524,35.118,42.273,18.133,259.0,316.0,280.0,281.0,1,True,False,True,False,2026-03-29 05:31:39.856,7.0,18.6,37.1,52.1,False,2.3,122.0
2026,3,Japanese Grand Prix,R,GAS,Alpine,13.0,1.0,MEDIUM,13.0,95.928,35.264,42.342,18.322,259.0,315.0,279.0,279.0,1,True,False,True,False,2026-03-29 05:33:15.380,7.0,18.4,36.8,51.8,False,3.7,125.0
2026,3,Japanese Grand Prix,R,GAS,Alpine,14.0,1.0,MEDIUM,14.0,96.11,35.318,42.518,18.274,261.0,315.0,279.0,281.0,1,True,False,True,False,2026-03-29 05:34:51.308,7.0,18.4,36.8,53.7,False,3.0,124.0
