season,round,event_name,session_code,driver,team,lap_number,stint,compound,tyre_life,lap_time_s,sector_1_s,sector_2_s,sector_3_s,speed_i1,speed_i2,speed_fl,speed_st,track_status,fresh_tyre,is_personal_best,is_accurate,deleted,lap_start_time,position,air_temp_c,track_temp_c,humidity_pct,rainfall,wind_speed_mps,wind_direction_deg
2026,4,Miami Grand Prix,Q,ANT,Mercedes,1.0,1.0,SOFT,4.0,,,43.904,31.471,171.0,116.0,269.0,249.0,1,False,False,False,False,2026-05-02 20:04:19.440,,33.8,53.3,30.8,False,2.9,317.0
2026,4,Miami Grand Prix,Q,ANT,Mercedes,2.0,1.0,SOFT,5.0,89.158,30.138,33.991,25.029,218.0,193.0,270.0,324.0,1,False,True,True,False,2026-05-02 20:06:11.261,,34.1,52.5,30.3,False,5.6,296.0
2026,4,Miami Grand Prix,Q,ANT,Mercedes,3.0,1.0,SOFT,6.0,124.672,36.511,47.737,40.424,158.0,140.0,,104.0,1,False,False,False,False,2026-05-02 20:07:40.419,,33.9,52.5,30.5,False,4.9,299.0
2026,4,Miami Grand Prix,Q,ANT,Mercedes,4.0,2.0,SOFT,1.0,,,42.641,33.604,177.0,69.0,271.0,247.0,1,True,False,False,False,2026-05-02 20:09:45.091,,33.9,52.3,30.6,False,5.3,302.0
2026,4,Miami Grand Prix,Q,ANT,Mercedes,5.0,2.0,SOFT,2.0,88.653,29.817,34.062,24.774,219.0,192.0,268.0,324.0,1,True,True,True,False,2026-05-02 20:14:23.402,,33.9,52.0,30.8,False,4.2,289.0
2026,4,Miami Grand Prix,Q,ANT,Mercedes,6.0,2.0,SOFT,3.0,117.406,36.767,40.627,40.012,159.0,161.0,,137.0,1,True,False,False,False,2026-05-02 20:15:52.055,,33.9,52.0,31.1,False,5.5,299.0
2026,4,Miami Grand Prix,Q,ANT,Mercedes,7.0,3.0,SOFT,1.0,,,46.595,34.592,167.0,88.0,263.0,126.0,12,True,False,False,False,2026-05-02 20:17:49.461,,33.9,52.0,31.3,False,4.3,320.0
2026,4,Miami Grand Prix,Q,ANT,Mercedes,8.0,3.0,SOFT,2.0,88.352,29.969,33.555,24.828,223.0,193.0,267.0,327.0,1,True,True,True,False,2026-05-02 20:33:07.947,,33.8,51.7,31.3,False,3.6,294.0
2026,4,Miami Grand Prix,Q,ANT,Mercedes,9.0,3.0,SOFT,3.0,109.868,34.704,39.196,35.968,194.0,152.0,,262.0,1,True,False,False,False,2026-05-02 20:34:36.299,,33.9,51.9,31.0,False,5.3,291.0
2026,4,Miami Grand Prix,Q,ANT,Mercedes,10.0,4.0,SOFT,1.0,,,39.886,31.522,178.0,141.0,268.0,259.0,1,True,False,False,False,2026-05-02 20:36:26.167,,33.9,51.9,31.0,False,5.3,291.0
2026,4,Miami Grand Prix,Q,ANT,Mercedes,11.0,4.0,SOFT,2.0,88.289,29.879,33.658,24.752,220.0,194.0,267.0,325.0,1,True,True,True,False,2026-05-02 20:41:06.667,,33.9,52.4,30.5,False,1.8,291.0
2026,4,Miami Grand Prix,Q,ANT,Mercedes,12.0,4.0,SOFT,3.0,155.972,40.928,41.371,73.673,180.0,152.0,,288.0,1,True,False,False,False,2026-05-02 20:42:34.956,,34.0,52.6,30.3,False,3.0,295.0
2026,4,Miami Grand Prix,Q,ANT,Mercedes,13.0,5.0,SOFT,1.0,,,45.431,33.021,170.0,96.0,269.0,247.0,12,True,False,False,False,2026-05-02 20:45:10.928,,34.0,52.8,30.6,False,2.8,287.0
2026,4,Miami Grand Prix,Q,ANT,Mercedes,14.0,5.0,SOFT,2.0,87.798,29.743,33.431,24.624,222.0,193.0,267.0,325.0,1,True,True,True,False,2026-05-02 20:55:34.551,,34.1,51.5,28.8,False,3.1,288.0
2026,4,Miami Grand Prix,Q,ANT,Mercedes,15.0,5.0,SOFT,3.0,108.971,33.955,37.286,37.73,196.0,154.0,,225.0,1,True,False,False,False,2026-05-02 20:57:02.349,,34.0,52.1,28.9,False,2.7,290.0
2026,4,Miami Grand Prix,Q,ANT,Mercedes,16.0,6.0,SOFT,1.0,,,39.505,31.629,179.0,117.0,274.0,253.0,1,True,False,False,False,2026-05-02 20:58:51.320,,34.0,52.1,28.9,False,2.7,290.0
2026,4,Miami Grand Prix,Q,ANT,Mercedes,17.0,6.0,SOFT,2.0,,35.112,44.348,,185.0,104.0,,261.0,1,True,False,False,False,2026-05-02 21:02:38.354,,33.9,49.3,28.7,False,6.3,288.0
2026,4,Miami Grand Prix,Q,VER,Red Bull Racing,1.0,1.0,SOFT,4.0,,,38.549,35.91,200.0,167.0,262.0,182.0,1,False,False,False,False,2026-05-02 20:01:23.973,,33.8,52.5,31.9,False,4.3,294.0
2026,4,Miami Grand Prix,Q,VER,Red Bull Racing,2.0,1.0,SOFT,5.0,89.099,30.369,33.772,24.958,222.0,192.0,269.0,319.0,1,False,True,True,False,2026-05-02 20:03:23.573,,33.8,53.8,31.6,False,3.6,321.0
2026,4,Miami Grand Prix,Q,VER,Red Bull Racing,3.0,1.0,SOFT,6.0,108.451,34.388,38.203,35.86,205.0,166.0,,213.0,1,False,False,False,False,2026-05-02 20:04:52.672,,34.1,54.2,30.5,False,4.6,290.0
2026,4,Miami Grand Prix,Q,VER,Red Bull Racing,4.0,2.0,SOFT,1.0,,,40.073,30.431,207.0,111.0,266.0,248.0,12,True,False,False,False,2026-05-02 20:06:41.123,,34.0,52.7,30.3,False,5.0,308.0
2026,4,Miami Grand Prix,Q,VER,Red Bull Racing,5.0,2.0,SOFT,2.0,88.931,30.398,33.765,24.768,224.0,193.0,274.0,322.0,1,True,True,True,False,2026-05-02 20:30:58.659,,33.8,51.7,31.3,False,3.6,294.0
2026,4,Miami Grand Prix,Q,VER,Red Bull Racing,6.0,2.0,SOFT,3.0,112.631,36.138,40.227,36.266,200.0,169.0,,211.0,1,True,False,False,False,2026-05-02 20:32:27.590,,33.8,51.7,31.3,False,3.6,294.0
2026,4,Miami Grand Prix,Q,VER,Red Bull Racing,7.0,3.0,SOFT,1.0,,,40.716,30.037,202.0,96.0,264.0,277.0,1,True,False,False,False,2026-05-02 20:34:20.221,,33.9,51.9,31.0,False,5.3,291.0
2026,4,Miami Grand Prix,Q,VER,Red Bull Racing,8.0,3.0,SOFT,2.0,88.116,30.072,33.382,24.662,224.0,194.0,274.0,324.0,1,True,True,True,False,2026-05-02 20:42:02.564,,33.9,52.4,30.5,False,1.8,291.0
2026,4,Miami Grand Prix,Q,VER,Red Bull Racing,9.0,3.0,SOFT,3.0,107.818,34.162,38.847,34.809,201.0,167.0,,231.0,1,True,False,False,False,2026-05-02 20:43:30.680,,34.0,52.6,30.3,False,3.0,295.0
2026,4,Miami Grand Prix,Q,VER,Red Bull Racing,10.0,4.0,SOFT,1.0,,,42.632,30.936,188.0,121.0,264.0,248.0,12,True,False,False,False,2026-05-02 20:45:18.498,,34.0,52.8,30.6,False,2.8,287.0
2026,4,Miami Grand Prix,Q,VER,Red Bull Racing,11.0,4.0,SOFT,2.0,88.181,30.279,33.256,24.646,223.0,194.0,271.0,322.0,1,True,True,True,False,2026-05-02 20:54:48.556,,34.1,51.5,28.8,False,3.1,288.0
2026,4,Miami Grand Prix,Q,VER,Red Bull Racing,12.0,4.0,SOFT,3.0,108.0,34.377,39.248,34.375,199.0,167.0,,258.0,1,True,False,False,False,2026-05-02 20:56:16.737,,34.1,51.5,28.8,False,3.1,288.0
2026,4,Miami Grand Prix,Q,VER,Red Bull Racing,13.0,5.0,SOFT,1.0,,,46.347,30.871,194.0,107.0,268.0,263.0,1,True,False,False,False,2026-05-02 20:58:04.737,,34.0,52.1,28.9,False,2.7,290.0
2026,4,Miami Grand Prix,Q,VER,Red Bull Racing,14.0,5.0,SOFT,2.0,87.964,30.09,33.172,24.701999999999998,223.0,194.0,274.0,320.0,1,True,True,True,False,2026-05-02 21:03:53.330,,33.7,50.7,29.5,False,4.5,300.0
2026,4,Miami Grand Prix,Q,VER,Red Bull Racing,15.0,5.0,SOFT,3.0,,38.826,43.175,,193.0,122.0,,211.0,12,True,False,False,False,2026-05-02 21:05:21.294,,33.8,51.4,29.2,False,3.1,298.0
2026,4,Miami Grand Prix,Q,LEC,Ferrari,1.0,1.0,SOFT,4.0,,,47.383,31.926,193.0,68.0,258.0,242.0,1,False,False,False,False,2026-05-02 20:01:31.837,,33.8,52.5,31.9,False,4.3,294.0
2026,4,Miami Grand Prix,Q,LEC,Ferrari,2.0,1.0,SOFT,5.0,89.436,30.42,34.124,24.892,222.0,191.0,269.0,322.0,1,False,True,True,False,2026-05-02 20:03:38.314,,33.8,53.3,30.8,False,2.9,317.0
2026,4,Miami Grand Prix,Q,LEC,Ferrari,3.0,1.0,SOFT,6.0,116.394,37.571,43.285,35.538,161.0,154.0,,237.0,1,False,False,False,False,2026-05-02 20:05:07.750,,34.1,54.2,30.5,False,4.6,290.0
2026,4,Miami Grand Prix,Q,LEC,Ferrari,4.0,2.0,SOFT,7.0,,,39.24,30.304,158.0,110.0,256.0,277.0,1,False,False,False,False,2026-05-02 20:07:04.144,,34.0,52.7,30.3,False,5.0,308.0
2026,4,Miami Grand Prix,Q,LEC,Ferrari,5.0,2.0,SOFT,8.0,97.594,30.207,34.682,32.705,216.0,163.0,128.0,233.0,1,False,False,True,False,2026-05-02 20:10:48.532,,33.9,51.6,31.1,False,4.3,298.0
2026,4,Miami Grand Prix,Q,LEC,Ferrari,6.0,2.0,SOFT,9.0,128.157,51.359,42.834,33.964,167.0,134.0,160.0,154.0,1,False,False,True,False,2026-05-02 20:12:26.126,,33.9,51.6,31.1,False,4.3,298.0
2026,4,Miami Grand Prix,Q,LEC,Ferrari,7.0,2.0,SOFT,10.0,125.72,40.326,46.857,38.537,196.0,66.0,252.0,133.0,1,False,False,True,False,2026-05-02 20:14:34.283,,33.8,52.3,30.8,False,3.5,296.0
2026,4,Miami Grand Prix,Q,LEC,Ferrari,8.0,2.0,SOFT,11.0,88.938,30.225,33.814,24.899,215.0,191.0,264.0,323.0,1,False,True,True,False,2026-05-02 20:16:40.003,,33.9,52.0,31.3,False,4.3,320.0
2026,4,Miami Grand Prix,Q,LEC,Ferrari,9.0,2.0,SOFT,12.0,125.19,38.936,44.342,41.912,170.0,163.0,,151.0,1,False,False,False,False,2026-05-02 20:18:08.941,,33.9,52.0,31.3,False,4.3,320.0
2026,4,Miami Grand Prix,Q,LEC,Ferrari,10.0,3.0,SOFT,1.0,,,46.465,31.124,184.0,138.0,260.0,245.0,12,True,False,False,False,2026-05-02 20:20:14.131,,33.8,53.1,32.1,False,3.3,319.0
2026,4,Miami Grand Prix,Q,LEC,Ferrari,11.0,3.0,SOFT,2.0,88.542,29.929,33.809,24.804,221.0,191.0,261.0,324.0,1,True,True,True,False,2026-05-02 20:31:44.224,,33.8,51.7,31.3,False,3.6,294.0
2026,4,Miami Grand Prix,Q,LEC,Ferrari,12.0,3.0,SOFT,3.0,117.87,41.928,39.459,36.483,178.0,166.0,,208.0,1,True,False,False,False,2026-05-02 20:33:12.766,,33.8,51.7,31.3,False,3.6,294.0
2026,4,Miami Grand Prix,Q,LEC,Ferrari,13.0,4.0,SOFT,1.0,,,40.299,31.932,181.0,160.0,259.0,246.0,1,True,False,False,False,2026-05-02 20:35:10.636,,33.9,51.9,31.0,False,5.3,291.0
2026,4,Miami Grand Prix,Q,LEC,Ferrari,14.0,4.0,SOFT,2.0,88.315,29.861,33.71,24.744,215.0,193.0,262.0,323.0,1,True,True,True,False,2026-05-02 20:42:13.666,,33.9,52.4,30.5,False,1.8,291.0
2026,4,Miami Grand Prix,Q,LEC,Ferrari,15.0,4.0,SOFT,3.0,126.99,39.673,43.401,43.916,170.0,144.0,,175.0,1,True,False,False,False,2026-05-02 20:43:41.981,,34.0,52.8,30.6,False,2.8,287.0
2026,4,Miami Grand Prix,Q,LEC,Ferrari,16.0,5.0,SOFT,1.0,,,46.602,33.484,194.0,68.0,260.0,226.0,12,True,False,False,False,2026-05-02 20:45:48.971,,34.0,52.8,30.6,False,2.8,287.0
2026,4,Miami Grand Prix,Q,LEC,Ferrari,17.0,5.0,SOFT,2.0,88.143,29.98,33.339,24.824,219.0,193.0,262.0,323.0,1,True,True,True,False,2026-05-02 20:54:59.681,,34.1,51.5,28.8,False,3.1,288.0
2026,4,Miami Grand Prix,Q,LEC,Ferrari,18.0,5.0,SOFT,3.0,119.088,37.668,40.368,41.052,185.0,162.0,,150.0,1,True,False,False,False,2026-05-02 20:56:27.824,,34.1,51.5,28.8,False,3.1,288.0
2026,4,Miami Grand Prix,Q,LEC,Ferrari,19.0,6.0,SOFT,1.0,,,45.262,30.326,191.0,144.0,260.0,252.0,1,True,False,False,False,2026-05-02 20:58:26.912,,34.0,52.1,28.9,False,2.7,290.0
2026,4,Miami Grand Prix,Q,LEC,Ferrari,20.0,6.0,SOFT,2.0,88.203,29.923000000000002,33.435,24.845,220.0,193.0,268.0,318.0,1,True,False,True,False,2026-05-02 21:03:08.183,,33.9,49.3,28.7,False,6.3,288.0
2026,4,Miami Grand Prix,Q,LEC,Ferrari,21.0,6.0,SOFT,3.0,,38.075,45.463,,173.0,147.0,,152.0,1,True,False,False,False,2026-05-02 21:04:36.386,,33.8,51.4,29.2,False,3.1,298.0
2026,4,Miami Grand Prix,Q,NOR,McLaren,1.0,1.0,SOFT,4.0,,,45.36,35.175,118.0,79.0,262.0,272.0,1,False,False,False,False,2026-05-02 20:02:01.513,,33.9,52.8,31.9,False,3.7,296.0
2026,4,Miami Grand Prix,Q,NOR,McLaren,2.0,1.0,SOFT,5.0,89.183,30.478,33.827,24.878,220.0,187.0,272.0,321.0,1,False,True,True,False,2026-05-02 20:03:59.227,,33.8,53.3,30.8,False,2.9,317.0
2026,4,Miami Grand Prix,Q,NOR,McLaren,3.0,1.0,SOFT,6.0,149.268,39.791,42.974,66.503,169.0,153.0,,152.0,1,False,False,False,False,2026-05-02 20:05:28.410,,34.1,54.2,30.5,False,4.6,290.0
2026,4,Miami Grand Prix,Q,NOR,McLaren,4.0,2.0,SOFT,7.0,,,43.488,29.671,161.0,154.0,267.0,256.0,1,False,False,False,False,2026-05-02 20:07:57.678,,33.9,52.5,30.5,False,4.9,299.0
2026,4,Miami Grand Prix,Q,NOR,McLaren,5.0,2.0,SOFT,8.0,89.809,30.352,34.236,25.221,219.0,185.0,274.0,309.0,1,False,False,True,False,2026-05-02 20:13:40.070,,33.9,52.0,30.8,False,4.2,289.0
2026,4,Miami Grand Prix,Q,NOR,McLaren,6.0,2.0,SOFT,9.0,145.625,45.773,42.023,57.829,157.0,141.0,,94.0,1,False,False,False,False,2026-05-02 20:15:09.879,,33.8,52.3,30.8,False,3.5,296.0
2026,4,Miami Grand Prix,Q,NOR,McLaren,7.0,3.0,SOFT,1.0,,,46.449,30.497,162.0,116.0,265.0,272.0,12,True,False,False,False,2026-05-02 20:17:35.504,,33.9,52.0,31.3,False,4.3,320.0
2026,4,Miami Grand Prix,Q,NOR,McLaren,8.0,3.0,SOFT,2.0,100.95,30.624,35.081,35.245,219.0,173.0,,268.0,1,True,False,False,False,2026-05-02 20:32:16.121,,33.8,51.7,31.3,False,3.6,294.0
2026,4,Miami Grand Prix,Q,NOR,McLaren,9.0,4.0,SOFT,1.0,,,41.435,31.489,170.0,134.0,266.0,266.0,1,True,False,False,False,2026-05-02 20:33:57.071,,33.9,51.9,31.0,False,5.3,291.0
2026,4,Miami Grand Prix,Q,NOR,McLaren,10.0,4.0,SOFT,2.0,89.04,30.053,33.796,25.191,221.0,187.0,270.0,310.0,1,True,True,True,False,2026-05-02 20:37:18.365,,33.9,51.9,31.0,False,5.3,291.0
2026,4,Miami Grand Prix,Q,NOR,McLaren,11.0,4.0,SOFT,3.0,124.485,47.045,42.581,34.859,169.0,140.0,131.0,220.0,1,True,False,True,False,2026-05-02 20:38:47.405,,33.9,52.4,30.5,False,1.8,291.0
2026,4,Miami Grand Prix,Q,NOR,McLaren,12.0,4.0,SOFT,4.0,127.721,48.065,46.963,32.693,165.0,162.0,266.0,177.0,1,True,False,True,False,2026-05-02 20:40:51.890,,33.9,52.4,30.5,False,1.8,291.0
2026,4,Miami Grand Prix,Q,NOR,McLaren,13.0,4.0,SOFT,5.0,88.92,30.262,33.707,24.951,218.0,192.0,266.0,319.0,1,True,True,True,False,2026-05-02 20:42:59.611,,34.0,52.6,30.3,False,3.0,295.0
2026,4,Miami Grand Prix,Q,NOR,McLaren,14.0,4.0,SOFT,6.0,117.237,38.401,40.856,37.98,186.0,162.0,,182.0,1,True,False,False,False,2026-05-02 20:44:28.531,,34.0,52.8,30.6,False,2.8,287.0
2026,4,Miami Grand Prix,Q,NOR,McLaren,15.0,5.0,SOFT,1.0,,,43.764,30.848,148.0,128.0,266.0,270.0,12,True,False,False,False,2026-05-02 20:46:25.768,,34.0,52.8,30.6,False,2.8,287.0
2026,4,Miami Grand Prix,Q,NOR,McLaren,16.0,5.0,SOFT,2.0,88.183,30.111,33.258,24.814,220.0,192.0,268.0,313.0,1,True,True,True,False,2026-05-02 20:54:31.113,,34.1,50.8,29.6,False,3.9,295.0
2026,4,Miami Grand Prix,Q,NOR,McLaren,17.0,5.0,SOFT,3.0,118.039,37.512,41.429,39.098,187.0,164.0,,175.0,1,True,False,False,False,2026-05-02 20:55:59.296,,34.1,51.5,28.8,False,3.1,288.0
2026,4,Miami Grand Prix,Q,NOR,McLaren,18.0,6.0,SOFT,1.0,,,42.995,29.161,150.0,139.0,264.0,284.0,1,True,False,False,False,2026-05-02 20:57:57.335,,34.0,52.1,28.9,False,2.7,290.0
2026,4,Miami Grand Prix,Q,NOR,McLaren,19.0,6.0,SOFT,2.0,88.527,30.12,33.435,24.972,221.0,193.0,269.0,317.0,1,True,False,True,False,2026-05-02 21:02:57.060,,33.9,49.3,28.7,False,6.3,288.0
2026,4,Miami Grand Prix,Q,NOR,McLaren,20.0,6.0,SOFT,3.0,,37.931,44.126,,171.0,150.0,,180.0,1,True,False,False,False,2026-05-02 21:04:25.587,,33.7,50.7,29.5,False,4.5,300.0
2026,4,Miami Grand Prix,Q,RUS,Mercedes,1.0,1.0,SOFT,4.0,,,43.983,31.013,198.0,121.0,262.0,270.0,1,False,False,False,False,2026-05-02 20:04:28.600,,33.8,53.3,30.8,False,2.9,317.0
2026,4,Miami Grand Prix,Q,RUS,Mercedes,2.0,1.0,SOFT,5.0,90.076,30.673000000000002,34.265,25.138,220.0,192.0,264.0,317.0,1,False,True,True,False,2026-05-02 20:06:25.796,,34.1,52.5,30.3,False,5.6,296.0
2026,4,Miami Grand Prix,Q,RUS,Mercedes,3.0,1.0,SOFT,6.0,121.583,37.938,45.335,38.31,154.0,149.0,,231.0,1,False,False,False,False,2026-05-02 20:07:55.872,,33.9,52.5,30.5,False,4.9,299.0
