season,round,event_name,session_code,driver,team,stint,compound,lap_count,mean_lap_time_s,degradation_per_lap_s,degradation_index,start_tyre_life,end_tyre_life
2026,4,Miami Grand Prix,Q,ALB,Williams,1.0,SOFT,2,104.4265,3.9750000000000085,0.0,2,3
2026,4,Miami Grand Prix,Q,ALB,Williams,2.0,SOFT,3,111.18599999999999,0.0,-0.5,1,3
2026,4,Miami Grand Prix,Q,ALB,Williams,3.0,SOFT,2,102.9545,10.0,0.0,2,3
2026,4,Miami Grand Prix,Q,ALB,Williams,4.0,SOFT,2,102.64750000000001,10.0,0.0,2,3
2026,4,Miami Grand Prix,Q,ALB,Williams,5.0,SOFT,1,89.946,0.0,0.0,2,2
2026,4,Miami Grand Prix,Q,ALO,Aston Martin,1.0,SOFT,2,103.2145,10.0,0.0,2,3
2026,4,Miami Grand Prix,Q,ALO,Aston Martin,2.0,SOFT,2,101.7795,10.0,0.0,2,3
2026,4,Miami Grand Prix,Q,ALO,Aston Martin,3.0,SOFT,1,98.137,0.0,0.0,2,2
2026,4,Miami Grand Prix,Q,ANT,Mercedes,1.0,SOFT,2,106.91499999999999,10.0,0.0,5,6
2026,4,Miami Grand Prix,Q,ANT,Mercedes,2.0,SOFT,2,103.02950000000001,10.0,0.0,2,3
2026,4,Miami Grand Prix,Q,ANT,Mercedes,3.0,SOFT,2,99.11,10.0,0.0,2,3
2026,4,Miami Grand Prix,Q,ANT,Mercedes,4.0,SOFT,2,122.13050000000001,10.0,0.0,2,3
2026,4,Miami Grand Prix,Q,ANT,Mercedes,5.0,SOFT,2,98.3845,10.0,0.0,2,3
2026,4,Miami Grand Prix,Q,BEA,Haas F1 Team,1.0,SOFT,2,102.8535,10.0,0.0,2,3
2026,4,Miami Grand Prix,Q,BEA,Haas F1 Team,2.0,SOFT,2,103.2635,10.0,0.0,2,3
2026,4,Miami Grand Prix,Q,BEA,Haas F1 Team,3.0,SOFT,2,104.918,10.0,0.0,2,3
2026,4,Miami Grand Prix,Q,BEA,Haas F1 Team,4.0,SOFT,2,106.2415,10.0,0.0,2,3
2026,4,Miami Grand Prix,Q,BOR,Audi,1.0,SOFT,1,93.737,0.0,0.0,2,2
2026,4,Miami Grand Prix,Q,BOT,Cadillac,1.0,SOFT,1,92.698,0.0,0.0,2,2
2026,4,Miami Grand Prix,Q,BOT,Cadillac,2.0,SOFT,2,102.3805,10.0,0.0,2,3
2026,4,Miami Grand Prix,Q,BOT,Cadillac,3.0,SOFT,2,109.6395,10.0,0.0,2,3
2026,4,Miami Grand Prix,Q,COL,Alpine,1.0,SOFT,1,97.067,0.0,0.0,10,10
2026,4,Miami Grand Prix,Q,COL,Alpine,2.0,SOFT,5,112.7056,4.2152499999999975,-0.09999999999999999,2,6
2026,4,Miami Grand Prix,Q,COL,Alpine,3.0,SOFT,2,104.24549999999999,10.0,0.0,2,3
2026,4,Miami Grand Prix,Q,COL,Alpine,4.0,SOFT,2,106.22550000000001,10.0,0.0,2,3
2026,4,Miami Grand Prix,Q,COL,Alpine,5.0,SOFT,2,100.41550000000001,10.0,0.0,2,3
2026,4,Miami Grand Prix,Q,GAS,Alpine,1.0,SOFT,1,103.256,0.0,0.0,11,11
2026,4,Miami Grand Prix,Q,GAS,Alpine,2.0,SOFT,5,113.0056,4.25,0.19999999999999998,2,6
2026,4,Miami Grand Prix,Q,GAS,Alpine,3.0,SOFT,2,107.789,10.0,0.0,2,3
2026,4,Miami Grand Prix,Q,GAS,Alpine,4.0,SOFT,2,109.261,10.0,0.0,2,3
2026,4,Miami Grand Prix,Q,GAS,Alpine,5.0,SOFT,2,105.99799999999999,10.0,0.0,2,3
2026,4,Miami Grand Prix,Q,GAS,Alpine,6.0,SOFT,1,88.81,0.0,0.0,2,2
2026,4,Miami Grand Prix,Q,HAD,Red Bull Racing,1.0,SOFT,2,102.001,10.0,0.0,5,6
2026,4,Miami Grand Prix,Q,HAD,Red Bull Racing,2.0,SOFT,5,106.1096,2.337500000000002,-0.19999999999999998,2,6
2026,4,Miami Grand Prix,Q,HAD,Red Bull Racing,3.0,SOFT,1,88.941,0.0,0.0,2,2
2026,4,Miami Grand Prix,Q,HAD,Red Bull Racing,4.0,SOFT,2,103.084,10.0,0.0,5,6
