Driver,LapNumber,LapTime,Compound,TyreLife,Team
ALB,30.0,0 days 00:01:33.784000,HARD,3.0,Williams
ALO,45.0,0 days 00:01:34.594000,SOFT,4.0,Aston Martin
ANT,34.0,0 days 00:01:31.968000,HARD,8.0,Mercedes
BEA,28.0,0 days 00:01:33.744000,HARD,2.0,Haas F1 Team
BOR,55.0,0 days 00:01:33.500000,HARD,23.0,Audi
BOT,16.0,0 days 00:01:36.080000,SOFT,10.0,Cadillac
COL,33.0,0 days 00:01:33.035000,HARD,2.0,Alpine
GAS,4.0,0 days 00:01:34.856000,MEDIUM,4.0,Alpine
HAD,4.0,0 days 00:01:34.833000,HARD,4.0,Red Bull Racing
HAM,29.0,0 days 00:01:32.676000,HARD,2.0,Ferrari
HUL,4.0,0 days 00:01:34.523000,MEDIUM,3.0,Audi
LAW,3.0,0 days 00:01:34.814000,MEDIUM,3.0,Racing Bulls
LEC,44.0,0 days 00:01:32.515000,HARD,23.0,Ferrari
LIN,30.0,0 days 00:01:34.058000,HARD,2.0,Racing Bulls
NOR,35.0,0 days 00:01:31.869000,HARD,8.0,McLaren
OCO,33.0,0 days 00:01:33.712000,HARD,2.0,Haas F1 Team
PER,31.0,0 days 00:01:34.895000,HARD,2.0,Cadillac
PIA,30.0,0 days 00:01:31.949000,HARD,2.0,McLaren
RUS,53.0,0 days 00:01:32.446000,HARD,33.0,Mercedes
SAI,30.0,0 days 00:01:33.026000,HARD,2.0,Williams
STR,56.0,0 days 00:01:34.716000,SOFT,19.0,Aston Martin
VER,24.0,0 days 00:01:33.110000,HARD,18.0,Red Bull Racing
