season,round,event_name,session_code,driver,team,lap_number,stint,compound,tyre_life,lap_time_s,sector_1_s,sector_2_s,sector_3_s,speed_i1,speed_i2,speed_fl,speed_st,track_status,fresh_tyre,is_personal_best,is_accurate,deleted,lap_start_time,position,air_temp_c,track_temp_c,humidity_pct,rainfall,wind_speed_mps,wind_direction_deg
2026,4,Miami Grand Prix,R,NOR,McLaren,1.0,1.0,MEDIUM,1.0,98.115,,34.453,25.729,213.0,183.0,273.0,298.0,1,True,False,False,False,2026-05-03 17:04:02.494,3.0,25.7,34.9,76.2,False,1.5,162.0
2026,4,Miami Grand Prix,R,NOR,McLaren,2.0,1.0,MEDIUM,2.0,92.77,32.593,34.6,25.576999999999998,211.0,184.0,271.0,317.0,1,True,True,True,False,2026-05-03 17:05:40.853,3.0,25.8,34.7,75.9,False,0.6,33.0
2026,4,Miami Grand Prix,R,NOR,McLaren,3.0,1.0,MEDIUM,3.0,93.263,32.816,34.702,25.745,209.0,185.0,270.0,313.0,1,True,False,True,False,2026-05-03 17:07:13.623,3.0,25.9,35.3,75.9,False,1.1,30.0
2026,4,Miami Grand Prix,R,NOR,McLaren,4.0,1.0,MEDIUM,4.0,93.814,33.089,34.864,25.861,205.0,186.0,273.0,310.0,1,True,False,True,False,2026-05-03 17:08:46.886,3.0,26.0,35.5,76.3,False,1.5,76.0
2026,4,Miami Grand Prix,R,NOR,McLaren,5.0,1.0,MEDIUM,5.0,93.842,32.883,35.214,25.745,210.0,183.0,281.0,308.0,12,True,False,True,False,2026-05-03 17:10:20.700,3.0,25.8,35.4,76.0,False,0.0,0.0
2026,4,Miami Grand Prix,R,NOR,McLaren,6.0,1.0,MEDIUM,6.0,130.35,40.675,51.989,37.686,84.0,108.0,249.0,98.0,24,True,False,False,False,2026-05-03 17:11:54.542,2.0,25.8,35.3,75.9,False,0.6,92.0
2026,4,Miami Grand Prix,R,NOR,McLaren,7.0,1.0,MEDIUM,7.0,137.842,41.553,54.69,41.599,119.0,108.0,192.0,132.0,4,True,False,False,False,2026-05-03 17:14:04.892,2.0,25.7,35.2,76.4,False,0.7,144.0
2026,4,Miami Grand Prix,R,NOR,McLaren,8.0,1.0,MEDIUM,8.0,142.399,50.043,54.546,37.81,108.0,97.0,240.0,110.0,4,True,False,False,False,2026-05-03 17:16:22.734,2.0,26.0,33.8,73.4,False,3.0,151.0
2026,4,Miami Grand Prix,R,NOR,McLaren,9.0,1.0,MEDIUM,9.0,147.626,48.536,55.467,43.623,138.0,84.0,228.0,156.0,4,True,False,False,False,2026-05-03 17:18:45.133,2.0,26.0,34.9,75.1,False,0.6,166.0
2026,4,Miami Grand Prix,R,NOR,McLaren,10.0,1.0,MEDIUM,10.0,139.119,48.549,55.495,35.075,120.0,94.0,223.0,211.0,4,True,False,False,False,2026-05-03 17:21:12.759,2.0,26.1,35.5,74.6,False,0.6,149.0
2026,4,Miami Grand Prix,R,NOR,McLaren,11.0,1.0,MEDIUM,11.0,,47.831,47.757,55.27,134.0,125.0,276.0,63.0,41,True,False,False,False,2026-05-03 17:23:31.878,2.0,26.4,35.8,72.5,False,0.9,53.0
2026,4,Miami Grand Prix,R,NOR,McLaren,12.0,1.0,MEDIUM,12.0,92.556,32.418,34.694,25.444,213.0,189.0,281.0,310.0,1,True,True,True,False,2026-05-03 17:26:02.705,2.0,26.5,35.8,72.6,False,0.3,26.0
