Time,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindDirection,WindSpeed
0 days 00:00:07.716000,25.7,34.9,76.2,1016.2,False,162,1.5
0 days 00:01:07.703000,25.7,35.0,76.4,1016.2,False,95,0.7
0 days 00:02:07.712000,25.8,34.7,75.9,1016.2,False,33,0.6
0 days 00:03:07.706000,25.9,35.3,75.9,1016.2,False,30,1.1
0 days 00:04:07.716000,25.9,35.2,76.7,1016.2,False,79,0.8
0 days 00:05:07.716000,26.0,35.5,76.3,1016.1,False,76,1.5
0 days 00:06:07.725000,25.8,35.4,76.0,1016.2,False,0,0.0
0 days 00:07:07.707000,25.9,35.0,76.6,1016.2,False,139,1.4
0 days 00:08:07.719000,25.8,35.3,75.9,1016.2,False,92,0.6
0 days 00:09:07.713000,25.8,34.9,75.9,1016.1,False,57,0.9
0 days 00:10:07.717000,25.7,35.2,76.4,1016.1,False,144,0.7
0 days 00:11:07.722000,25.8,35.3,75.8,1016.2,False,150,0.6
0 days 00:12:07.718000,26.0,33.8,73.4,1016.1,False,151,3.0
0 days 00:13:07.723000,26.1,34.4,74.1,1016.1,False,155,2.4
0 days 00:14:07.713000,26.0,34.3,74.6,1016.1,False,162,1.4
0 days 00:15:07.725000,26.0,34.9,75.1,1016.1,False,166,0.6
0 days 00:16:07.716000,26.1,35.3,75.7,1016.0,False,128,0.9
0 days 00:17:07.728000,26.1,35.5,74.6,1016.0,False,149,0.6
0 days 00:18:07.714000,26.1,35.5,73.9,1016.0,False,134,1.7
0 days 00:19:07.741000,26.4,35.8,72.5,1016.0,False,53,0.9
0 days 00:20:07.723000,26.4,35.8,72.9,1016.0,False,44,0.4
0 days 00:21:07.717000,26.5,35.2,72.4,1016.0,False,42,0.5
0 days 00:22:07.731000,26.5,35.8,72.6,1016.0,False,26,0.3
0 days 00:23:07.733000,26.5,35.8,73.7,1016.0,False,141,0.4
0 days 00:24:07.726000,26.5,35.6,72.6,1015.9,False,125,2.7
0 days 00:25:07.733000,26.4,34.8,72.0,1015.9,False,117,2.5
0 days 00:26:07.734000,26.4,35.8,73.6,1015.9,False,141,1.1
0 days 00:27:07.735000,26.4,35.6,72.3,1015.8,False,145,1.1
0 days 00:28:07.729000,26.4,35.7,70.9,1015.8,False,78,0.6
0 days 00:29:07.735000,26.5,33.5,70.4,1015.8,False,152,3.2
0 days 00:30:07.726000,26.5,35.5,70.5,1015.8,False,139,1.0
0 days 00:31:07.735000,26.4,35.5,70.7,1015.8,False,134,2.1
0 days 00:32:07.742000,26.3,34.4,71.2,1015.8,False,166,1.5
0 days 00:33:07.738000,26.3,34.7,71.4,1015.8,False,161,0.7
0 days 00:34:07.739000,26.3,35.4,72.6,1015.8,False,121,0.9
0 days 00:35:07.728000,26.4,35.6,71.9,1015.9,False,161,0.9
0 days 00:36:07.728000,26.4,35.9,72.0,1016.0,False,92,0.8
0 days 00:37:07.743000,26.4,35.7,71.8,1015.9,False,85,1.4
0 days 00:38:07.756000,26.2,35.6,72.2,1015.9,False,72,0.8
0 days 00:39:07.751000,26.3,35.4,73.0,1015.8,False,15,1.0
0 days 00:40:07.757000,26.3,35.4,72.7,1015.9,False,135,0.6
0 days 00:41:07.757000,26.3,36.0,72.9,1015.8,False,57,0.8
0 days 00:42:07.757000,26.3,35.9,73.8,1015.7,False,165,0.9
0 days 00:43:07.774000,26.3,35.8,72.5,1015.8,False,145,1.5
0 days 00:44:07.792000,26.1,36.1,73.1,1015.7,False,0,0.0
0 days 00:45:07.794000,26.4,35.9,72.1,1015.8,False,114,1.0
0 days 00:46:07.811000,26.4,35.4,72.7,1015.8,False,75,1.1
0 days 00:47:07.806000,26.4,35.2,72.8,1015.9,False,271,0.5
0 days 00:48:07.809000,26.3,35.8,72.3,1015.8,False,0,0.0
0 days 00:49:07.814000,26.5,34.9,72.0,1015.9,False,269,1.5
0 days 00:50:07.845000,26.6,35.6,70.6,1015.9,False,299,1.5
0 days 00:51:07.848000,26.6,35.8,70.9,1015.9,False,279,1.6
0 days 00:52:07.851000,26.6,35.5,71.8,1015.8,False,310,0.8
0 days 00:53:07.876000,26.5,35.7,72.2,1015.9,False,41,0.4
0 days 00:54:07.872000,26.6,35.9,71.9,1015.9,False,69,0.5
0 days 00:55:07.872000,26.5,35.9,72.5,1015.9,False,0,0.0
0 days 00:56:07.880000,26.6,36.2,73.0,1015.9,False,268,0.6
0 days 00:57:07.877000,26.7,36.5,72.8,1015.9,False,18,0.6
0 days 00:58:07.873000,26.8,36.6,72.8,1015.9,False,264,1.1
0 days 00:59:07.890000,26.9,36.5,71.7,1016.0,False,356,0.3
0 days 01:00:07.900000,26.9,36.7,71.3,1015.8,False,93,0.5
0 days 01:01:07.878000,27.0,36.4,70.4,1015.9,False,0,0.0
0 days 01:02:07.874000,27.1,36.4,68.9,1015.8,False,273,2.0
0 days 01:03:07.892000,27.1,37.2,70.1,1015.8,False,335,1.7
0 days 01:04:07.886000,27.2,37.4,68.6,1015.9,False,301,1.0
0 days 01:05:07.883000,27.2,37.4,69.0,1016.0,False,296,1.8
0 days 01:06:07.888000,27.2,37.1,68.8,1016.0,False,295,0.6
0 days 01:07:07.889000,27.3,37.8,69.1,1015.9,False,239,0.8
0 days 01:08:07.893000,27.4,38.3,69.1,1015.8,False,85,0.5
0 days 01:09:07.892000,27.4,37.6,69.7,1015.9,False,215,0.5
0 days 01:10:08.066000,27.4,37.9,69.1,1016.0,False,14,0.7
0 days 01:11:08.058000,27.4,38.1,68.5,1015.9,False,253,0.6
0 days 01:12:08.075000,27.2,38.0,68.6,1016.0,False,0,0.0
0 days 01:13:08.064000,27.1,39.4,68.6,1016.0,False,221,0.5
0 days 01:14:08.066000,27.2,40.7,69.0,1016.0,False,291,1.8
0 days 01:15:08.066000,27.3,40.8,68.3,1015.9,False,161,0.5
0 days 01:16:08.073000,27.5,40.9,68.7,1015.9,False,177,0.5
0 days 01:17:08.084000,27.5,42.3,69.5,1015.9,False,119,0.5
0 days 01:18:08.083000,27.5,42.2,69.4,1015.8,False,184,1.1
0 days 01:19:08.096000,27.5,42.0,69.6,1015.8,False,359,1.5
0 days 01:20:08.118000,27.7,41.7,69.6,1015.8,False,121,0.5
0 days 01:21:08.125000,27.8,41.0,67.9,1015.9,False,86,1.2
0 days 01:22:08.155000,27.8,40.9,67.2,1015.8,False,317,3.9
0 days 01:23:08.148000,27.8,41.8,67.5,1015.8,False,74,2.0
0 days 01:24:08.155000,27.8,41.1,67.4,1015.8,False,158,0.5
0 days 01:25:08.159000,27.8,41.2,66.5,1015.8,False,318,2.5
0 days 01:26:08.139000,27.9,40.9,67.2,1015.7,False,285,1.1
0 days 01:27:08.151000,27.9,40.0,68.1,1015.8,False,275,1.2
0 days 01:28:08.157000,27.9,38.6,67.1,1015.8,False,278,0.7
0 days 01:29:08.160000,27.9,39.3,67.5,1015.7,False,59,1.1
0 days 01:30:08.144000,27.9,38.6,68.5,1015.7,False,0,0.0
0 days 01:31:08.160000,27.9,38.7,68.8,1015.8,False,269,1.3
0 days 01:32:08.159000,27.9,38.4,67.6,1015.8,False,314,0.9
0 days 01:33:08.175000,27.8,37.4,67.8,1015.8,False,177,1.2
