Driver,LapNumber,LapTime,Compound,TyreLife,Team
ALB,18.0,0 days 00:01:33.473000,MEDIUM,11.0,Williams
ALO,11.0,0 days 00:01:34.720000,SOFT,11.0,Aston Martin
ANT,11.0,0 days 00:01:31.932000,MEDIUM,11.0,Mercedes
BEA,6.0,0 days 00:01:34.524000,MEDIUM,9.0,Haas F1 Team
BOR,8.0,0 days 00:01:34.174000,MEDIUM,14.0,Audi
BOT,10.0,0 days 00:01:35.856000,HARD,10.0,Cadillac
COL,6.0,0 days 00:01:33.139000,MEDIUM,6.0,Alpine
GAS,10.0,0 days 00:01:33.072000,MEDIUM,10.0,Alpine
HAD,11.0,0 days 00:01:33.195000,MEDIUM,17.0,Red Bull Racing
HAM,6.0,0 days 00:01:32.448000,MEDIUM,6.0,Ferrari
LAW,10.0,0 days 00:01:34.204000,MEDIUM,10.0,Racing Bulls
LEC,11.0,0 days 00:01:31.964000,MEDIUM,11.0,Ferrari
NOR,10.0,0 days 00:01:31.885000,MEDIUM,10.0,McLaren
OCO,6.0,0 days 00:01:34.409000,MEDIUM,9.0,Haas F1 Team
PER,6.0,0 days 00:01:35.015000,HARD,6.0,Cadillac
PIA,16.0,0 days 00:01:32.079000,MEDIUM,16.0,McLaren
RUS,10.0,0 days 00:01:32.387000,MEDIUM,10.0,Mercedes
SAI,5.0,0 days 00:01:34.008000,MEDIUM,11.0,Williams
STR,10.0,0 days 00:01:35.009000,SOFT,10.0,Aston Martin
VER,19.0,0 days 00:01:32.201000,MEDIUM,22.0,Red Bull Racing
