Driver,LapNumber,LapTime,Compound,TyreLife,Team
ALB,8.0,0 days 00:01:30.216000,MEDIUM,2.0,Williams
ALO,2.0,0 days 00:01:41.311000,MEDIUM,2.0,Aston Martin
ANT,13.0,0 days 00:01:28.091000,SOFT,2.0,Mercedes
BEA,8.0,0 days 00:01:30.116000,MEDIUM,2.0,Haas F1 Team
BOR,8.0,0 days 00:01:29.994000,MEDIUM,2.0,Audi
BOT,5.0,0 days 00:01:31.826000,MEDIUM,5.0,Cadillac
COL,14.0,0 days 00:01:29.320000,SOFT,7.0,Alpine
GAS,14.0,0 days 00:01:29.474000,SOFT,8.0,Alpine
HAD,14.0,0 days 00:01:29.422000,SOFT,2.0,Red Bull Racing
HAM,14.0,0 days 00:01:28.618000,SOFT,2.0,Ferrari
HUL,8.0,0 days 00:01:30.019000,MEDIUM,2.0,Audi
LAW,4.0,0 days 00:01:31.043000,MEDIUM,3.0,Racing Bulls
LEC,14.0,0 days 00:01:28.239000,SOFT,2.0,Ferrari
LIN,8.0,0 days 00:01:30.573000,MEDIUM,2.0,Racing Bulls
NOR,14.0,0 days 00:01:27.869000,SOFT,2.0,McLaren
OCO,5.0,0 days 00:01:31.245000,MEDIUM,5.0,Haas F1 Team
PER,2.0,0 days 00:01:31.255000,MEDIUM,2.0,Cadillac
PIA,10.0,0 days 00:01:28.108000,SOFT,2.0,McLaren
RUS,14.0,0 days 00:01:28.493000,SOFT,2.0,Mercedes
SAI,8.0,0 days 00:01:30.224000,MEDIUM,2.0,Williams
STR,2.0,0 days 00:02:09.082000,MEDIUM,2.0,Aston Martin
VER,11.0,0 days 00:01:28.461000,SOFT,2.0,Red Bull Racing
