Time,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindDirection,WindSpeed
0 days 00:00:18.570000,30.7,54.8,52.9,1010.3,False,110,4.9
0 days 00:01:18.570000,30.7,54.2,53.4,1010.4,False,98,2.1
0 days 00:02:18.601000,30.7,51.4,51.7,1010.4,False,114,4.0
0 days 00:03:18.610000,30.8,53.3,52.5,1010.4,False,106,3.6
0 days 00:04:18.613000,30.7,52.7,52.6,1010.3,False,104,4.9
0 days 00:05:18.632000,30.6,53.6,53.1,1010.4,False,98,3.3
0 days 00:06:18.632000,30.6,53.4,52.8,1010.3,False,106,3.7
0 days 00:07:18.625000,30.5,53.9,52.7,1010.4,False,111,3.6
0 days 00:08:18.648000,30.6,52.1,53.2,1010.4,False,102,3.7
0 days 00:09:18.661000,30.7,52.4,53.3,1010.3,False,114,4.3
0 days 00:10:18.667000,30.7,53.1,52.9,1010.3,False,99,3.7
0 days 00:11:18.666000,30.7,53.7,53.2,1010.3,False,109,2.4
0 days 00:12:18.666000,30.7,53.6,53.1,1010.2,False,108,3.5
0 days 00:13:18.675000,30.7,52.2,52.5,1010.3,False,121,3.0
0 days 00:14:18.671000,30.8,53.4,52.2,1010.3,False,121,1.9
0 days 00:15:18.673000,30.7,52.0,52.4,1010.2,False,104,2.7
0 days 00:16:18.717000,30.5,52.8,52.3,1010.2,False,113,1.2
0 days 00:17:18.669000,30.5,53.3,52.1,1010.3,False,117,3.2
0 days 00:18:18.676000,30.6,53.8,52.6,1010.3,False,116,1.6
0 days 00:19:18.678000,30.7,53.8,52.1,1010.3,False,109,4.1
0 days 00:20:18.677000,30.8,53.8,51.8,1010.3,False,97,3.4
0 days 00:21:18.672000,30.8,53.0,52.9,1010.2,False,106,3.2
0 days 00:22:18.675000,30.7,53.0,52.9,1010.3,False,59,1.1
0 days 00:23:18.678000,30.7,52.9,52.4,1010.1,False,51,0.4
0 days 00:24:18.678000,30.7,54.0,52.4,1010.3,False,94,1.6
0 days 00:25:18.681000,30.7,53.8,52.1,1010.2,False,122,1.9
0 days 00:26:18.679000,30.6,53.8,52.5,1010.3,False,150,1.0
0 days 00:27:18.677000,30.7,53.4,51.9,1010.2,False,106,1.9
0 days 00:28:18.674000,30.6,53.9,52.0,1010.1,False,119,1.3
0 days 00:29:18.686000,30.7,53.8,52.5,1010.3,False,101,1.3
0 days 00:30:18.683000,30.7,53.8,52.1,1010.1,False,113,4.9
0 days 00:31:18.682000,30.7,53.3,52.3,1010.1,False,116,3.6
0 days 00:32:18.682000,30.5,52.8,53.3,1010.1,False,116,3.0
0 days 00:33:18.672000,30.4,52.1,53.3,1010.2,False,120,3.3
0 days 00:34:18.682000,30.5,52.5,53.3,1010.2,False,97,4.3
0 days 00:35:18.682000,30.7,52.3,52.9,1010.3,False,88,1.8
0 days 00:36:18.687000,31.0,51.3,52.7,1010.2,False,110,2.7
0 days 00:37:18.683000,31.0,51.8,52.6,1010.2,False,90,2.6
0 days 00:38:18.683000,30.8,51.9,53.1,1010.2,False,109,3.2
0 days 00:39:18.692000,30.8,52.2,52.5,1010.3,False,113,3.4
0 days 00:40:18.686000,30.7,51.8,52.8,1010.3,False,111,3.2
0 days 00:41:18.687000,30.6,51.4,53.4,1010.3,False,107,3.2
0 days 00:42:18.688000,30.6,52.0,54.1,1010.1,False,103,3.8
0 days 00:43:18.691000,30.6,51.2,54.0,1010.2,False,105,4.6
0 days 00:44:18.686000,30.5,49.9,54.3,1010.2,False,130,2.0
0 days 00:45:18.686000,30.4,51.0,53.8,1010.2,False,146,2.4
0 days 00:46:18.687000,30.4,50.8,54.0,1010.1,False,99,3.3
0 days 00:47:18.696000,30.3,51.0,54.1,1010.2,False,117,2.4
0 days 00:48:18.687000,30.2,49.6,55.0,1010.2,False,115,3.6
0 days 00:49:18.689000,30.2,49.1,55.4,1010.1,False,109,4.3
0 days 00:50:18.699000,30.1,49.8,55.2,1010.0,False,115,5.6
0 days 00:51:18.688000,30.0,49.5,54.8,1010.1,False,111,4.4
0 days 00:52:18.694000,30.1,49.4,54.9,1010.2,False,119,4.4
0 days 00:53:18.692000,30.1,49.6,55.7,1010.0,False,107,4.0
0 days 00:54:18.708000,30.2,50.6,55.9,1010.1,False,97,3.3
0 days 00:55:18.689000,30.2,50.7,55.8,1010.1,False,120,1.1
0 days 00:56:18.691000,30.3,51.3,54.9,1010.0,False,57,1.2
0 days 00:57:18.704000,30.5,51.2,53.3,1009.9,False,89,1.8
0 days 00:58:18.705000,30.6,51.3,53.6,1010.0,False,112,2.8
