season,round,event_name,session_code,driver,team,lap_number,stint,compound,tyre_life,lap_time_s,sector_1_s,sector_2_s,sector_3_s,speed_i1,speed_i2,speed_fl,speed_st,track_status,fresh_tyre,is_personal_best,is_accurate,deleted,lap_start_time,position,air_temp_c,track_temp_c,humidity_pct,rainfall,wind_speed_mps,wind_direction_deg
2026,5,Canadian Grand Prix,Q,RUS,Mercedes,1.0,1.0,SOFT,7.0,105.912,39.359,31.169,35.384,230.0,153.0,248.0,265.0,1,False,False,False,False,2026-05-23 20:01:43.263,,21.3,31.5,24.5,False,1.5,183.0
2026,5,Canadian Grand Prix,Q,RUS,Mercedes,2.0,1.0,SOFT,8.0,93.31,23.139,29.158,41.013,234.0,237.0,273.0,185.0,1,False,True,True,False,2026-05-23 20:03:22.651,,21.3,31.3,23.7,False,1.7,187.0
2026,5,Canadian Grand Prix,Q,RUS,Mercedes,3.0,1.0,SOFT,9.0,74.438,21.329,23.568,29.541,248.0,288.0,273.0,319.0,1,False,True,True,False,2026-05-23 20:04:55.961,,21.0,31.4,23.9,False,0.8,196.0
2026,5,Canadian Grand Prix,Q,RUS,Mercedes,4.0,1.0,SOFT,10.0,89.339,26.455,26.755,36.129,231.0,250.0,272.0,254.0,1,False,False,True,False,2026-05-23 20:06:10.399,,22.0,31.5,24.4,False,0.8,312.0
2026,5,Canadian Grand Prix,Q,RUS,Mercedes,5.0,1.0,SOFT,11.0,73.953,20.941,23.537,29.475,248.0,289.0,275.0,319.0,1,False,True,True,False,2026-05-23 20:07:39.738,,21.2,30.8,23.8,False,1.5,292.0
2026,5,Canadian Grand Prix,Q,RUS,Mercedes,6.0,1.0,SOFT,12.0,,23.859,26.817,,228.0,256.0,,279.0,12,False,False,False,False,2026-05-23 20:08:53.691,,21.2,30.8,23.9,False,1.2,304.0
2026,5,Canadian Grand Prix,Q,RUS,Mercedes,7.0,2.0,SOFT,1.0,108.186,45.331,26.769,36.086,231.0,235.0,253.0,241.0,1,True,False,False,False,2026-05-23 20:26:21.259,,21.3,30.6,24.1,False,2.2,191.0
2026,5,Canadian Grand Prix,Q,RUS,Mercedes,8.0,2.0,SOFT,2.0,88.607,23.178,27.09,38.339,234.0,223.0,275.0,194.0,1,True,True,True,False,2026-05-23 20:28:09.445,,21.4,30.8,23.5,False,0.7,121.0
2026,5,Canadian Grand Prix,Q,RUS,Mercedes,9.0,2.0,SOFT,3.0,73.611,20.956,23.411,29.244,247.0,288.0,276.0,318.0,1,True,True,True,False,2026-05-23 20:29:38.052,,21.2,30.9,25.6,False,0.9,334.0
2026,5,Canadian Grand Prix,Q,RUS,Mercedes,10.0,2.0,SOFT,4.0,,25.479,26.445,,229.0,247.0,,276.0,1,True,False,False,False,2026-05-23 20:30:51.663,,21.2,30.6,25.8,False,0.7,322.0
2026,5,Canadian Grand Prix,Q,RUS,Mercedes,11.0,3.0,SOFT,1.0,86.688,27.438,25.826,33.424,247.0,254.0,268.0,268.0,1,True,False,False,False,2026-05-23 20:33:40.945,,21.0,30.5,25.2,False,1.0,286.0
2026,5,Canadian Grand Prix,Q,RUS,Mercedes,12.0,3.0,SOFT,2.0,85.769,23.15,27.032,35.587,235.0,241.0,274.0,249.0,1,True,False,True,False,2026-05-23 20:35:07.633,,21.0,30.5,25.2,False,1.0,286.0
2026,5,Canadian Grand Prix,Q,RUS,Mercedes,13.0,3.0,SOFT,3.0,90.454,25.295,29.319,35.84,222.0,242.0,274.0,249.0,1,True,False,True,False,2026-05-23 20:36:33.402,,21.1,30.6,24.8,False,0.8,304.0
2026,5,Canadian Grand Prix,Q,RUS,Mercedes,14.0,3.0,SOFT,4.0,73.079,20.717,23.043,29.319,249.0,289.0,276.0,316.0,1,True,True,True,False,2026-05-23 20:38:03.856,,21.1,31.3,25.5,False,1.3,185.0
2026,5,Canadian Grand Prix,Q,RUS,Mercedes,15.0,3.0,SOFT,5.0,,26.077,26.407,,229.0,254.0,,277.0,1,True,False,False,False,2026-05-23 20:39:16.935,,21.1,31.3,25.5,False,1.3,185.0
2026,5,Canadian Grand Prix,Q,RUS,Mercedes,16.0,4.0,SOFT,1.0,87.589,28.133,25.879,33.577,232.0,235.0,242.0,263.0,1,True,False,False,False,2026-05-23 20:47:54.245,,21.3,30.7,24.8,False,0.4,115.0
2026,5,Canadian Grand Prix,Q,RUS,Mercedes,17.0,4.0,SOFT,2.0,97.739,25.012,29.419,43.308,235.0,238.0,274.0,244.0,1,True,True,True,False,2026-05-23 20:49:21.834,,21.3,31.0,24.7,False,1.7,319.0
2026,5,Canadian Grand Prix,Q,RUS,Mercedes,18.0,4.0,SOFT,3.0,,20.914,23.436,,248.0,287.0,,281.0,1,True,False,False,False,2026-05-23 20:50:59.573,,21.3,30.8,24.4,False,1.5,333.0
2026,5,Canadian Grand Prix,Q,RUS,Mercedes,19.0,5.0,SOFT,1.0,82.226,24.971,25.162,32.093,253.0,249.0,265.0,268.0,1,True,False,False,False,2026-05-23 20:53:36.280,,21.3,30.6,24.3,False,1.4,306.0
2026,5,Canadian Grand Prix,Q,RUS,Mercedes,20.0,5.0,SOFT,2.0,83.53,22.005,26.678,34.847,263.0,235.0,274.0,250.0,1,True,True,True,False,2026-05-23 20:54:58.506,,21.3,30.5,24.4,False,1.6,300.0
2026,5,Canadian Grand Prix,Q,RUS,Mercedes,21.0,5.0,SOFT,3.0,72.993,20.658,23.068,29.267,249.0,286.0,273.0,321.0,1,True,True,True,False,2026-05-23 20:56:22.036,,21.2,30.9,24.7,False,0.9,302.0
2026,5,Canadian Grand Prix,Q,RUS,Mercedes,22.0,5.0,SOFT,4.0,96.557,28.517,31.847,36.193,224.0,238.0,274.0,250.0,1,True,False,True,False,2026-05-23 20:57:35.029,,21.2,30.9,24.5,False,0.9,316.0
2026,5,Canadian Grand Prix,Q,RUS,Mercedes,23.0,5.0,SOFT,5.0,72.578,20.6,22.902,29.076,249.0,289.0,275.0,320.0,1,True,True,True,False,2026-05-23 20:59:11.586,,21.2,31.0,24.7,False,0.7,231.0
2026,5,Canadian Grand Prix,Q,RUS,Mercedes,24.0,5.0,SOFT,6.0,,26.755,33.246,,180.0,167.0,,250.0,1,True,False,False,False,2026-05-23 21:00:24.164,,21.2,30.4,24.2,False,1.4,213.0
2026,5,Canadian Grand Prix,Q,ANT,Mercedes,1.0,1.0,SOFT,6.0,104.913,42.706,28.343,33.864,226.0,265.0,269.0,272.0,1,False,False,False,False,2026-05-23 20:01:51.287,,21.3,31.5,24.5,False,1.5,183.0
2026,5,Canadian Grand Prix,Q,ANT,Mercedes,2.0,1.0,SOFT,7.0,94.575,22.983,26.922,44.67,238.0,213.0,273.0,129.0,1,False,True,True,False,2026-05-23 20:03:27.473,,21.3,31.3,23.7,False,1.7,187.0
2026,5,Canadian Grand Prix,Q,ANT,Mercedes,3.0,1.0,SOFT,8.0,74.228,21.129,23.647,29.452,244.0,287.0,274.0,316.0,1,False,True,True,False,2026-05-23 20:05:02.048,,21.0,31.4,23.9,False,0.8,196.0
2026,5,Canadian Grand Prix,Q,ANT,Mercedes,4.0,1.0,SOFT,9.0,98.057,24.453,28.925,44.679,227.0,240.0,271.0,207.0,1,False,False,True,False,2026-05-23 20:06:16.276,,22.0,31.5,24.4,False,0.8,312.0
2026,5,Canadian Grand Prix,Q,ANT,Mercedes,5.0,1.0,SOFT,10.0,73.38,20.974,23.19,29.216,249.0,290.0,276.0,322.0,1,False,True,True,False,2026-05-23 20:07:54.333,,21.2,30.8,23.8,False,1.5,292.0
2026,5,Canadian Grand Prix,Q,ANT,Mercedes,6.0,1.0,SOFT,11.0,,23.117,25.383,,233.0,260.0,,274.0,12,False,False,False,False,2026-05-23 20:09:07.713,,21.2,30.8,23.9,False,1.2,304.0
2026,5,Canadian Grand Prix,Q,ANT,Mercedes,7.0,2.0,SOFT,1.0,103.99,45.032,25.953,33.005,238.0,274.0,174.0,286.0,1,True,False,False,False,2026-05-23 20:26:34.776,,21.3,30.7,23.5,False,0.5,199.0
2026,5,Canadian Grand Prix,Q,ANT,Mercedes,8.0,2.0,SOFT,2.0,88.165,26.783,26.416,34.966,238.0,241.0,280.0,253.0,1,True,True,True,False,2026-05-23 20:28:18.766,,21.4,30.8,23.5,False,0.7,121.0
2026,5,Canadian Grand Prix,Q,ANT,Mercedes,9.0,2.0,SOFT,3.0,73.076,20.661,23.235,29.18,246.0,289.0,276.0,319.0,1,True,True,True,False,2026-05-23 20:29:46.931,,21.2,30.9,25.6,False,0.9,334.0
2026,5,Canadian Grand Prix,Q,ANT,Mercedes,10.0,2.0,SOFT,4.0,,24.543,25.772,,232.0,249.0,,282.0,1,True,False,False,False,2026-05-23 20:31:00.007,,21.2,30.6,25.8,False,0.7,322.0
2026,5,Canadian Grand Prix,Q,ANT,Mercedes,11.0,3.0,SOFT,1.0,89.285,30.591,25.474,33.22,249.0,276.0,284.0,209.0,1,True,False,False,False,2026-05-23 20:33:46.118,,21.0,30.5,25.2,False,1.0,286.0
2026,5,Canadian Grand Prix,Q,ANT,Mercedes,12.0,3.0,SOFT,2.0,84.881,22.388,26.791,35.702,230.0,242.0,276.0,246.0,1,True,False,True,False,2026-05-23 20:35:15.403,,21.0,30.5,25.2,False,1.0,286.0
2026,5,Canadian Grand Prix,Q,ANT,Mercedes,13.0,3.0,SOFT,3.0,73.214,20.714,23.236,29.264,248.0,289.0,274.0,317.0,1,True,False,True,False,2026-05-23 20:36:40.284,,21.1,30.6,24.8,False,0.8,304.0
2026,5,Canadian Grand Prix,Q,ANT,Mercedes,14.0,3.0,SOFT,4.0,108.016,24.9,32.065,51.051,204.0,255.0,263.0,159.0,1,True,False,True,False,2026-05-23 20:37:53.498,,21.1,31.3,25.5,False,1.3,185.0
2026,5,Canadian Grand Prix,Q,ANT,Mercedes,15.0,3.0,SOFT,5.0,73.18,20.98,23.203,28.997,250.0,289.0,276.0,323.0,1,True,False,True,False,2026-05-23 20:39:41.514,,21.2,31.2,25.1,False,1.2,181.0
2026,5,Canadian Grand Prix,Q,ANT,Mercedes,16.0,3.0,SOFT,6.0,,23.832,27.124,,220.0,236.0,,236.0,1,True,False,False,False,2026-05-23 20:40:54.694,,21.2,31.1,24.0,False,0.6,166.0
2026,5,Canadian Grand Prix,Q,ANT,Mercedes,17.0,4.0,SOFT,1.0,90.985,33.094,25.554,32.337,246.0,275.0,277.0,283.0,1,True,False,False,False,2026-05-23 20:47:57.887,,21.3,30.7,24.8,False,0.4,115.0
2026,5,Canadian Grand Prix,Q,ANT,Mercedes,18.0,4.0,SOFT,2.0,97.017,23.494,29.658,43.865,238.0,234.0,275.0,192.0,1,True,True,True,False,2026-05-23 20:49:28.872,,21.3,31.0,24.7,False,1.7,319.0
2026,5,Canadian Grand Prix,Q,ANT,Mercedes,19.0,4.0,SOFT,3.0,73.088,20.994,23.175,28.919,248.0,288.0,275.0,322.0,1,True,True,True,False,2026-05-23 20:51:05.889,,21.3,30.8,24.4,False,1.5,333.0
2026,5,Canadian Grand Prix,Q,ANT,Mercedes,20.0,4.0,SOFT,4.0,,22.82,25.186,,233.0,259.0,,280.0,1,True,False,False,False,2026-05-23 20:52:18.977,,21.3,30.4,24.8,False,2.2,320.0
2026,5,Canadian Grand Prix,Q,ANT,Mercedes,21.0,5.0,SOFT,1.0,93.209,33.976,25.43,33.803,247.0,276.0,276.0,293.0,1,True,False,False,False,2026-05-23 20:55:08.324,,21.3,30.5,24.4,False,1.6,300.0
2026,5,Canadian Grand Prix,Q,ANT,Mercedes,22.0,5.0,SOFT,2.0,88.194,24.061,27.693,36.44,238.0,239.0,279.0,248.0,1,True,False,True,False,2026-05-23 20:56:41.533,,21.2,30.7,24.7,False,0.9,315.0
2026,5,Canadian Grand Prix,Q,ANT,Mercedes,23.0,5.0,SOFT,3.0,72.646,20.547,23.061,29.038,248.0,288.0,274.0,319.0,1,True,True,True,False,2026-05-23 20:58:09.727,,21.2,30.9,24.5,False,0.9,316.0
2026,5,Canadian Grand Prix,Q,ANT,Mercedes,24.0,5.0,SOFT,4.0,108.315,23.395,27.259,57.661,247.0,200.0,,185.0,1,True,False,False,False,2026-05-23 20:59:22.373,,21.2,31.0,24.7,False,0.7,231.0
2026,5,Canadian Grand Prix,Q,NOR,McLaren,1.0,1.0,SOFT,6.0,101.383,35.086,26.222,40.075,226.0,264.0,263.0,230.0,1,False,False,False,False,2026-05-23 20:01:11.988,,21.3,31.7,24.7,False,2.5,184.0
2026,5,Canadian Grand Prix,Q,NOR,McLaren,2.0,1.0,SOFT,7.0,88.577,23.299,26.051,39.227,230.0,247.0,265.0,270.0,1,False,True,True,False,2026-05-23 20:02:49.413,,21.3,31.3,23.7,False,1.7,187.0
2026,5,Canadian Grand Prix,Q,NOR,McLaren,3.0,1.0,SOFT,8.0,74.213,21.209,23.43,29.574,250.0,287.0,271.0,314.0,1,False,True,True,False,2026-05-23 20:04:17.990,,21.2,31.4,23.9,False,0.8,196.0
2026,5,Canadian Grand Prix,Q,NOR,McLaren,4.0,1.0,SOFT,9.0,,26.886,27.413,,233.0,225.0,,216.0,1,False,False,False,False,2026-05-23 20:05:32.203,,21.0,31.4,23.9,False,0.8,196.0
2026,5,Canadian Grand Prix,Q,NOR,McLaren,5.0,2.0,SOFT,10.0,86.987,27.221,25.552,34.214,229.0,270.0,235.0,261.0,1,False,False,False,False,2026-05-23 20:09:52.322,,21.2,31.1,24.0,False,0.5,269.0
2026,5,Canadian Grand Prix,Q,NOR,McLaren,6.0,2.0,SOFT,11.0,90.96,24.93,25.363,40.667,231.0,239.0,266.0,249.0,1,False,False,True,False,2026-05-23 20:11:19.309,,21.1,31.4,25.0,False,1.4,182.0
2026,5,Canadian Grand Prix,Q,NOR,McLaren,7.0,2.0,SOFT,12.0,73.531,21.062,23.212,29.257,251.0,289.0,273.0,315.0,1,False,True,True,False,2026-05-23 20:12:50.269,,21.1,31.5,24.3,False,2.5,184.0
2026,5,Canadian Grand Prix,Q,NOR,McLaren,8.0,2.0,SOFT,13.0,96.202,27.379,27.773,41.05,219.0,239.0,269.0,226.0,1,False,False,True,False,2026-05-23 20:14:03.800,,21.1,31.4,24.1,False,0.6,160.0
2026,5,Canadian Grand Prix,Q,NOR,McLaren,9.0,2.0,SOFT,14.0,73.503,21.062,23.182,29.259,252.0,286.0,271.0,317.0,1,False,True,True,False,2026-05-23 20:15:40.002,,21.2,31.5,24.4,False,0.7,145.0
