Time,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindDirection,WindSpeed
0 days 00:00:23.540000,21.2,31.6,24.4,1028.9,False,199,1.0
0 days 00:01:23.550000,21.3,31.7,24.7,1028.8,False,184,2.5
0 days 00:02:23.568000,21.3,31.5,24.5,1028.9,False,183,1.5
0 days 00:03:23.568000,21.3,31.3,23.7,1028.9,False,187,1.7
0 days 00:04:23.587000,21.2,31.4,23.9,1028.8,False,196,0.8
0 days 00:05:23.605000,21.0,31.4,23.9,1028.8,False,196,0.8
0 days 00:06:23.611000,22.0,31.5,24.4,1028.9,False,312,0.8
0 days 00:07:23.605000,21.3,31.0,23.9,1028.9,False,316,1.5
0 days 00:08:23.610000,21.2,30.8,23.8,1028.9,False,292,1.5
0 days 00:09:23.607000,21.2,30.8,23.9,1028.8,False,304,1.2
0 days 00:10:23.601000,21.2,31.1,24.0,1028.8,False,269,0.5
0 days 00:11:23.606000,21.1,31.4,25.0,1028.8,False,182,1.4
0 days 00:12:23.606000,21.1,31.0,24.7,1028.8,False,191,1.4
0 days 00:13:23.613000,21.1,31.5,24.3,1028.8,False,184,2.5
0 days 00:14:23.608000,21.1,31.4,24.1,1028.8,False,160,0.6
0 days 00:15:23.619000,21.2,31.3,24.1,1028.8,False,0,0.0
0 days 00:16:23.626000,21.2,31.5,24.4,1028.8,False,145,0.7
0 days 00:17:23.627000,21.2,31.0,24.0,1028.8,False,281,2.0
0 days 00:18:23.641000,21.2,31.2,24.2,1028.8,False,340,0.6
0 days 00:19:23.652000,21.3,31.2,24.4,1028.8,False,124,0.4
0 days 00:20:23.679000,21.3,31.0,23.3,1028.8,False,130,0.6
0 days 00:21:23.675000,21.3,31.0,23.3,1028.8,False,130,0.6
0 days 00:22:23.676000,21.3,31.0,24.2,1028.7,False,17,0.4
0 days 00:23:23.675000,21.3,30.6,24.0,1028.7,False,205,1.1
0 days 00:24:23.697000,21.2,30.7,23.7,1028.8,False,203,1.5
0 days 00:25:23.711000,21.2,31.0,23.9,1028.8,False,171,2.2
0 days 00:26:23.710000,21.3,30.6,24.1,1028.7,False,191,2.2
0 days 00:27:23.725000,21.3,30.7,23.5,1028.8,False,199,0.5
0 days 00:28:23.751000,21.4,30.8,23.5,1028.8,False,121,0.7
0 days 00:29:23.743000,21.4,31.0,23.8,1028.7,False,78,0.9
0 days 00:30:23.745000,21.2,30.9,25.6,1028.7,False,334,0.9
0 days 00:31:23.747000,21.2,30.6,25.8,1028.7,False,322,0.7
0 days 00:32:23.749000,21.1,30.8,26.3,1028.7,False,305,0.9
0 days 00:33:23.748000,21.1,30.0,27.0,1028.7,False,208,1.3
0 days 00:34:23.750000,21.0,30.5,25.2,1028.6,False,286,1.0
0 days 00:35:23.748000,21.0,30.5,25.2,1028.6,False,286,1.0
0 days 00:36:23.750000,21.0,30.5,25.7,1028.7,False,314,1.2
0 days 00:37:23.750000,21.1,30.6,24.8,1028.7,False,304,0.8
0 days 00:38:23.752000,21.1,31.3,25.5,1028.6,False,185,1.3
0 days 00:39:23.752000,21.1,31.3,25.5,1028.6,False,185,1.3
0 days 00:40:23.752000,21.2,31.2,25.1,1028.6,False,181,1.2
0 days 00:41:23.759000,21.2,31.1,24.0,1028.6,False,166,0.6
0 days 00:42:23.756000,21.2,31.2,25.1,1028.6,False,345,1.0
0 days 00:43:23.753000,21.2,31.2,25.1,1028.6,False,345,1.0
0 days 00:44:23.755000,21.2,30.9,25.4,1028.6,False,317,1.4
0 days 00:45:23.758000,21.2,30.7,24.3,1028.6,False,226,0.5
0 days 00:46:23.758000,21.3,31.0,24.0,1028.7,True,187,1.3
0 days 00:47:23.758000,21.3,30.6,23.9,1028.6,False,193,1.1
0 days 00:48:23.778000,21.3,30.7,24.8,1028.6,False,115,0.4
0 days 00:49:23.763000,21.3,31.0,24.7,1028.6,False,319,1.7
0 days 00:50:23.774000,21.3,30.9,24.7,1028.6,False,304,1.0
0 days 00:51:23.795000,21.3,30.8,24.4,1028.6,False,333,1.5
0 days 00:52:23.808000,21.3,30.4,24.8,1028.6,False,320,2.2
0 days 00:53:23.797000,21.3,30.6,24.3,1028.5,False,306,1.4
0 days 00:54:23.808000,21.3,30.6,24.3,1028.5,False,306,1.4
0 days 00:55:23.808000,21.3,30.5,24.4,1028.5,False,300,1.6
0 days 00:56:23.809000,21.2,30.9,24.7,1028.5,False,302,0.9
0 days 00:57:23.810000,21.2,30.7,24.7,1028.5,False,315,0.9
0 days 00:58:23.826000,21.2,30.9,24.5,1028.5,False,316,0.9
0 days 00:59:23.845000,21.2,31.0,24.7,1028.5,False,231,0.7
0 days 01:00:23.847000,21.2,30.4,24.2,1028.6,False,213,1.4
0 days 01:01:23.860000,20.9,30.4,24.2,1028.6,False,213,1.4
0 days 01:02:23.881000,21.3,30.9,25.1,1028.5,False,283,1.3
0 days 01:03:23.897000,21.4,31.2,24.8,1028.5,False,0,0.0
0 days 01:04:23.894000,21.4,30.5,24.6,1028.5,False,325,0.8
0 days 01:05:23.894000,21.4,30.5,24.6,1028.5,False,325,0.8
0 days 01:06:23.907000,21.4,30.8,24.5,1028.6,False,226,0.8
0 days 01:07:23.898000,21.4,30.6,24.2,1028.5,False,0,0.0
0 days 01:08:23.892000,21.4,30.8,24.6,1028.5,False,202,1.5
0 days 01:09:23.897000,21.4,30.5,24.2,1028.6,False,278,0.7
0 days 01:10:23.895000,21.9,31.0,24.6,1028.5,False,295,1.3
0 days 01:11:23.899000,21.5,30.7,24.4,1028.6,False,266,0.5
0 days 01:12:23.899000,21.7,30.7,24.4,1028.6,False,266,0.5
0 days 01:13:23.909000,21.5,30.8,24.3,1028.6,False,345,1.1
0 days 01:14:23.937000,21.6,30.7,24.1,1028.6,False,219,1.4
0 days 01:15:23.938000,21.5,30.4,23.7,1028.5,False,233,1.3
0 days 01:16:23.991000,21.5,30.4,23.7,1028.5,False,233,1.3
0 days 01:17:23.952000,21.4,29.8,24.1,1028.5,False,222,0.9
0 days 01:18:23.951000,21.4,30.2,24.1,1028.6,False,249,0.8
