season,round,event_name,session_code,driver,team,stint,compound,lap_count,mean_lap_time_s,degradation_per_lap_s,degradation_index,start_tyre_life,end_tyre_life
2026,5,Canadian Grand Prix,R,ALB,Williams,1.0,SOFT,11,81.51390909090908,-1.8292999999999993,-0.9545454545454546,1,11
2026,5,Canadian Grand Prix,R,ALO,Aston Martin,1.0,SOFT,20,82.27349999999998,-0.09021052631578941,-0.156390977443609,1,20
2026,5,Canadian Grand Prix,R,ALO,Aston Martin,2.0,SOFT,3,81.83666666666667,-1.6779999999999973,-0.5,1,3
2026,5,Canadian Grand Prix,R,ANT,Mercedes,1.0,SOFT,31,78.29761290322581,-0.032633333333333306,-0.2725806451612903,5,35
2026,5,Canadian Grand Prix,R,ANT,Mercedes,2.0,MEDIUM,37,77.5278918918919,-0.6923888888888889,-0.676623992413466,1,37
2026,5,Canadian Grand Prix,R,BEA,Haas F1 Team,1.0,SOFT,30,80.99776666666665,-0.22668965517241374,-0.703670745272525,6,35
2026,5,Canadian Grand Prix,R,BEA,Haas F1 Team,2.0,MEDIUM,37,79.05064864864865,-0.2546388888888885,-0.6292081555239449,1,37
2026,5,Canadian Grand Prix,R,BOR,Audi,1.0,INTERMEDIATE,2,101.45150000000001,10.0,0.0,1,2
2026,5,Canadian Grand Prix,R,BOR,Audi,2.0,SOFT,16,80.09462500000001,0.03733333333333254,-0.5970588235294118,1,16
2026,5,Canadian Grand Prix,R,BOR,Audi,3.0,MEDIUM,48,79.73952083333334,-0.25717021276595753,-0.4368215371254885,1,48
2026,5,Canadian Grand Prix,R,BOT,Cadillac,1.0,INTERMEDIATE,3,98.07066666666667,0.0,0.5,1,3
2026,5,Canadian Grand Prix,R,BOT,Cadillac,2.0,SOFT,6,84.95416666666667,0.6262000000000001,-0.14285714285714288,1,6
2026,5,Canadian Grand Prix,R,BOT,Cadillac,3.0,MEDIUM,20,83.4291,0.7003157894736841,0.04060150375939849,1,20
2026,5,Canadian Grand Prix,R,BOT,Cadillac,4.0,SOFT,20,83.30009999999999,-0.1797894736842096,0.0706766917293233,1,20
2026,5,Canadian Grand Prix,R,BOT,Cadillac,5.0,MEDIUM,15,80.7084666666667,-0.9657857142857144,-0.8785714285714284,1,15
2026,5,Canadian Grand Prix,R,COL,Alpine,1.0,MEDIUM,30,79.48603333333334,-0.19034482758620677,-0.725027808676307,1,30
2026,5,Canadian Grand Prix,R,COL,Alpine,2.0,HARD,37,79.20775675675675,-0.9864444444444445,-0.6057373162636319,1,37
2026,5,Canadian Grand Prix,R,GAS,Alpine,1.0,MEDIUM,30,80.19100000000002,-0.2956896551724134,-0.73615127919911,1,30
2026,5,Canadian Grand Prix,R,GAS,Alpine,2.0,HARD,37,79.04324324324324,-0.40061111111111103,-0.5272641062114746,1,37
2026,5,Canadian Grand Prix,R,HAD,Red Bull Racing,1.0,SOFT,31,78.97858064516129,0.054733333333333196,-0.4008064516129033,5,35
2026,5,Canadian Grand Prix,R,HAD,Red Bull Racing,2.0,MEDIUM,21,79.38838095238096,-0.2355000000000004,-0.2324675324675325,1,21
2026,5,Canadian Grand Prix,R,HAD,Red Bull Racing,3.0,SOFT,10,80.45389999999999,-0.2861111111111099,-0.2606060606060606,5,14
2026,5,Canadian Grand Prix,R,HAD,Red Bull Racing,4.0,SOFT,5,76.152,-1.2412500000000009,-0.7,15,19
2026,5,Canadian Grand Prix,R,HAM,Ferrari,1.0,SOFT,31,78.87796774193548,0.015033333333333114,-0.32217741935483873,4,34
2026,5,Canadian Grand Prix,R,HAM,Ferrari,2.0,MEDIUM,37,77.33267567567567,-0.4237777777777778,-0.6349356895748545,1,37
2026,5,Canadian Grand Prix,R,HUL,Audi,1.0,INTERMEDIATE,2,98.465,9.203999999999994,0.0,1,2
