Driver,LapNumber,LapTime,Compound,TyreLife,Team
ALB,18.0,0 days 00:01:15.717000,SOFT,4.0,Williams
ALO,8.0,0 days 00:01:17.543000,MEDIUM,12.0,Aston Martin
ANT,11.0,0 days 00:01:14.380000,MEDIUM,17.0,Mercedes
BEA,22.0,0 days 00:01:16.210000,MEDIUM,12.0,Haas F1 Team
BOR,9.0,0 days 00:01:15.980000,MEDIUM,16.0,Audi
BOT,17.0,0 days 00:01:17.212000,SOFT,17.0,Cadillac
COL,12.0,0 days 00:01:15.478000,MEDIUM,20.0,Alpine
GAS,12.0,0 days 00:01:16.150000,MEDIUM,12.0,Alpine
HAD,12.0,0 days 00:01:14.941000,SOFT,8.0,Red Bull Racing
HAM,12.0,0 days 00:01:14.695000,MEDIUM,12.0,Ferrari
HUL,20.0,0 days 00:01:16.297000,MEDIUM,26.0,Audi
LAW,6.0,0 days 00:01:16.257000,MEDIUM,6.0,Racing Bulls
LEC,11.0,0 days 00:01:14.741000,MEDIUM,11.0,Ferrari
LIN,14.0,0 days 00:01:15.653000,HARD,14.0,Racing Bulls
NOR,11.0,0 days 00:01:14.596000,MEDIUM,11.0,McLaren
OCO,9.0,0 days 00:01:16.849000,MEDIUM,16.0,Haas F1 Team
PER,9.0,0 days 00:01:16.641000,SOFT,9.0,Cadillac
PIA,17.0,0 days 00:01:14.793000,MEDIUM,17.0,McLaren
RUS,16.0,0 days 00:01:14.702000,MEDIUM,22.0,Mercedes
SAI,17.0,0 days 00:01:15.943000,MEDIUM,17.0,Williams
STR,17.0,0 days 00:01:17.120000,SOFT,17.0,Aston Martin
VER,11.0,0 days 00:01:14.974000,MEDIUM,11.0,Red Bull Racing
