Time,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindDirection,WindSpeed
0 days 00:00:48.367000,19.7,29.3,26.2,1031.0,False,311,1.2
0 days 00:01:48.361000,19.6,30.0,26.5,1031.0,False,254,0.8
0 days 00:02:48.374000,19.6,29.5,26.5,1031.0,False,315,1.9
0 days 00:03:48.383000,19.7,29.6,25.8,1030.9,False,314,1.9
0 days 00:04:48.377000,19.7,29.6,25.8,1030.9,False,314,1.9
0 days 00:05:48.378000,19.7,29.5,25.9,1031.0,False,331,2.2
0 days 00:06:48.384000,19.7,29.8,25.7,1031.0,False,268,1.0
0 days 00:07:48.386000,19.8,30.4,26.9,1031.0,False,324,0.9
0 days 00:08:48.386000,19.7,29.6,25.6,1030.9,False,318,1.5
0 days 00:09:48.387000,19.8,30.1,26.3,1030.9,False,302,1.7
0 days 00:10:48.387000,19.7,30.1,26.3,1030.9,False,302,1.7
0 days 00:11:48.385000,19.7,30.0,26.0,1030.9,False,277,1.5
0 days 00:12:48.407000,19.6,30.6,25.7,1030.9,False,313,0.8
0 days 00:13:48.430000,19.6,31.1,26.3,1030.9,False,334,1.7
0 days 00:14:48.423000,19.6,31.2,26.2,1030.9,False,333,1.8
0 days 00:15:48.436000,19.6,31.2,26.2,1030.9,False,333,1.8
0 days 00:16:48.450000,19.6,30.9,26.3,1030.9,False,308,0.4
0 days 00:17:48.457000,19.8,31.0,26.1,1030.9,False,302,1.4
0 days 00:18:48.457000,19.9,31.1,25.7,1031.0,False,324,1.5
0 days 00:19:48.447000,19.9,31.0,25.9,1030.9,False,245,1.5
0 days 00:20:48.450000,20.1,31.5,25.9,1030.9,False,236,0.6
0 days 00:21:48.479000,20.1,31.6,25.6,1030.9,False,199,0.6
0 days 00:22:48.481000,20.0,31.5,25.3,1030.9,False,253,0.9
0 days 00:23:48.482000,20.0,31.3,25.5,1031.0,False,224,1.9
0 days 00:24:48.472000,19.9,31.4,24.9,1030.9,False,239,1.3
0 days 00:25:48.516000,19.9,31.8,25.4,1031.0,False,0,0.0
0 days 00:26:48.470000,19.9,31.7,25.6,1030.8,False,192,0.9
0 days 00:27:48.470000,19.8,32.0,25.4,1030.8,False,195,1.2
