Time,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindDirection,WindSpeed
0 days 00:00:22.633000,19.5,42.3,24.0,1026.5,False,172,3.3
0 days 00:01:22.631000,19.5,42.2,24.9,1026.4,False,184,2.5
0 days 00:02:22.635000,19.6,42.2,24.0,1026.4,False,174,2.2
0 days 00:03:22.633000,19.6,42.0,24.9,1026.5,False,184,2.5
0 days 00:04:22.633000,19.7,42.2,23.9,1026.4,False,183,2.7
0 days 00:05:22.638000,19.6,42.2,23.4,1026.4,False,184,1.8
0 days 00:06:22.648000,19.7,42.1,24.3,1026.3,False,180,2.5
0 days 00:07:22.638000,19.8,41.9,24.0,1026.3,False,185,3.1
0 days 00:08:22.649000,19.9,42.1,23.9,1026.3,False,172,2.7
0 days 00:09:22.640000,19.8,41.8,23.6,1026.3,False,173,2.4
0 days 00:10:22.697000,19.8,41.9,24.2,1026.3,False,186,3.2
0 days 00:11:22.699000,19.7,41.9,24.5,1026.2,False,188,2.9
0 days 00:12:22.649000,19.7,42.1,25.0,1026.2,False,165,2.0
0 days 00:13:22.639000,19.7,42.1,24.3,1026.3,False,211,1.6
0 days 00:14:22.659000,19.7,42.2,25.2,1026.2,False,166,2.3
0 days 00:15:22.641000,19.8,42.2,24.5,1026.2,False,176,1.6
0 days 00:16:22.650000,19.8,42.0,23.5,1026.1,False,173,2.3
0 days 00:17:22.653000,19.7,41.9,23.5,1026.2,False,185,1.1
0 days 00:18:22.651000,19.6,41.8,24.3,1026.1,False,317,0.7
0 days 00:19:22.651000,19.7,41.9,24.5,1026.2,False,355,0.8
0 days 00:20:22.648000,19.8,41.8,24.7,1026.1,False,166,1.6
0 days 00:21:22.646000,19.8,41.8,24.4,1026.2,False,259,0.6
0 days 00:22:22.655000,19.7,41.7,24.5,1026.2,False,138,1.8
0 days 00:23:22.649000,19.9,41.4,24.5,1026.1,False,148,1.1
0 days 00:24:22.648000,20.0,42.4,24.3,1026.1,False,131,1.2
0 days 00:25:22.671000,20.1,42.1,25.1,1026.2,False,193,2.2
0 days 00:26:22.679000,20.1,41.6,24.6,1026.1,False,257,0.9
0 days 00:27:22.670000,20.1,42.1,25.5,1026.2,False,200,0.3
0 days 00:28:22.664000,20.0,41.5,24.4,1026.2,False,180,1.7
0 days 00:29:22.690000,19.9,41.9,24.4,1026.2,False,173,1.4
0 days 00:30:22.699000,19.7,42.1,25.0,1026.1,False,179,2.1
0 days 00:31:22.711000,19.7,42.2,25.1,1026.3,False,178,1.2
0 days 00:32:22.728000,19.9,41.9,24.2,1026.2,False,160,1.8
0 days 00:33:22.711000,19.9,41.8,23.7,1026.2,False,183,1.5
0 days 00:34:22.715000,19.8,41.8,24.2,1026.2,False,164,2.0
0 days 00:35:22.707000,19.9,41.8,24.6,1026.2,False,162,1.5
0 days 00:36:22.721000,19.9,41.8,24.5,1026.2,False,148,0.7
0 days 00:37:22.717000,19.8,42.0,24.9,1026.1,False,183,1.2
0 days 00:38:22.718000,19.8,41.9,25.4,1026.1,False,0,0.0
0 days 00:39:22.731000,19.9,41.8,25.1,1026.1,False,117,1.6
0 days 00:40:22.749000,19.9,41.5,25.2,1026.3,False,180,1.7
0 days 00:41:22.735000,19.9,41.7,25.7,1026.2,False,148,0.5
0 days 00:42:22.770000,19.8,41.7,24.3,1026.1,False,150,1.0
0 days 00:43:22.767000,20.0,41.5,24.6,1026.2,False,173,0.9
0 days 00:44:22.787000,20.1,41.6,25.0,1026.2,False,171,1.2
0 days 00:45:22.778000,20.1,41.7,24.9,1026.1,False,162,1.3
0 days 00:46:22.793000,20.3,41.5,22.6,1026.2,False,193,0.9
0 days 00:47:22.789000,20.4,41.6,22.5,1026.1,False,174,0.6
0 days 00:48:22.797000,20.5,41.6,22.5,1026.1,False,110,1.0
0 days 00:49:22.791000,20.6,41.6,23.1,1026.1,False,6,0.8
0 days 00:50:22.798000,20.5,41.7,23.6,1026.1,False,49,0.5
0 days 00:51:22.804000,20.3,41.2,23.8,1026.1,False,196,0.5
0 days 00:52:22.806000,20.3,41.0,23.9,1026.0,False,172,1.3
0 days 00:53:22.807000,20.2,41.3,23.8,1026.1,False,150,1.3
0 days 00:54:22.812000,20.2,41.3,23.8,1026.1,False,150,1.3
0 days 00:55:22.837000,20.1,40.9,25.7,1026.2,False,148,0.6
0 days 00:56:22.830000,20.1,41.0,27.7,1026.1,False,97,0.9
0 days 00:57:22.847000,19.8,40.7,24.4,1026.1,False,95,0.4
0 days 00:58:22.854000,19.8,40.7,24.4,1026.1,False,95,0.4
0 days 00:59:22.855000,20.0,40.8,24.0,1026.2,False,326,0.9
0 days 01:00:22.886000,20.1,40.1,23.8,1026.0,False,216,0.3
