Time,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindDirection,WindSpeed
0 days 00:00:29.522000,23.9,45.9,50.5,1017.6,False,43,0.8
0 days 00:01:29.515000,23.9,45.6,50.5,1017.6,False,325,0.7
0 days 00:02:29.530000,23.9,46.2,50.6,1017.5,False,319,0.4
0 days 00:03:29.519000,23.6,46.5,52.0,1017.6,False,153,1.1
0 days 00:04:29.526000,23.8,46.3,50.1,1017.6,False,218,1.8
0 days 00:05:29.530000,23.7,46.5,50.1,1017.6,False,148,0.9
0 days 00:06:29.531000,23.9,46.3,50.1,1017.6,False,312,0.5
0 days 00:07:29.519000,23.8,46.5,49.9,1017.7,False,345,0.6
0 days 00:08:29.528000,23.8,46.8,51.3,1017.6,False,344,0.5
0 days 00:09:29.529000,23.8,46.3,52.0,1017.7,False,0,0.0
0 days 00:10:29.543000,23.8,47.4,52.3,1017.6,False,0,0.0
0 days 00:11:29.529000,23.9,47.2,52.0,1017.6,False,157,0.4
0 days 00:12:29.521000,24.0,46.9,51.9,1017.6,False,236,0.8
0 days 00:13:29.530000,24.0,46.0,51.8,1017.6,False,272,0.7
0 days 00:14:29.530000,24.1,47.2,52.0,1017.6,False,0,0.0
0 days 00:15:29.535000,24.1,47.3,51.9,1017.6,False,206,1.1
0 days 00:16:29.528000,24.2,47.0,52.3,1017.6,False,139,0.4
0 days 00:17:29.532000,24.4,46.6,52.7,1017.6,False,223,1.0
0 days 00:18:29.537000,24.4,46.9,52.7,1017.6,False,166,0.7
0 days 00:19:29.533000,24.5,46.6,52.8,1017.6,False,145,0.5
0 days 00:20:29.535000,24.5,45.6,53.3,1017.6,False,186,1.1
0 days 00:21:29.533000,24.4,44.4,53.4,1017.6,False,195,2.2
0 days 00:22:29.538000,24.3,43.6,54.1,1017.6,False,148,0.8
0 days 00:23:29.534000,24.3,42.7,54.0,1017.5,False,187,1.1
0 days 00:24:29.539000,24.2,41.9,54.8,1017.5,False,155,0.7
0 days 00:25:29.540000,24.1,41.6,53.7,1017.5,False,0,0.0
0 days 00:26:29.540000,24.0,40.8,53.6,1017.5,False,151,0.3
0 days 00:27:29.548000,23.9,40.4,54.4,1017.5,False,162,0.8
0 days 00:28:29.550000,23.9,40.0,54.4,1017.5,False,146,0.7
0 days 00:29:29.552000,24.0,39.8,54.0,1017.5,False,146,0.6
0 days 00:30:29.561000,24.0,39.7,54.9,1017.4,False,182,2.5
0 days 00:31:29.576000,24.1,38.8,53.6,1017.5,False,178,1.3
0 days 00:32:29.589000,24.2,38.3,54.7,1017.4,False,0,0.0
0 days 00:33:29.593000,24.1,37.9,54.8,1017.5,False,166,0.6
0 days 00:34:29.631000,24.0,38.4,55.5,1017.4,False,188,0.7
0 days 00:35:29.620000,23.9,38.3,55.2,1017.5,False,184,0.6
0 days 00:36:29.641000,23.7,38.4,55.0,1017.5,False,142,0.8
0 days 00:37:29.655000,23.8,37.0,53.1,1017.5,False,231,0.6
0 days 00:38:29.675000,23.7,36.8,51.2,1017.4,False,227,0.9
