Driver,LapNumber,LapTime,Compound,TyreLife,Team
ALB,78.0,0 days 00:01:16.393000,SOFT,16.0,Williams
ALO,77.0,0 days 00:01:17.120000,SOFT,17.0,Aston Martin
ANT,76.0,0 days 00:01:13.481000,SOFT,12.0,Mercedes
BEA,22.0,0 days 00:01:18.475000,HARD,21.0,Haas F1 Team
BOR,46.0,0 days 00:01:16.803000,MEDIUM,3.0,Audi
BOT,8.0,0 days 00:01:20.494000,MEDIUM,7.0,Cadillac
COL,74.0,0 days 00:01:16.316000,SOFT,6.0,Alpine
GAS,77.0,0 days 00:01:15.497000,SOFT,13.0,Alpine
HAD,77.0,0 days 00:01:15.669000,SOFT,13.0,Red Bull Racing
HAM,74.0,0 days 00:01:14.643000,SOFT,10.0,Ferrari
HUL,15.0,0 days 00:01:16.332000,HARD,3.0,Audi
LAW,76.0,0 days 00:01:15.754000,SOFT,14.0,Racing Bulls
LEC,53.0,0 days 00:01:15.964000,HARD,18.0,Ferrari
LIN,76.0,0 days 00:01:15.908000,SOFT,8.0,Racing Bulls
NOR,34.0,0 days 00:01:17.670000,MEDIUM,34.0,McLaren
OCO,77.0,0 days 00:01:16.914000,SOFT,10.0,Haas F1 Team
PER,78.0,0 days 00:01:16.891000,SOFT,10.0,Cadillac
PIA,76.0,0 days 00:01:15.816000,SOFT,12.0,McLaren
RUS,56.0,0 days 00:01:15.773000,HARD,25.0,Mercedes
SAI,51.0,0 days 00:01:18.022000,MEDIUM,51.0,Williams
STR,36.0,0 days 00:01:18.845000,SOFT,32.0,Aston Martin
