season,round,event_name,session_code,driver,team,lap_number,stint,compound,tyre_life,lap_time_s,sector_1_s,sector_2_s,sector_3_s,speed_i1,speed_i2,speed_fl,speed_st,track_status,fresh_tyre,is_personal_best,is_accurate,deleted,lap_start_time,position,air_temp_c,track_temp_c,humidity_pct,rainfall,wind_speed_mps,wind_direction_deg
2026,6,Monaco Grand Prix,R,NOR,McLaren,1.0,1.0,MEDIUM,1.0,90.629,,39.379,21.696,151.0,181.0,257.0,265.0,12,True,False,False,False,2026-06-07 13:03:11.904,8.0,23.3,33.1,64.7,False,0.5,244.0
2026,6,Monaco Grand Prix,R,NOR,McLaren,2.0,1.0,MEDIUM,2.0,80.684,21.738,37.534,21.412,178.0,177.0,258.0,273.0,1,True,True,True,False,2026-06-07 13:04:42.754,8.0,23.0,34.0,64.1,False,0.0,0.0
2026,6,Monaco Grand Prix,R,NOR,McLaren,3.0,1.0,MEDIUM,3.0,80.195,21.482,37.614,21.099,177.0,187.0,259.0,277.0,1,True,True,True,False,2026-06-07 13:06:03.438,8.0,23.3,34.4,63.5,False,0.0,0.0
2026,6,Monaco Grand Prix,R,NOR,McLaren,4.0,1.0,MEDIUM,4.0,79.491,21.206,37.169,21.116,189.0,182.0,259.0,276.0,1,True,True,True,False,2026-06-07 13:07:23.633,8.0,23.5,35.1,63.7,False,0.5,131.0
2026,6,Monaco Grand Prix,R,NOR,McLaren,5.0,1.0,MEDIUM,5.0,78.988,20.871,36.96,21.157,184.0,179.0,259.0,276.0,1,True,True,True,False,2026-06-07 13:08:43.124,8.0,23.4,35.4,63.4,False,0.0,0.0
2026,6,Monaco Grand Prix,R,NOR,McLaren,6.0,1.0,MEDIUM,6.0,78.233,20.752,36.693,20.788,190.0,190.0,259.0,275.0,1,True,True,True,False,2026-06-07 13:10:02.112,8.0,23.8,34.3,62.6,False,1.4,340.0
2026,6,Monaco Grand Prix,R,NOR,McLaren,7.0,1.0,MEDIUM,7.0,78.243,20.606,36.68,20.957,191.0,187.0,259.0,275.0,1,True,False,True,False,2026-06-07 13:11:20.345,8.0,22.9,34.3,62.6,False,1.4,340.0
2026,6,Monaco Grand Prix,R,NOR,McLaren,8.0,1.0,MEDIUM,8.0,78.079,20.598,36.576,20.905,193.0,192.0,261.0,278.0,1,True,True,True,False,2026-06-07 13:12:38.588,8.0,23.8,36.6,64.5,False,0.7,153.0
2026,6,Monaco Grand Prix,R,NOR,McLaren,9.0,1.0,MEDIUM,9.0,78.059,20.876,36.456,20.727,183.0,194.0,260.0,277.0,1,True,True,True,False,2026-06-07 13:13:56.667,8.0,24.0,37.5,64.1,False,0.5,53.0
2026,6,Monaco Grand Prix,R,NOR,McLaren,10.0,1.0,MEDIUM,10.0,78.628,20.611,36.654,21.363,189.0,185.0,259.0,278.0,1,True,False,True,False,2026-06-07 13:15:14.726,8.0,24.0,37.5,64.1,False,0.5,53.0
2026,6,Monaco Grand Prix,R,NOR,McLaren,11.0,1.0,MEDIUM,11.0,78.413,20.555,36.981,20.877,196.0,187.0,256.0,277.0,1,True,False,True,False,2026-06-07 13:16:33.354,8.0,23.1,37.5,64.1,False,0.5,53.0
2026,6,Monaco Grand Prix,R,NOR,McLaren,12.0,1.0,MEDIUM,12.0,77.722,20.68,36.379,20.663,193.0,193.0,260.0,270.0,1,True,True,True,False,2026-06-07 13:17:51.767,8.0,23.3,38.2,62.5,False,0.0,0.0
