season,round,event_name,session_code,driver,team,stint,compound,lap_count,mean_lap_time_s,degradation_per_lap_s,degradation_index,start_tyre_life,end_tyre_life
2026,6,Monaco Grand Prix,R,ALB,Williams,1.0,MEDIUM,43,80.10544186046512,-0.028785714285714362,0.3474157136164243,1,43
2026,6,Monaco Grand Prix,R,ALB,Williams,2.0,SOFT,16,83.4429375,1.0565333333333333,-0.18235294117647058,1,16
2026,6,Monaco Grand Prix,R,ALB,Williams,3.0,SOFT,6,100.09933333333335,-0.46599999999999964,-0.3142857142857143,17,22
2026,6,Monaco Grand Prix,R,ALB,Williams,4.0,SOFT,1,107.265,0.0,0.0,23,23
2026,6,Monaco Grand Prix,R,ALB,Williams,5.0,SOFT,1,145.09,0.0,0.0,7,7
2026,6,Monaco Grand Prix,R,ALB,Williams,6.0,SOFT,9,80.53344444444446,-2.0549999999999997,-0.9833333333333333,7,16
2026,6,Monaco Grand Prix,R,ALO,Aston Martin,1.0,MEDIUM,3,92.88566666666668,0.0,0.5,1,3
2026,6,Monaco Grand Prix,R,ALO,Aston Martin,2.0,SOFT,55,80.40679999999999,0.116962962962963,0.20920290773438888,1,55
2026,6,Monaco Grand Prix,R,ALO,Aston Martin,3.0,SOFT,1,113.313,0.0,0.0,1,1
2026,6,Monaco Grand Prix,R,ALO,Aston Martin,4.0,SOFT,6,96.3165,-0.31299999999999956,0.028571428571428574,2,7
2026,6,Monaco Grand Prix,R,ALO,Aston Martin,5.0,SOFT,1,106.295,0.0,0.0,8,8
2026,6,Monaco Grand Prix,R,ALO,Aston Martin,7.0,SOFT,10,87.4103,-1.490222222222223,-0.9515151515151514,9,18
2026,6,Monaco Grand Prix,R,ANT,Mercedes,1.0,MEDIUM,37,77.452,0.10641666666666635,-0.18160265528686578,1,37
2026,6,Monaco Grand Prix,R,ANT,Mercedes,2.0,HARD,24,79.21466666666667,0.4459999999999998,-0.25913043478260867,1,24
2026,6,Monaco Grand Prix,R,ANT,Mercedes,3.0,SOFT,5,120.80319999999999,-1.9974999999999987,-0.6,5,9
2026,6,Monaco Grand Prix,R,ANT,Mercedes,4.0,SOFT,1,105.482,0.0,0.0,10,10
2026,6,Monaco Grand Prix,R,ANT,Mercedes,5.0,SOFT,9,78.31722222222223,-1.8321249999999996,-0.7166666666666667,5,14
2026,6,Monaco Grand Prix,R,BEA,Haas F1 Team,1.0,MEDIUM,1,122.78,0.0,0.0,1,1
2026,6,Monaco Grand Prix,R,BEA,Haas F1 Team,2.0,HARD,26,80.5506923076923,-0.20168000000000005,-0.6752136752136751,1,26
2026,6,Monaco Grand Prix,R,BOR,Audi,1.0,SOFT,1,118.809,0.0,0.0,1,1
2026,6,Monaco Grand Prix,R,BOR,Audi,2.0,HARD,42,80.51466666666667,0.1795121951219512,-0.27736812251843446,1,42
2026,6,Monaco Grand Prix,R,BOR,Audi,3.0,MEDIUM,15,82.4436,0.767785714285714,0.7,1,15
2026,6,Monaco Grand Prix,R,BOR,Audi,4.0,MEDIUM,1,116.861,0.0,0.0,16,16
2026,6,Monaco Grand Prix,R,BOR,Audi,5.0,SOFT,6,90.12366666666667,2.3828000000000005,0.14285714285714288,1,6
2026,6,Monaco Grand Prix,R,BOR,Audi,6.0,SOFT,1,105.268,0.0,0.0,7,7
2026,6,Monaco Grand Prix,R,BOR,Audi,7.0,SOFT,1,146.26,0.0,0.0,1,1
2026,6,Monaco Grand Prix,R,BOR,Audi,8.0,SOFT,10,87.0918,-1.1302222222222218,-0.8303030303030302,2,11
2026,6,Monaco Grand Prix,R,BOT,Cadillac,1.0,SOFT,1,118.143,0.0,0.0,1,1
2026,6,Monaco Grand Prix,R,BOT,Cadillac,2.0,MEDIUM,14,81.78385714285716,-0.23838461538461458,-0.35824175824175825,1,14
2026,6,Monaco Grand Prix,R,COL,Alpine,1.0,MEDIUM,35,80.36048571428572,0.016735294117647136,-0.054621848739495805,1,35
2026,6,Monaco Grand Prix,R,COL,Alpine,2.0,HARD,24,82.87983333333334,0.8304347826086954,0.3426086956521739,1,24
2026,6,Monaco Grand Prix,R,COL,Alpine,3.0,HARD,6,97.99149999999999,-0.27520000000000094,-0.3142857142857143,25,30
2026,6,Monaco Grand Prix,R,COL,Alpine,4.0,HARD,1,105.556,0.0,0.0,31,31
2026,6,Monaco Grand Prix,R,COL,Alpine,6.0,SOFT,10,87.94140000000002,-1.4494444444444445,-0.7696969696969697,1,10
2026,6,Monaco Grand Prix,R,GAS,Alpine,1.0,MEDIUM,45,79.30048888888889,-0.03018181818181825,0.09230161128182696,1,45
2026,6,Monaco Grand Prix,R,GAS,Alpine,2.0,HARD,15,82.29006666666666,0.9977857142857138,-0.10714285714285714,1,15
2026,6,Monaco Grand Prix,R,GAS,Alpine,3.0,HARD,6,97.5785,-0.22980000000000017,-0.3142857142857143,16,21
