Time,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindDirection,WindSpeed
0 days 00:00:21.921000,30.3,50.7,31.9,1006.6,False,136,3.1
0 days 00:01:21.911000,30.5,51.0,32.0,1006.7,False,135,3.2
0 days 00:02:21.917000,30.5,50.0,31.1,1006.5,False,104,5.1
0 days 00:03:21.918000,30.5,51.1,31.4,1006.6,False,132,1.6
0 days 00:04:21.917000,30.4,50.7,31.0,1006.6,False,97,3.1
0 days 00:05:21.932000,30.4,51.7,31.0,1006.6,False,116,1.1
0 days 00:06:21.933000,30.4,51.8,31.0,1006.6,False,156,1.4
0 days 00:07:21.944000,30.5,50.9,30.8,1006.7,False,116,3.6
0 days 00:08:21.952000,30.6,50.8,31.2,1006.6,False,162,3.2
0 days 00:09:21.952000,30.6,51.1,31.1,1006.7,False,148,2.8
0 days 00:10:21.955000,30.6,51.7,31.0,1006.6,False,163,1.9
0 days 00:11:21.956000,30.6,51.6,30.8,1006.6,False,111,2.4
0 days 00:12:21.950000,30.7,51.5,30.8,1006.5,False,98,3.3
0 days 00:13:21.967000,30.6,50.9,31.0,1006.5,False,97,2.3
0 days 00:14:21.951000,30.5,50.7,30.9,1006.5,False,106,3.4
0 days 00:15:21.959000,30.5,51.9,30.8,1006.5,False,162,1.0
0 days 00:16:21.967000,30.6,51.4,30.6,1006.5,False,123,2.9
0 days 00:17:21.964000,30.6,51.5,30.0,1006.5,False,81,0.6
0 days 00:18:21.963000,30.6,50.9,30.0,1006.5,False,125,3.3
0 days 00:19:21.974000,30.5,50.7,29.9,1006.5,False,145,2.0
0 days 00:20:21.965000,30.6,51.0,29.8,1006.5,False,101,2.0
0 days 00:21:21.973000,30.7,50.6,30.6,1006.5,False,96,4.6
0 days 00:22:21.965000,30.7,50.9,29.8,1006.4,False,87,2.6
0 days 00:23:21.972000,30.8,50.4,29.3,1006.4,False,94,1.1
0 days 00:24:21.974000,30.9,51.2,29.5,1006.5,False,0,0.0
0 days 00:25:21.972000,30.9,49.1,28.5,1006.4,False,134,2.4
0 days 00:26:21.963000,30.9,50.7,29.7,1006.3,False,101,1.4
0 days 00:27:21.984000,30.9,49.8,30.0,1006.4,False,109,2.5
0 days 00:28:21.992000,30.9,50.5,29.6,1006.3,False,97,2.4
0 days 00:29:22.002000,30.8,50.9,30.1,1006.4,False,157,2.1
0 days 00:30:22.002000,30.8,50.7,29.5,1006.4,False,162,2.9
0 days 00:31:22.028000,30.8,50.6,29.4,1006.3,False,75,2.4
0 days 00:32:22.024000,30.9,50.6,28.9,1006.4,False,119,2.3
0 days 00:33:22.014000,30.9,51.2,28.8,1006.3,False,129,1.8
0 days 00:34:22.026000,31.0,50.3,28.4,1006.3,False,125,2.8
0 days 00:35:22.041000,30.9,51.0,29.2,1006.3,False,152,2.2
0 days 00:36:22.049000,30.9,50.7,28.6,1006.3,False,121,2.9
0 days 00:37:22.079000,30.9,50.7,28.4,1006.2,False,123,2.5
0 days 00:38:22.095000,30.9,51.2,28.3,1006.3,False,119,1.3
0 days 00:39:22.090000,30.9,49.4,27.1,1006.2,False,84,3.4
0 days 00:40:22.092000,30.9,50.9,27.6,1006.2,False,62,2.9
0 days 00:41:22.095000,30.8,50.3,28.5,1006.3,False,149,2.9
0 days 00:42:22.101000,30.7,49.6,28.0,1006.3,False,127,3.7
0 days 00:43:22.099000,30.6,50.8,28.5,1006.3,False,160,2.5
0 days 00:44:22.117000,30.6,50.6,28.2,1006.3,False,111,3.3
0 days 00:45:22.117000,30.7,50.6,27.7,1006.3,False,147,1.8
0 days 00:46:22.115000,30.7,50.3,27.6,1006.2,False,112,2.3
0 days 00:47:22.117000,30.7,49.6,27.3,1006.2,False,155,3.1
0 days 00:48:22.118000,30.7,50.2,27.1,1006.3,False,159,2.2
0 days 00:49:22.117000,30.7,49.6,27.4,1006.3,False,103,1.9
0 days 00:50:22.111000,30.8,49.6,27.0,1006.2,False,63,3.2
0 days 00:51:22.123000,30.7,50.3,27.2,1006.2,False,110,1.5
0 days 00:52:22.119000,30.8,50.1,26.6,1006.2,False,89,2.3
0 days 00:53:22.123000,31.4,49.8,26.8,1006.2,False,94,1.4
0 days 00:54:22.120000,31.4,49.8,26.8,1006.2,False,94,1.4
0 days 00:55:22.118000,30.9,50.4,26.7,1006.2,False,106,1.6
0 days 00:56:22.126000,30.9,48.1,26.1,1006.2,False,153,3.4
0 days 00:57:22.124000,30.9,49.1,26.5,1006.2,False,121,2.7
0 days 00:58:22.120000,30.8,48.7,27.0,1006.2,False,131,2.0
0 days 00:59:22.116000,30.8,48.7,27.0,1006.2,False,131,2.0
0 days 01:00:22.127000,30.5,49.2,27.5,1006.1,False,162,2.4
0 days 01:01:22.126000,30.6,49.6,27.1,1006.1,False,121,1.7
0 days 01:02:22.134000,30.6,49.8,27.1,1006.0,False,98,1.5
0 days 01:03:22.133000,30.8,49.5,27.0,1006.0,False,140,3.1
0 days 01:04:22.135000,30.9,49.9,26.6,1006.0,False,100,2.1
0 days 01:05:22.124000,30.9,50.1,26.8,1006.0,False,122,0.6
0 days 01:06:22.133000,31.0,50.1,26.1,1006.0,False,157,1.4
0 days 01:07:22.135000,31.0,49.5,25.7,1006.0,False,116,3.0
0 days 01:08:22.135000,31.0,49.7,26.4,1006.0,False,96,2.2
