season,round,event_name,session_code,driver,team,stint,compound,lap_count,mean_lap_time_s,degradation_per_lap_s,degradation_index,start_tyre_life,end_tyre_life
2026,7,Barcelona Grand Prix,R,ALB,Williams,1.0,MEDIUM,13,86.99692307692308,-0.34450000000000003,0.521978021978022,1.0,13.0
2026,7,Barcelona Grand Prix,R,ALB,Williams,2.0,HARD,16,87.393625,-0.2625333333333335,0.4441176470588235,1.0,16.0
2026,7,Barcelona Grand Prix,R,ALB,Williams,3.0,HARD,5,89.1068,-1.651250000000001,-0.09999999999999999,1.0,5.0
2026,7,Barcelona Grand Prix,R,ALB,Williams,4.0,SOFT,15,84.19113333333334,0.35792857142857215,0.8892857142857141,2.0,16.0
2026,7,Barcelona Grand Prix,R,ALB,Williams,5.0,SOFT,5,97.99179999999998,-3.6060000000000016,-0.8999999999999998,4.0,8.0
2026,7,Barcelona Grand Prix,R,ALO,Aston Martin,1.0,HARD,21,87.94171428571428,-0.09610000000000056,0.5441558441558442,1.0,21.0
2026,7,Barcelona Grand Prix,R,ALO,Aston Martin,2.0,HARD,16,87.156125,-0.6118666666666664,0.3852941176470588,1.0,16.0
2026,7,Barcelona Grand Prix,R,ANT,Mercedes,1.0,MEDIUM,14,83.586,0.04130769230769278,0.5390542315836833,1.0,14.0
2026,7,Barcelona Grand Prix,R,ANT,Mercedes,2.0,HARD,23,83.43652173913044,-0.2868181818181819,0.5948616600790514,1.0,23.0
2026,7,Barcelona Grand Prix,R,ANT,Mercedes,3.0,HARD,24,83.73604166666667,-0.2531304347826088,0.15043478260869564,1.0,24.0
2026,7,Barcelona Grand Prix,R,BEA,Haas F1 Team,1.0,MEDIUM,18,86.70133333333334,-0.1452352941176467,0.479876160990712,1.0,18.0
2026,7,Barcelona Grand Prix,R,BEA,Haas F1 Team,2.0,HARD,21,86.4992857142857,0.0552500000000002,0.33246753246753247,1.0,21.0
2026,7,Barcelona Grand Prix,R,BEA,Haas F1 Team,3.0,SOFT,21,86.68280952380952,0.08109999999999999,0.0,,
2026,7,Barcelona Grand Prix,R,BOR,Audi,1.0,MEDIUM,15,86.81286666666668,-0.3116428571428571,0.6,1.0,15.0
2026,7,Barcelona Grand Prix,R,BOR,Audi,2.0,HARD,18,86.18561111111111,-0.2144117647058821,0.6388028895768835,1.0,18.0
2026,7,Barcelona Grand Prix,R,BOR,Audi,3.0,HARD,20,86.784,0.10894736842105301,0.03308270676691729,1.0,20.0
2026,7,Barcelona Grand Prix,R,BOR,Audi,4.0,SOFT,11,89.59800000000001,-1.6048000000000016,0.28181818181818186,1.0,11.0
2026,7,Barcelona Grand Prix,R,BOT,Cadillac,1.0,MEDIUM,14,88.16357142857143,-0.24607692307692292,0.5912087912087912,1.0,14.0
2026,7,Barcelona Grand Prix,R,BOT,Cadillac,2.0,HARD,1,120.78,0.0,0.0,1.0,1.0
2026,7,Barcelona Grand Prix,R,COL,Alpine,1.0,SOFT,12,86.14691666666666,-0.1824545454545459,0.44055944055944063,1.0,12.0
2026,7,Barcelona Grand Prix,R,COL,Alpine,2.0,HARD,22,85.6124090909091,-0.24261904761904757,0.4647092038396387,1.0,22.0
2026,7,Barcelona Grand Prix,R,COL,Alpine,3.0,HARD,31,87.12051612903227,-0.2457333333333338,0.19798387096774195,1.0,31.0
2026,7,Barcelona Grand Prix,R,GAS,Alpine,1.0,MEDIUM,14,86.18364285714286,-0.18107692307692302,0.44175824175824174,1.0,14.0
