Time,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindDirection,WindSpeed
0 days 00:00:39.641000,30.7,50.4,30.2,1001.0,False,116,4.0
0 days 00:01:39.646000,30.7,50.7,30.3,1000.9,False,102,2.1
0 days 00:02:39.647000,30.6,51.3,30.7,1001.0,False,93,2.9
0 days 00:03:39.646000,30.7,50.5,30.3,1000.9,False,145,4.3
0 days 00:04:39.646000,30.7,50.3,30.0,1000.9,False,122,2.9
0 days 00:05:39.659000,30.6,50.3,30.5,1001.0,False,181,2.9
0 days 00:06:39.642000,30.6,51.9,30.4,1000.9,False,144,2.0
0 days 00:07:39.651000,30.6,50.3,30.1,1000.9,False,144,3.4
0 days 00:08:39.642000,30.5,50.7,30.0,1000.8,False,87,2.9
0 days 00:09:39.643000,30.4,50.8,30.3,1000.9,False,167,2.1
0 days 00:10:39.655000,30.5,51.8,30.9,1000.8,False,168,1.4
0 days 00:11:39.647000,30.6,51.4,30.5,1000.8,False,149,1.9
0 days 00:12:39.656000,30.6,51.6,30.1,1000.8,False,163,3.3
0 days 00:13:39.662000,30.6,50.7,29.7,1000.8,False,156,2.2
0 days 00:14:39.663000,30.6,51.4,30.2,1000.9,False,169,0.8
0 days 00:15:39.663000,30.6,51.7,30.3,1000.9,False,88,1.6
0 days 00:16:39.660000,30.6,50.2,30.0,1000.9,False,99,4.5
0 days 00:17:39.661000,30.6,51.4,30.0,1000.8,False,132,1.1
0 days 00:18:39.665000,30.6,50.8,29.6,1000.8,False,129,2.5
0 days 00:19:39.666000,30.5,50.8,29.7,1000.8,False,92,4.1
0 days 00:20:39.672000,30.5,49.8,29.4,1000.7,False,102,3.7
0 days 00:21:39.662000,30.5,51.4,30.0,1000.7,False,85,1.0
0 days 00:22:39.665000,30.5,52.1,30.6,1000.7,False,118,1.5
0 days 00:23:39.667000,30.5,49.7,29.2,1000.7,False,84,5.2
0 days 00:24:39.656000,30.5,50.7,30.0,1000.7,False,128,4.1
0 days 00:25:39.659000,30.6,50.6,30.3,1000.7,False,155,4.0
0 days 00:26:39.662000,30.6,50.7,29.6,1000.7,False,135,2.6
0 days 00:27:39.671000,30.7,51.4,30.5,1000.7,False,141,2.9
0 days 00:28:39.669000,30.7,51.3,29.9,1000.7,False,106,3.4
0 days 00:29:39.671000,30.8,51.9,29.4,1000.7,False,96,1.1
0 days 00:30:39.672000,30.8,51.2,29.0,1000.7,False,156,3.3
0 days 00:31:39.669000,30.8,51.1,29.3,1000.7,False,140,2.7
0 days 00:32:39.675000,30.7,51.3,29.6,1000.7,False,128,1.2
0 days 00:33:39.688000,30.7,50.6,29.7,1000.7,False,123,3.6
0 days 00:34:39.665000,30.6,50.0,29.7,1000.7,False,115,3.5
0 days 00:35:39.684000,30.7,50.7,29.8,1000.7,False,160,4.6
0 days 00:36:39.669000,30.7,50.5,30.2,1000.6,False,101,3.3
0 days 00:37:39.675000,30.8,49.7,29.8,1000.6,False,146,2.8
0 days 00:38:39.695000,30.8,51.6,30.3,1000.7,False,148,2.7
0 days 00:39:39.695000,30.7,51.0,29.8,1000.6,False,194,1.1
0 days 00:40:39.699000,30.7,50.4,29.7,1000.5,False,157,3.0
0 days 00:41:39.739000,30.7,50.7,30.0,1000.7,False,152,3.8
0 days 00:42:39.715000,30.6,49.8,29.7,1000.6,False,121,4.0
0 days 00:43:39.710000,30.6,49.9,29.9,1000.7,False,137,3.6
0 days 00:44:39.728000,30.5,50.9,29.9,1000.6,False,151,3.6
0 days 00:45:39.729000,30.7,50.9,29.9,1000.6,False,129,2.8
0 days 00:46:39.736000,30.7,51.1,29.8,1000.6,False,151,2.6
0 days 00:47:39.736000,30.6,51.7,29.4,1000.6,False,159,3.2
0 days 00:48:39.734000,30.7,51.6,29.2,1000.6,False,150,2.0
0 days 00:49:39.740000,30.7,50.7,29.3,1000.7,False,156,3.2
0 days 00:50:39.754000,30.6,51.1,29.6,1000.6,False,162,3.0
0 days 00:51:39.776000,30.6,51.5,30.0,1000.7,False,118,3.5
0 days 00:52:39.779000,30.8,51.4,29.5,1000.7,False,117,3.9
0 days 00:53:39.777000,30.9,52.3,29.4,1000.7,False,108,1.9
0 days 00:54:39.776000,30.8,51.7,28.5,1000.7,False,105,1.7
