season,round,event_name,session_code,driver,team,lap_number,stint,compound,tyre_life,lap_time_s,sector_1_s,sector_2_s,sector_3_s,speed_i1,speed_i2,speed_fl,speed_st,track_status,fresh_tyre,is_personal_best,is_accurate,deleted,lap_start_time,position,air_temp_c,track_temp_c,humidity_pct,rainfall,wind_speed_mps,wind_direction_deg
2026,8,Austrian Grand Prix,Q,RUS,Mercedes,1.0,1.0,SOFT,1.0,,,40.818,24.766,235.0,183.0,272.0,190.0,1,True,False,False,False,2026-06-27 14:01:34.527,,33.1,53.5,24.7,False,0.6,286.0
2026,8,Austrian Grand Prix,Q,RUS,Mercedes,2.0,1.0,SOFT,2.0,67.811,16.813,30.451,20.547,313.0,224.0,272.0,318.0,1,True,True,True,False,2026-06-27 14:03:06.667,,33.2,53.5,24.7,False,0.6,286.0
2026,8,Austrian Grand Prix,Q,RUS,Mercedes,3.0,1.0,SOFT,3.0,107.18,29.498,41.728,35.954,239.0,190.0,,240.0,1,True,False,False,False,2026-06-27 14:04:14.478,,33.4,53.5,24.7,False,0.6,286.0
2026,8,Austrian Grand Prix,Q,RUS,Mercedes,4.0,2.0,SOFT,4.0,,82.715,43.419,27.14,239.0,166.0,270.0,240.0,1,False,False,False,False,2026-06-27 14:06:01.658,,33.4,52.8,25.6,False,2.5,283.0
2026,8,Austrian Grand Prix,Q,RUS,Mercedes,5.0,2.0,SOFT,5.0,67.591,16.82,30.388,20.383,313.0,225.0,278.0,315.0,1,False,True,True,False,2026-06-27 14:08:34.957,,33.2,50.8,25.6,False,1.3,188.0
2026,8,Austrian Grand Prix,Q,RUS,Mercedes,6.0,2.0,SOFT,6.0,132.819,21.86,42.272,68.687,259.0,89.0,,256.0,1,False,False,False,False,2026-06-27 14:09:42.548,,32.5,50.8,25.6,False,1.3,188.0
2026,8,Austrian Grand Prix,Q,RUS,Mercedes,7.0,3.0,SOFT,7.0,,,44.176,28.222,259.0,175.0,281.0,195.0,1,False,False,False,False,2026-06-27 14:11:55.367,,33.1,52.4,25.7,False,1.9,289.0
2026,8,Austrian Grand Prix,Q,RUS,Mercedes,8.0,3.0,SOFT,8.0,67.398,16.795,30.28,20.323,312.0,225.0,280.0,316.0,1,False,True,True,False,2026-06-27 14:17:30.030,,33.4,51.7,25.5,False,0.4,124.0
2026,8,Austrian Grand Prix,Q,RUS,Mercedes,9.0,3.0,SOFT,9.0,89.739,19.441,38.739,31.559,265.0,176.0,,236.0,1,False,False,False,False,2026-06-27 14:18:37.428,,33.5,52.7,25.5,False,0.4,330.0
2026,8,Austrian Grand Prix,Q,RUS,Mercedes,10.0,4.0,SOFT,1.0,,,42.407,25.882,275.0,189.0,273.0,266.0,12,True,False,False,False,2026-06-27 14:20:07.167,,33.7,52.6,24.7,False,1.4,58.0
