Driver,LapNumber,LapTime,Compound,TyreLife,Team
ALB,43.0,0 days 00:01:13.137000,HARD,6.0,Williams
ALO,52.0,0 days 00:01:12.501000,SOFT,3.0,Aston Martin
ANT,59.0,0 days 00:01:10.374000,HARD,8.0,Mercedes
BEA,54.0,0 days 00:01:12.207000,MEDIUM,9.0,Haas F1 Team
BOR,59.0,0 days 00:01:11.866000,HARD,15.0,Audi
COL,49.0,0 days 00:01:11.795000,MEDIUM,3.0,Alpine
GAS,54.0,0 days 00:01:11.466000,SOFT,3.0,Alpine
HAD,42.0,0 days 00:01:10.947000,HARD,2.0,Red Bull Racing
HAM,45.0,0 days 00:01:10.946000,HARD,3.0,Ferrari
HUL,55.0,0 days 00:01:11.634000,HARD,10.0,Audi
LAW,55.0,0 days 00:01:11.547000,MEDIUM,10.0,Racing Bulls
LEC,67.0,0 days 00:01:10.606000,SOFT,11.0,Ferrari
LIN,56.0,0 days 00:01:11.587000,MEDIUM,10.0,Racing Bulls
NOR,55.0,0 days 00:01:10.652000,HARD,8.0,McLaren
OCO,37.0,0 days 00:01:12.979000,HARD,4.0,Haas F1 Team
PER,3.0,0 days 00:01:14.448000,MEDIUM,3.0,Cadillac
PIA,45.0,0 days 00:01:10.595000,HARD,3.0,McLaren
RUS,49.0,0 days 00:01:10.683000,HARD,6.0,Mercedes
SAI,22.0,0 days 00:01:13.694000,MEDIUM,8.0,Williams
STR,30.0,0 days 00:01:13.796000,SOFT,6.0,Aston Martin
VER,57.0,0 days 00:01:10.483000,HARD,8.0,Red Bull Racing
