season,round,event_name,session_code,driver,team,lap_number,stint,compound,tyre_life,lap_time_s,sector_1_s,sector_2_s,sector_3_s,speed_i1,speed_i2,speed_fl,speed_st,track_status,fresh_tyre,is_personal_best,is_accurate,deleted,lap_start_time,position,air_temp_c,track_temp_c,humidity_pct,rainfall,wind_speed_mps,wind_direction_deg
2026,9,British Grand Prix,Q,ANT,Mercedes,1.0,1.0,SOFT,4.0,,,43.746,33.463,202.0,214.0,242.0,192.0,1,False,False,False,False,2026-07-04 15:04:33.467,,25.2,41.2,46.6,False,1.6,330.0
2026,9,British Grand Prix,Q,ANT,Mercedes,2.0,1.0,SOFT,5.0,89.719,28.836,36.103,24.78,297.0,264.0,236.0,300.0,12,False,True,True,False,2026-07-04 15:06:29.149,,25.1,43.2,47.5,False,1.9,281.0
2026,9,British Grand Prix,Q,ANT,Mercedes,3.0,1.0,SOFT,6.0,114.232,37.174,48.537,28.521,255.0,232.0,,284.0,1,False,False,False,False,2026-07-04 15:07:58.868,,25.2,42.2,48.1,False,3.6,244.0
2026,9,British Grand Prix,Q,ANT,Mercedes,4.0,2.0,SOFT,8.0,,,41.007,27.035,254.0,242.0,246.0,285.0,1,False,False,False,False,2026-07-04 15:09:53.100,,25.3,41.5,47.5,False,1.3,179.0
2026,9,British Grand Prix,Q,ANT,Mercedes,5.0,2.0,SOFT,9.0,90.261,28.857,36.484,24.92,296.0,263.0,230.0,299.0,1,False,False,True,False,2026-07-04 15:14:19.697,,25.1,39.1,49.0,False,2.8,264.0
2026,9,British Grand Prix,Q,ANT,Mercedes,6.0,2.0,SOFT,10.0,109.689,35.142,44.525,30.022,255.0,233.0,,260.0,12,False,False,False,False,2026-07-04 15:15:49.958,,25.1,39.7,49.3,False,0.5,219.0
2026,9,British Grand Prix,Q,ANT,Mercedes,7.0,3.0,SOFT,1.0,,,41.831,35.344,210.0,239.0,242.0,257.0,12,True,False,False,False,2026-07-04 15:17:39.647,,25.1,39.9,49.8,False,2.3,200.0
2026,9,British Grand Prix,Q,ANT,Mercedes,8.0,3.0,SOFT,2.0,116.749,37.484,51.124,28.141,112.0,217.0,245.0,280.0,1,True,True,True,False,2026-07-04 15:37:22.556,,25.2,42.3,48.2,False,1.9,240.0
2026,9,British Grand Prix,Q,ANT,Mercedes,9.0,3.0,SOFT,3.0,89.043,28.692,35.864,24.487,296.0,266.0,245.0,300.0,1,True,True,True,False,2026-07-04 15:39:19.305,,25.2,42.6,47.4,False,0.3,43.0
2026,9,British Grand Prix,Q,ANT,Mercedes,10.0,3.0,SOFT,4.0,101.46,32.843,41.288,27.329,266.0,225.0,,280.0,1,True,False,False,False,2026-07-04 15:40:48.348,,25.2,42.5,48.0,False,1.6,295.0
2026,9,British Grand Prix,Q,ANT,Mercedes,11.0,4.0,SOFT,1.0,,,43.13,32.118,250.0,183.0,250.0,232.0,1,True,False,False,False,2026-07-04 15:42:29.808,,25.2,42.5,48.1,False,3.3,270.0
2026,9,British Grand Prix,Q,ANT,Mercedes,12.0,4.0,SOFT,2.0,88.493,28.292,35.731,24.47,297.0,267.0,248.0,299.0,1,True,True,True,False,2026-07-04 15:46:44.979,,25.3,42.1,46.7,False,0.3,202.0
2026,9,British Grand Prix,Q,ANT,Mercedes,13.0,4.0,SOFT,3.0,110.888,36.525,43.221,31.142,247.0,219.0,,270.0,1,True,False,False,False,2026-07-04 15:48:13.472,,25.2,41.3,47.5,False,2.5,10.0
2026,9,British Grand Prix,Q,ANT,Mercedes,14.0,5.0,SOFT,1.0,,,41.673,27.195,241.0,234.0,249.0,269.0,1,True,False,False,False,2026-07-04 15:50:04.360,,25.2,41.6,47.4,False,1.0,31.0
2026,9,British Grand Prix,Q,ANT,Mercedes,15.0,5.0,SOFT,2.0,88.385,28.398,35.547,24.44,297.0,267.0,249.0,300.0,1,True,True,True,False,2026-07-04 15:59:06.989,,25.3,41.9,46.8,False,1.9,111.0
2026,9,British Grand Prix,Q,ANT,Mercedes,16.0,5.0,SOFT,3.0,100.988,33.679,40.495,26.814,271.0,243.0,,286.0,1,True,False,False,False,2026-07-04 16:00:35.374,,25.3,41.2,47.6,False,4.7,239.0
2026,9,British Grand Prix,Q,ANT,Mercedes,17.0,6.0,SOFT,1.0,,,42.198,27.12,246.0,235.0,253.0,255.0,1,True,False,False,False,2026-07-04 16:02:16.362,,25.2,41.6,47.5,False,1.9,106.0
2026,9,British Grand Prix,Q,ANT,Mercedes,18.0,6.0,SOFT,2.0,88.111,28.348,35.521,24.242,295.0,268.0,251.0,302.0,1,True,True,True,False,2026-07-04 16:06:28.761,,25.2,40.5,47.9,False,1.0,194.0
2026,9,British Grand Prix,Q,ANT,Mercedes,19.0,6.0,SOFT,3.0,,36.846,49.336,,217.0,177.0,,174.0,1,True,False,False,False,2026-07-04 16:07:56.872,,25.1,39.2,48.3,False,3.4,274.0
2026,9,British Grand Prix,Q,LEC,Ferrari,1.0,1.0,SOFT,4.0,,,45.469,28.494,249.0,216.0,240.0,277.0,1,False,False,False,False,2026-07-04 15:01:22.327,,25.4,43.7,46.1,False,3.4,253.0
2026,9,British Grand Prix,Q,LEC,Ferrari,2.0,1.0,SOFT,5.0,89.534,28.818,36.169,24.547,294.0,267.0,235.0,307.0,1,False,True,True,False,2026-07-04 15:03:24.003,,25.5,44.4,46.9,False,2.0,262.0
2026,9,British Grand Prix,Q,LEC,Ferrari,3.0,1.0,SOFT,6.0,122.816,39.827,48.753,34.236,186.0,207.0,205.0,115.0,1,False,False,True,False,2026-07-04 15:04:53.537,,25.2,41.2,46.6,False,1.6,330.0
