season,round,event_name,session_code,driver,team,stint,compound,lap_count,mean_lap_time_s,degradation_per_lap_s,degradation_index,start_tyre_life,end_tyre_life
2026,9,British Grand Prix,Q,ALB,Williams,1.0,SOFT,1,92.94,0.0,0.0,2,2
2026,9,British Grand Prix,Q,ALB,Williams,2.0,SOFT,2,96.8035,10.0,0.0,2,3
2026,9,British Grand Prix,Q,ALB,Williams,3.0,SOFT,2,103.0895,10.0,0.0,2,3
2026,9,British Grand Prix,Q,ALB,Williams,4.0,SOFT,2,102.58449999999999,10.0,0.0,2,3
2026,9,British Grand Prix,Q,ALB,Williams,5.0,SOFT,2,104.3,10.0,0.0,2,3
2026,9,British Grand Prix,Q,ALO,Aston Martin,1.0,SOFT,1,101.031,0.0,0.0,2,2
2026,9,British Grand Prix,Q,ALO,Aston Martin,2.0,SOFT,3,107.04233333333333,0.0,-0.5,2,4
2026,9,British Grand Prix,Q,ALO,Aston Martin,3.0,SOFT,2,99.9085,10.0,0.0,2,3
2026,9,British Grand Prix,Q,ANT,Mercedes,1.0,SOFT,2,101.9755,10.0,0.0,5,6
2026,9,British Grand Prix,Q,ANT,Mercedes,2.0,SOFT,2,99.975,10.0,0.0,9,10
2026,9,British Grand Prix,Q,ANT,Mercedes,3.0,SOFT,3,102.41733333333333,0.0,-0.5,2,4
2026,9,British Grand Prix,Q,ANT,Mercedes,4.0,SOFT,2,99.6905,10.0,0.0,2,3
2026,9,British Grand Prix,Q,ANT,Mercedes,5.0,SOFT,2,94.6865,10.0,0.0,2,3
2026,9,British Grand Prix,Q,ANT,Mercedes,6.0,SOFT,1,88.111,0.0,0.0,2,2
2026,9,British Grand Prix,Q,BEA,Haas F1 Team,1.0,SOFT,2,97.124,10.0,0.0,2,3
2026,9,British Grand Prix,Q,BEA,Haas F1 Team,2.0,SOFT,2,97.33699999999999,10.0,0.0,2,3
2026,9,British Grand Prix,Q,BEA,Haas F1 Team,3.0,SOFT,2,103.91999999999999,10.0,0.0,2,3
2026,9,British Grand Prix,Q,BEA,Haas F1 Team,4.0,SOFT,2,101.098,10.0,0.0,2,3
2026,9,British Grand Prix,Q,BEA,Haas F1 Team,5.0,SOFT,2,107.4145,10.0,0.0,2,3
2026,9,British Grand Prix,Q,BOR,Audi,2.0,SOFT,2,103.5805,10.0,0.0,2,3
2026,9,British Grand Prix,Q,BOR,Audi,3.0,SOFT,2,99.05449999999999,10.0,0.0,2,3
2026,9,British Grand Prix,Q,BOR,Audi,4.0,SOFT,2,103.1725,10.0,0.0,2,3
2026,9,British Grand Prix,Q,BOT,Cadillac,1.0,SOFT,1,107.013,0.0,0.0,2,2
2026,9,British Grand Prix,Q,BOT,Cadillac,2.0,SOFT,2,99.6235,10.0,0.0,2,3
2026,9,British Grand Prix,Q,BOT,Cadillac,3.0,SOFT,2,105.247,10.0,0.0,2,3
2026,9,British Grand Prix,Q,COL,Alpine,1.0,SOFT,2,106.00200000000001,10.0,0.0,2,3
2026,9,British Grand Prix,Q,COL,Alpine,2.0,SOFT,1,131.992,0.0,0.0,2,2
2026,9,British Grand Prix,Q,GAS,Alpine,1.0,SOFT,2,102.55,10.0,0.0,2,3
2026,9,British Grand Prix,Q,GAS,Alpine,2.0,SOFT,2,103.9555,10.0,0.0,2,3
2026,9,British Grand Prix,Q,GAS,Alpine,3.0,SOFT,2,103.8725,10.0,0.0,2,3
2026,9,British Grand Prix,Q,GAS,Alpine,4.0,SOFT,2,103.3395,10.0,0.0,2,3
2026,9,British Grand Prix,Q,HAD,Red Bull Racing,1.0,SOFT,2,102.48750000000001,10.0,0.0,5,6
2026,9,British Grand Prix,Q,HAD,Red Bull Racing,2.0,SOFT,2,109.0855,10.0,0.0,2,3
2026,9,British Grand Prix,Q,HAD,Red Bull Racing,3.0,SOFT,2,102.6615,10.0,0.0,5,6
2026,9,British Grand Prix,Q,HAD,Red Bull Racing,4.0,SOFT,2,99.6985,10.0,0.0,2,3
2026,9,British Grand Prix,Q,HAD,Red Bull Racing,5.0,SOFT,2,96.194,10.0,0.0,2,3
2026,9,British Grand Prix,Q,HAD,Red Bull Racing,6.0,SOFT,1,88.746,0.0,0.0,2,2
2026,9,British Grand Prix,Q,HAM,Ferrari,1.0,SOFT,4,108.355,0.48799999999999955,0.39999999999999997,5,8
2026,9,British Grand Prix,Q,HAM,Ferrari,2.0,SOFT,2,103.1695,10.0,0.0,2,3
