season,round,event_name,session_code,driver,team,lap_number,stint,compound,tyre_life,lap_time_s,sector_1_s,sector_2_s,sector_3_s,speed_i1,speed_i2,speed_fl,speed_st,track_status,fresh_tyre,is_personal_best,is_accurate,deleted,lap_start_time,position,air_temp_c,track_temp_c,humidity_pct,rainfall,wind_speed_mps,wind_direction_deg
2026,9,British Grand Prix,R,NOR,McLaren,1.0,1.0,MEDIUM,1.0,100.454,,39.496,26.468,325.0,254.0,244.0,307.0,12,True,False,False,False,2026-07-05 14:03:54.055,7.0,22.8,37.9,55.9,False,1.4,212.0
2026,9,British Grand Prix,R,NOR,McLaren,2.0,1.0,MEDIUM,2.0,94.836,30.17,38.718,25.948,301.0,255.0,248.0,304.0,12,True,True,True,False,2026-07-05 14:05:34.745,7.0,22.9,37.8,56.6,False,0.5,345.0
2026,9,British Grand Prix,R,NOR,McLaren,3.0,1.0,MEDIUM,3.0,95.241,30.061,38.936,26.244,299.0,255.0,243.0,308.0,1,True,False,True,False,2026-07-05 14:07:09.581,7.0,23.0,37.6,55.8,False,0.7,248.0
2026,9,British Grand Prix,R,NOR,McLaren,4.0,1.0,MEDIUM,4.0,95.116,29.899,39.002,26.215,311.0,256.0,246.0,310.0,1,True,False,True,False,2026-07-05 14:08:44.822,7.0,23.2,39.2,54.5,False,0.9,123.0
2026,9,British Grand Prix,R,NOR,McLaren,5.0,1.0,MEDIUM,5.0,95.154,29.884,38.996,26.274,305.0,257.0,245.0,304.0,1,True,False,True,False,2026-07-05 14:10:19.938,7.0,23.3,38.1,54.8,False,1.4,100.0
2026,9,British Grand Prix,R,NOR,McLaren,6.0,1.0,MEDIUM,6.0,94.875,29.883,38.807,26.185,306.0,256.0,246.0,303.0,1,True,False,True,False,2026-07-05 14:11:55.092,7.0,23.1,37.8,55.9,False,1.8,220.0
2026,9,British Grand Prix,R,NOR,McLaren,7.0,1.0,MEDIUM,7.0,95.086,30.129,38.659,26.298,300.0,255.0,246.0,299.0,1,True,False,True,False,2026-07-05 14:13:29.967,7.0,23.4,38.2,56.2,False,1.6,233.0
2026,9,British Grand Prix,R,NOR,McLaren,8.0,1.0,MEDIUM,8.0,95.281,30.385,38.638,26.258,296.0,254.0,247.0,298.0,1,True,False,True,False,2026-07-05 14:15:05.053,7.0,23.1,38.7,55.8,False,1.1,294.0
2026,9,British Grand Prix,R,NOR,McLaren,9.0,1.0,MEDIUM,9.0,95.62,30.516,38.839,26.265,296.0,254.0,246.0,300.0,1,True,False,True,False,2026-07-05 14:16:40.334,7.0,23.3,40.7,54.5,False,1.0,238.0
2026,9,British Grand Prix,R,NOR,McLaren,10.0,1.0,MEDIUM,10.0,95.286,30.408,38.711,26.167,295.0,253.0,246.0,299.0,1,True,False,True,False,2026-07-05 14:18:15.954,7.0,23.3,41.1,54.1,False,1.9,264.0
2026,9,British Grand Prix,R,NOR,McLaren,11.0,1.0,MEDIUM,11.0,95.318,30.259,38.809,26.25,297.0,254.0,245.0,302.0,1,True,False,True,False,2026-07-05 14:19:51.240,7.0,23.4,41.1,53.5,False,0.8,193.0
2026,9,British Grand Prix,R,NOR,McLaren,12.0,1.0,MEDIUM,12.0,95.442,30.276,38.887,26.279,296.0,250.0,245.0,302.0,1,True,False,True,False,2026-07-05 14:21:26.558,7.0,23.4,41.1,53.5,False,0.8,193.0
2026,9,British Grand Prix,R,NOR,McLaren,13.0,1.0,MEDIUM,13.0,95.147,30.217,38.838,26.092,298.0,254.0,244.0,309.0,1,True,False,True,False,2026-07-05 14:23:02.000,7.0,23.7,40.2,53.3,False,2.9,227.0
2026,9,British Grand Prix,R,NOR,McLaren,14.0,1.0,MEDIUM,14.0,95.09,29.919,38.986,26.185,303.0,254.0,249.0,303.0,1,True,False,True,False,2026-07-05 14:24:37.147,7.0,23.8,39.2,53.2,False,2.8,246.0
2026,9,British Grand Prix,R,NOR,McLaren,15.0,1.0,MEDIUM,15.0,95.14,29.88,39.092,26.168,300.0,253.0,247.0,305.0,1,True,False,True,False,2026-07-05 14:26:12.237,7.0,23.7,39.2,53.2,False,2.8,246.0
2026,9,British Grand Prix,R,NOR,McLaren,16.0,1.0,MEDIUM,16.0,95.278,30.093,38.939,26.246,305.0,254.0,247.0,302.0,1,True,False,True,False,2026-07-05 14:27:47.377,7.0,23.6,39.2,53.2,False,2.8,246.0
2026,9,British Grand Prix,R,NOR,McLaren,17.0,1.0,MEDIUM,17.0,95.716,29.987,39.504,26.225,305.0,256.0,247.0,298.0,1,True,False,True,False,2026-07-05 14:29:22.655,7.0,23.6,38.6,53.5,False,1.3,288.0
2026,9,British Grand Prix,R,NOR,McLaren,18.0,1.0,MEDIUM,18.0,94.741,29.963,38.567,26.211,299.0,253.0,243.0,299.0,1,True,True,True,False,2026-07-05 14:30:58.371,6.0,23.4,37.6,54.3,False,3.1,267.0
2026,9,British Grand Prix,R,NOR,McLaren,19.0,1.0,MEDIUM,19.0,94.581,30.031,38.653,25.897,304.0,256.0,249.0,301.0,1,True,True,True,False,2026-07-05 14:32:33.112,6.0,23.7,38.9,53.4,False,1.3,295.0
